Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds)
0,0.0749,-0.270984674,0.1004,-0.195141762,0.6862,-1,1,0
1,0.0747,-0.271394636,0.101,-0.194731801,0.6647,-1,1,0.033333333
2,0.0748,-0.27188659,0.101,-0.196371648,0.734,-1,1,0.066666667
3,0.0748,-0.271804598,0.1011,-0.196371648,0.7306,-1,1,0.1
4,0.0752,-0.275412261,0.1019,-0.196617625,0.7622,-1,1,0.133333333
5,0.0752,-0.275494253,0.1019,-0.196617625,0.763,-1,1,0.166666667
5,0.3858,0.339694253,0.4985,0.408813793,0.2526,-1,1,0.166666667
6,0.0761,-0.275412261,0.104,-0.19751954,0.7158,-1,1,0.2
7,0.0773,-0.278609962,0.1049,-0.197273563,0.6979,-1,1,0.233333333
8,0.0792,-0.278937931,0.1051,-0.19751954,0.4733,-1,1,0.266666667
9,0.0792,-0.279101916,0.1051,-0.197355556,0.4988,-1,1,0.3
10,0.0811,-0.28311954,0.1089,-0.189812261,0.3756,-1,1,0.333333333
11,0.081,-0.285005364,0.1125,-0.196863602,0.5559,-1,1,0.366666667
11,0.075,-0.155949425,0.0918,-0.114871264,0.291,-1,1,0.366666667
12,0.0836,-0.285251341,0.1104,-0.191944061,0.5617,-1,1,0.4
12,0.0759,-0.158901149,0.0929,-0.11577318,0.5275,-1,1,0.4
13,0.0772,-0.158819157,0.0937,-0.115445211,0.4646,-1,1,0.433333333
13,0.0847,-0.285661303,0.1115,-0.191124138,0.287,-1,1,0.433333333
14,0.0781,-0.15996705,0.0944,-0.113477395,0.4042,-1,1,0.466666667
14,0.0851,-0.288121073,0.115,-0.199323372,0.3897,-1,1,0.466666667
15,0.0863,-0.290498851,0.1172,-0.199897318,0.3956,-1,1,0.5
15,0.2528,0.180301149,0.2899,0.287465134,0.2992,-1,1,0.5
15,0.0782,-0.155867433,0.0949,-0.113969349,0.2869,-1,1,0.5
16,0.0868,-0.288940996,0.1167,-0.200553257,0.4117,-1,1,0.533333333
16,0.2542,0.194813793,0.2855,0.285005364,0.2642,-1,1,0.533333333
17,0.087,-0.287547126,0.1169,-0.200717241,0.5738,-1,1,0.566666667
17,0.2543,0.195715709,0.2839,0.285415326,0.2975,-1,1,0.566666667
18,0.087,-0.287629119,0.1168,-0.200635249,0.5866,-1,1,0.6
18,0.2542,0.195797701,0.2838,0.285497318,0.3038,-1,1,0.6
19,0.087,-0.287629119,0.1168,-0.200635249,0.5869,-1,1,0.633333333
19,0.2542,0.195715709,0.2838,0.285497318,0.3058,-1,1,0.633333333
20,0.0871,-0.285661303,0.1141,-0.201291188,0.4397,-1,1,0.666666667
20,0.2512,0.19505977,0.2812,0.287219157,0.3155,-1,1,0.666666667
21,0.0872,-0.285989272,0.1131,-0.201455172,0.4783,-1,1,0.7
21,0.2551,0.201127203,0.2814,0.288203065,0.2703,-1,1,0.7
22,0.0871,-0.286399234,0.1157,-0.199733333,0.5774,-1,1,0.733333333
23,0.0864,-0.286481226,0.1143,-0.20030728,0.5263,-1,1,0.766666667
24,0.0856,-0.285251341,0.1122,-0.201127203,0.4302,-1,1,0.8
25,0.0855,-0.285251341,0.1122,-0.201127203,0.4148,-1,1,0.833333333
26,0.0848,-0.285005364,0.1123,-0.200635249,0.4089,-1,1,0.866666667
27,0.0836,-0.287301149,0.1119,-0.204652874,0.2969,-1,1,0.9
28,0.0825,-0.285169349,0.1143,-0.20522682,0.6498,-1,1,0.933333333
29,0.0825,-0.285087356,0.1148,-0.205308812,0.6592,-1,1,0.966666667
30,0.0817,-0.284185441,0.1136,-0.205964751,0.5649,-1,1,1
31,0.2493,0.219165517,0.2768,0.288203065,0.3325,-1,1,1.033333333
31,0.0815,-0.281233716,0.105,-0.208424521,0.3028,-1,1,1.033333333
32,0.0812,-0.282217625,0.1054,-0.211376245,0.2786,-1,1,1.066666667
33,0.2509,0.216295785,0.2818,0.287547126,0.3951,-1,1,1.1
33,0.0813,-0.28311954,0.1058,-0.211622222,0.3528,-1,1,1.1
34,0.0813,-0.285415326,0.1076,-0.210720307,0.3722,-1,1,1.133333333
35,0.0813,-0.285415326,0.1076,-0.210884291,0.3706,-1,1,1.166666667
36,0.0813,-0.285087356,0.1076,-0.21260613,0.423,-1,1,1.2
37,0.0814,-0.287137165,0.1091,-0.212278161,0.3741,-1,1,1.233333333
38,0.0815,-0.286727203,0.1123,-0.2129341,0.3429,-1,1,1.266666667
39,0.0815,-0.286727203,0.1125,-0.2129341,0.3407,-1,1,1.3
40,0.0816,-0.28697318,0.1142,-0.214245977,0.2658,-1,1,1.333333333
41,0.0816,-0.290580843,0.1152,-0.214163985,0.2917,-1,1,1.366666667
42,0.0818,-0.293122605,0.1168,-0.213918008,0.268,-1,1,1.4
43,0.0819,-0.292630651,0.1162,-0.214081992,0.3191,-1,1,1.433333333
44,0.0819,-0.292548659,0.1167,-0.212852107,0.4089,-1,1,1.466666667
45,0.0819,-0.292712644,0.1167,-0.212852107,0.4124,-1,1,1.5
46,0.0822,-0.293860536,0.1166,-0.20768659,0.3176,-1,1,1.533333333
47,0.0824,-0.292302682,0.1163,-0.205964751,0.3757,-1,1,1.566666667
48,0.0823,-0.291728736,0.115,-0.204406897,0.5079,-1,1,1.6
48,-0.4885,-0.013118774,-0.4658,0.04419387,0.2747,-1,1,1.6
49,0.0823,-0.291728736,0.1149,-0.204324904,0.4932,-1,1,1.633333333
50,0.0818,-0.293532567,0.117,-0.200389272,0.5089,-1,1,1.666666667
50,0.3856,0.339858238,0.4982,0.408731801,0.3009,-1,1,1.666666667
51,0.0818,-0.29435249,0.1165,-0.198667433,0.5224,-1,1,1.7
51,0.3853,0.339120307,0.4983,0.408731801,0.3159,-1,1,1.7
52,0.0815,-0.293860536,0.1142,-0.200225287,0.5593,-1,1,1.733333333
52,0.3851,0.339366284,0.4982,0.408813793,0.2913,-1,1,1.733333333
53,0.0817,-0.294106513,0.1162,-0.198667433,0.6405,-1,1,1.766666667
53,0.3848,0.339530268,0.4982,0.408731801,0.3171,-1,1,1.766666667
54,0.0818,-0.293942529,0.1158,-0.199897318,0.6419,-1,1,1.8
54,0.3845,0.339202299,0.4982,0.408731801,0.3519,-1,1,1.8
55,0.0818,-0.293942529,0.1157,-0.200061303,0.6413,-1,1,1.833333333
55,0.3845,0.339202299,0.4982,0.408731801,0.3485,-1,1,1.833333333
56,0.0819,-0.295418391,0.1187,-0.199077395,0.6547,-1,1,1.866666667
56,0.3842,0.339038314,0.4983,0.408567816,0.3809,-1,1,1.866666667
57,0.0822,-0.296320307,0.1194,-0.197929502,0.6613,-1,1,1.9
57,0.3837,0.33887433,0.4983,0.408649808,0.3479,-1,1,1.9
58,0.0827,-0.297960153,0.119,-0.192108046,0.7147,-1,1,1.933333333
58,0.3834,0.339366284,0.4983,0.408731801,0.3407,-1,1,1.933333333
59,0.0827,-0.297878161,0.1191,-0.191452107,0.7238,-1,1,1.966666667
59,0.3834,0.339366284,0.4983,0.408731801,0.3309,-1,1,1.966666667
60,0.0833,-0.29607433,0.1187,-0.201865134,0.6507,-1,1,2
60,0.2607,0.24556705,0.2792,0.281233716,0.3192,-1,1,2
60,0.3829,0.339448276,0.4983,0.408813793,0.2632,-1,1,2
61,0.0855,-0.296238314,0.121,-0.199651341,0.6686,-1,1,2.033333333
61,0.3827,0.339612261,0.4983,0.408813793,0.2895,-1,1,2.033333333
62,0.0867,-0.29468046,0.1235,-0.199241379,0.685,-1,1,2.066666667
62,0.3826,0.339366284,0.4983,0.408731801,0.3255,-1,1,2.066666667
63,0.0875,-0.296812261,0.1253,-0.197109579,0.7564,-1,1,2.1
63,0.3826,0.339694253,0.4983,0.408813793,0.3071,-1,1,2.1
64,0.0894,-0.299354023,0.1317,-0.194649808,0.582,-1,1,2.133333333
64,0.3824,0.339366284,0.4984,0.408813793,0.2761,-1,1,2.133333333
65,0.0891,-0.29820613,0.1303,-0.195141762,0.5744,-1,1,2.166666667
65,0.3824,0.339448276,0.4984,0.408895785,0.2912,-1,1,2.166666667
66,0.0916,-0.298370115,0.1315,-0.198749425,0.4487,-1,1,2.2
67,0.0934,-0.297550192,0.1345,-0.199733333,0.387,-1,1,2.233333333
68,0.0948,-0.297304215,0.1362,-0.200635249,0.286,-1,1,2.266666667
69,0.0948,-0.297222222,0.1359,-0.200635249,0.2613,-1,1,2.3
70,0.096,-0.298288123,0.1381,-0.201291188,0.4503,-1,1,2.333333333
71,0.0979,-0.298698084,0.1381,-0.203259004,0.3612,-1,1,2.366666667
72,-0.3443,-0.098636782,-0.2555,0.067233716,0.5372,-1,1,2.4
72,0.0993,-0.296566284,0.1379,-0.207358621,0.3163,-1,1,2.4
73,0.1001,-0.300009962,0.137,-0.208670498,0.6786,-1,1,2.433333333
73,-0.344,-0.099374713,-0.2552,0.068791571,0.5711,-1,1,2.433333333
74,0.1009,-0.303289655,0.139,-0.211376245,0.6261,-1,1,2.466666667
74,-0.3436,-0.099046743,-0.254,0.070103448,0.4174,-1,1,2.466666667
75,0.1009,-0.303289655,0.1389,-0.211376245,0.6189,-1,1,2.5
75,-0.3434,-0.098964751,-0.254,0.070267433,0.4528,-1,1,2.5
76,0.1023,-0.302715709,0.1407,-0.213180077,0.6337,-1,1,2.533333333
77,0.1038,-0.306651341,0.144,-0.213836015,0.6667,-1,1,2.566666667
78,0.1039,-0.304929502,0.1443,-0.214409962,0.6061,-1,1,2.6
79,0.1039,-0.305011494,0.1443,-0.214491954,0.6055,-1,1,2.633333333
80,0.1041,-0.30591341,0.1446,-0.215311877,0.5835,-1,1,2.666666667
81,0.1045,-0.30697931,0.1457,-0.215803831,0.5317,-1,1,2.7
82,0.1045,-0.307881226,0.1442,-0.217771648,0.3594,-1,1,2.733333333
83,0.1041,-0.308455172,0.1434,-0.216787739,0.4092,-1,1,2.766666667
83,-0.3253,-0.183580843,-0.275,-0.084370115,0.2628,-1,1,2.766666667
84,0.1041,-0.307881226,0.1426,-0.217197701,0.6024,-1,1,2.8
84,-0.3249,-0.181449042,-0.2746,-0.087649808,0.267,-1,1,2.8
85,0.1041,-0.308045211,0.1429,-0.217115709,0.6046,-1,1,2.833333333
85,-0.3249,-0.180219157,-0.2745,-0.087403831,0.2622,-1,1,2.833333333
86,0.1035,-0.307717241,0.1422,-0.21645977,0.6236,-1,1,2.866666667
87,0.1031,-0.305093487,0.1408,-0.216131801,0.6041,-1,1,2.9
88,0.1016,-0.305503448,0.141,-0.216869732,0.5939,-1,1,2.933333333
89,0.1016,-0.305667433,0.1411,-0.216951724,0.6089,-1,1,2.966666667
90,0.1013,-0.305667433,0.1421,-0.217033716,0.6787,-1,1,3
91,0.1001,-0.31116092,0.141,-0.218181609,0.6565,-1,1,3.033333333
97,-0.2592,0.22277318,-0.1804,0.287137165,0.541,-1,1,3.233333333
98,-0.2413,0.189648276,-0.171,0.256718008,0.2802,-1,1,3.266666667
99,-0.2413,0.188828352,-0.171,0.256963985,0.2635,-1,1,3.3
101,-0.2224,0.157589272,-0.1816,0.28976092,0.432,-1,1,3.366666667
103,-0.2885,0.318458238,-0.2142,0.409961686,0.8452,-1,1,3.433333333
103,-0.1869,-0.020580077,-0.1471,0.111345594,0.2573,-1,1,3.433333333
104,-0.1611,-0.104868199,-0.1209,0.014266667,0.7486,-1,1,3.466666667
105,-0.1612,-0.104786207,-0.1208,0.014348659,0.751,-1,1,3.5
106,-0.1278,-0.186450575,-0.0859,-0.073547126,0.6731,-1,1,3.533333333
107,-0.2185,0.114543295,-0.1634,0.248682759,0.5484,-1,1,3.566666667
107,-0.0954,-0.246878927,-0.0543,-0.144470498,0.2682,-1,1,3.566666667
108,-0.202,0.084862069,-0.1526,0.221215326,0.8099,-1,1,3.6
108,-0.0272,0.045587739,0.0196,0.217197701,0.2588,-1,1,3.6
109,-0.202,0.085272031,-0.1527,0.220887356,0.8087,-1,1,3.633333333
110,-0.0248,0.022875862,0.0274,0.199077395,0.3376,-1,1,3.666666667
111,-0.1584,0.202111111,-0.0854,0.392087356,0.8962,-1,1,3.7
112,-0.1946,0.18382682,-0.1207,0.360684291,0.8463,-1,1,3.733333333
112,-0.4505,-0.333052874,-0.3425,-0.189894253,0.2731,-1,1,3.733333333
113,-0.2538,0.150619923,-0.1834,0.333462835,0.3988,-1,1,3.766666667
114,-0.3294,0.100440613,-0.262,0.287547126,0.3764,-1,1,3.8
115,-0.3295,0.100440613,-0.262,0.287957088,0.4579,-1,1,3.833333333
116,-0.3295,0.100440613,-0.262,0.28803908,0.4502,-1,1,3.866666667
147,0.2192,-0.099128736,0.2442,-0.04419387,0.2848,-1,1,4.9
148,0.2165,-0.103884291,0.2426,-0.047063602,0.7172,-1,1,4.933333333
148,0.1749,-0.123562452,0.2084,-0.041242146,0.6756,-1,1,4.933333333
149,0.2165,-0.103884291,0.2426,-0.047227586,0.7005,-1,1,4.966666667
149,0.175,-0.123562452,0.2084,-0.041078161,0.6791,-1,1,4.966666667
150,0.2147,-0.105360153,0.242,-0.047637548,0.7967,-1,1,5
150,0.1746,-0.122496552,0.209,-0.043127969,0.6244,-1,1,5
151,0.2129,-0.105524138,0.2401,-0.050015326,0.7122,-1,1,5.033333333
151,0.1737,-0.119544828,0.2082,-0.040914176,0.5321,-1,1,5.033333333
152,0.212,-0.104130268,0.2382,-0.047309579,0.709,-1,1,5.066666667
152,0.2743,-0.134139464,0.3054,-0.061494253,0.6652,-1,1,5.066666667
152,0.2395,-0.066331801,0.2897,0.004017625,0.5726,-1,1,5.066666667
152,0.1705,-0.119134866,0.2091,-0.039356322,0.2786,-1,1,5.066666667
153,0.2099,-0.103064368,0.2368,-0.045997701,0.7687,-1,1,5.1
153,0.2733,-0.133811494,0.3023,-0.057968582,0.6286,-1,1,5.1
153,0.1687,-0.117659004,0.2048,-0.035830651,0.4023,-1,1,5.1
154,0.21,-0.102900383,0.2369,-0.045997701,0.7608,-1,1,5.133333333
154,0.274,-0.132991571,0.3022,-0.057558621,0.6258,-1,1,5.133333333
154,0.1687,-0.117659004,0.2047,-0.035584674,0.367,-1,1,5.133333333
155,0.2732,-0.13331954,0.3002,-0.056984674,0.3276,-1,1,5.166666667
155,0.2087,-0.102900383,0.2344,-0.044603831,0.2875,-1,1,5.166666667
155,0.1683,-0.117577011,0.2053,-0.038290421,0.262,-1,1,5.166666667
156,0.1688,-0.116511111,0.2025,-0.042554023,0.5216,-1,1,5.2
156,-0.0635,-0.105524138,-0.0341,-0.063872031,0.292,-1,1,5.2
157,0.1693,-0.116757088,0.2036,-0.042390038,0.7041,-1,1,5.233333333
158,0.1677,-0.116593103,0.204,-0.042963985,0.6469,-1,1,5.266666667
158,0.0325,-0.073383142,0.0558,0.000327969,0.5171,-1,1,5.266666667
159,0.1675,-0.116921073,0.2043,-0.042881992,0.6455,-1,1,5.3
159,0.0324,-0.073301149,0.0557,0.000983908,0.4697,-1,1,5.3
161,0.1692,-0.117904981,0.2074,-0.046735632,0.3019,-1,1,5.366666667
162,0.2469,-0.105032184,0.2809,-0.008527203,0.3255,-1,1,5.4
165,0.2472,-0.101014559,0.2806,-0.009019157,0.4589,-1,1,5.5
167,0.2465,-0.096668966,0.2809,-0.014102682,0.4976,-1,1,5.566666667
167,0.1616,-0.110361686,0.1971,-0.048129502,0.3694,-1,1,5.566666667
168,0.2457,-0.096750958,0.283,-0.013118774,0.715,-1,1,5.6
168,0.1597,-0.110935632,0.1982,-0.043455939,0.2521,-1,1,5.6
169,0.2457,-0.096668966,0.283,-0.013118774,0.71,-1,1,5.633333333
169,0.1597,-0.11085364,0.1978,-0.043619923,0.27,-1,1,5.633333333
170,0.2454,-0.096422989,0.2834,-0.013774713,0.3551,-1,1,5.666666667
171,0.2464,-0.094127203,0.2819,-0.011642912,0.6763,-1,1,5.7
172,0.245,-0.073547126,0.2793,-0.006067433,0.6717,-1,1,5.733333333
173,0.2451,-0.074449042,0.2795,-0.006067433,0.6676,-1,1,5.766666667
174,0.2461,-0.070021456,0.2786,-0.002377778,0.505,-1,1,5.8
175,0.2469,-0.057558621,0.2761,-0.00245977,0.5707,-1,1,5.833333333
176,0.249,-0.070349425,0.2783,-0.004509579,0.2957,-1,1,5.866666667
183,-0.1236,-0.127908046,-0.0749,-0.057804598,0.386,-1,1,6.1
184,-0.1233,-0.127826054,-0.0748,-0.058050575,0.3855,-1,1,6.133333333
189,-0.1312,-0.114953257,-0.0828,-0.052721073,0.2638,-1,1,6.3
195,0.1391,-0.166198467,0.2306,0.057394636,0.7198,-1,1,6.5
196,0.1305,-0.170216092,0.2208,0.05788659,0.8124,-1,1,6.533333333
197,0.1239,-0.174643678,0.2178,0.070677395,0.8696,-1,1,6.566666667
201,0.1155,-0.143978544,0.1509,0.000983908,0.3734,-1,1,6.7
202,0.0944,-0.214655939,0.1994,0.0631341,0.4402,-1,1,6.733333333
203,0.085,-0.214573946,0.1849,0.052393103,0.8543,-1,1,6.766666667
204,0.0851,-0.213098084,0.1853,0.054278927,0.8713,-1,1,6.8
205,0.0725,-0.216377778,0.1645,0.065921839,0.4783,-1,1,6.833333333
206,0.0659,-0.221871264,0.164,0.060756322,0.6324,-1,1,6.866666667
206,0.0661,-0.220477395,0.1295,0.06067433,0.5938,-1,1,6.866666667
