frame	x1	y1	x2	y2	confidence	cluster	new_cluster
39	0.1287	-0.4098	0.366	0.0023	0.2782	-1	1
40	0.1281	-0.4096	0.3651	0.0056	0.303	-1	1
46	0.1258	-0.3948	0.3614	0.0083	0.317	-1	1
48	0.126	-0.401	0.3501	0.006	0.4046	-1	1
49	0.1262	-0.4011	0.3458	0.0064	0.3129	-1	1
102	-0.0626	-0.1016	-0.0323	-0.0594	0.3135	-1	1
103	-0.0649	-0.0998	-0.0309	-0.0605	0.3582	-1	1
104	-0.0635	-0.0988	-0.0315	-0.0664	0.2597	-1	1
122	-0.064	-0.1057	-0.0295	-0.0616	0.2599	-1	1
125	-0.0655	-0.1023	-0.0324	-0.0657	0.3189	-1	1
126	-0.0656	-0.1016	-0.0346	-0.0653	0.3904	-1	1
127	-0.0654	-0.1016	-0.0351	-0.0645	0.4056	-1	1
128	-0.0658	-0.1023	-0.035	-0.064	0.432	-1	1
129	-0.0658	-0.1018	-0.0355	-0.0646	0.3981	-1	1
130	-0.0663	-0.1025	-0.0358	-0.0633	0.357	-1	1
131	-0.0676	-0.1038	-0.0373	-0.0643	0.3917	-1	1
132	-0.065	-0.1034	-0.0388	-0.0684	0.3425	-1	1
133	-0.0686	-0.104	-0.0386	-0.0668	0.4022	-1	1
136	-0.0693	-0.1004	-0.0391	-0.0672	0.2754	-1	1
137	-0.0705	-0.1015	-0.0396	-0.0663	0.4601	-1	1
138	-0.0702	-0.1002	-0.04	-0.0671	0.3128	-1	1
139	-0.0724	-0.0993	-0.0395	-0.0632	0.2865	-1	1
140	-0.0725	-0.0993	-0.0397	-0.0655	0.2533	-1	1
143	-0.0716	-0.0966	-0.0379	-0.0685	0.2999	-1	1
144	-0.0677	-0.0972	-0.0364	-0.0677	0.4143	-1	1
181	-0.1247	-0.1791	-0.0557	-0.0954	0.2724	-1	1
182	0.131	-0.3933	0.3409	0.0011	0.3082	-1	1
187	-0.0754	-0.0514	-0.0386	-0.0052	0.4416	-1	1
187	-0.1368	-0.139	-0.0728	0.0002	0.3066	-1	1
188	-0.0761	-0.0503	-0.0376	0.0017	0.5563	-1	1
188	-0.1376	-0.1359	-0.0749	0.0021	0.3874	-1	1
189	-0.0767	-0.0486	-0.0217	0.0065	0.5727	-1	1
189	-0.1396	-0.1365	-0.076	0.0017	0.433	-1	1
190	-0.077	-0.0466	-0.0214	0.0064	0.5113	-1	1
191	-0.0772	-0.0451	-0.022	0.0066	0.4229	-1	1
194	-0.0778	-0.0408	-0.0504	-0.0003	0.2518	-1	1
196	-0.0767	-0.0399	-0.0506	0.0014	0.2607	-1	1
220	-0.1714	-0.2591	0.2735	0.4525	0.3687	-1	1
221	-0.1734	-0.2374	0.2688	0.3204	0.6047	-1	1
222	-0.1643	-0.2365	0.2684	0.3227	0.8169	-1	1
223	-0.1581	-0.2322	0.2725	0.3184	0.8769	-1	1
224	-0.1533	-0.2191	0.2711	0.3169	0.8969	-1	1
225	-0.1521	-0.2193	0.2738	0.3115	0.8293	-1	1
226	0.127	-0.1659	0.2681	0.1543	0.4903	-1	1
226	-0.1511	-0.2153	0.1368	0.3094	0.4691	-1	1
226	-0.157	-0.2188	0.2582	0.311	0.2699	-1	1
227	-0.1482	-0.2144	0.1377	0.3067	0.5736	-1	1
227	-0.1505	-0.2169	0.2564	0.3082	0.2733	-1	1
228	-0.1443	-0.2196	0.1329	0.308	0.5769	-1	1
228	-0.1443	-0.2171	0.2742	0.3091	0.3323	-1	1
228	-0.1081	-0.4089	0.2698	-0.1508	0.2539	-1	1
229	-0.1445	-0.2098	0.2689	0.3093	0.721	-1	1
229	-0.1075	-0.4071	0.2685	-0.1451	0.4017	-1	1
229	-0.1475	-0.2095	0.1316	0.308	0.3713	-1	1
230	-0.1495	-0.205	0.2654	0.3106	0.835	-1	1
230	-0.1151	-0.4139	0.268	-0.1496	0.3239	-1	1
231	-0.1442	-0.1925	0.2691	0.3105	0.7702	-1	1
231	-0.1071	-0.4092	0.2691	-0.1487	0.5052	-1	1
232	-0.1486	-0.1887	0.2664	0.3077	0.7719	-1	1
232	-0.11	-0.4177	0.2756	-0.1537	0.5212	-1	1
233	-0.1535	-0.1871	0.2661	0.3115	0.6481	-1	1
233	-0.1169	-0.4596	0.2733	-0.1544	0.3292	-1	1
234	-0.1547	-0.3261	0.2626	0.3166	0.7244	-1	1
234	-0.2356	0.0141	-0.1199	0.2179	0.3315	-1	1
234	-0.1182	-0.4729	0.2666	-0.1486	0.3006	-1	1
235	-0.1514	-0.1763	0.2669	0.3283	0.6323	-1	1
235	-0.0694	-0.4137	0.2627	-0.1462	0.3242	-1	1
236	-0.1472	-0.1764	0.2696	0.3419	0.6235	-1	1
236	-0.0822	-0.4569	0.2702	-0.1498	0.4763	-1	1
236	0.1456	-0.1627	0.2651	0.0743	0.3317	-1	1
237	-0.15	-0.186	0.2695	0.3307	0.7508	-1	1
237	-0.0928	-0.4636	0.2706	-0.1553	0.5614	-1	1
238	-0.151	-0.1823	0.2674	0.3266	0.6652	-1	1
238	-0.1214	-0.4564	0.2674	-0.1569	0.475	-1	1
239	-0.1519	-0.4793	0.2686	0.3875	0.7491	-1	1
239	-0.1509	-0.1905	0.2609	0.4061	0.4458	-1	1
239	0.1484	-0.1585	0.2627	0.0411	0.4085	-1	1
239	0.2905	0.1344	0.3801	0.4994	0.3692	-1	1
239	-0.0781	-0.4347	0.2643	-0.1457	0.2875	-1	1
240	-0.149	-0.4396	0.2702	0.3665	0.7067	-1	1
240	0.1579	-0.1535	0.263	0.0198	0.4916	-1	1
240	-0.0599	-0.405	0.2664	-0.1417	0.3553	-1	1
241	-0.1477	-0.4704	0.2643	0.4175	0.8136	-1	1
241	-0.1443	-0.2151	0.2602	0.4129	0.7502	-1	1
241	-0.0543	-0.4428	0.2663	-0.1369	0.3815	-1	1
241	0.1676	-0.1541	0.2655	0.0072	0.3111	-1	1
242	-0.1471	-0.4869	0.2679	0.4123	0.783	-1	1
242	-0.1449	-0.2169	0.2616	0.4096	0.5074	-1	1
242	0.1655	-0.1575	0.2661	-0.0065	0.4074	-1	1
242	-0.0667	-0.4472	0.2665	-0.1373	0.404	-1	1
243	0.1713	-0.1585	0.2657	-0.0167	0.6767	-1	1
243	-0.0499	-0.4291	0.2729	-0.1417	0.5056	-1	1
243	-0.1465	-0.2091	0.2689	0.4082	0.3784	-1	1
243	-0.1036	-0.0455	-0.0738	0.0178	0.2549	-1	1
244	-0.1476	-0.475	0.2713	0.4035	0.7421	-1	1
244	0.1777	-0.1557	0.2652	-0.0242	0.6684	-1	1
244	-0.0457	-0.425	0.2646	-0.1332	0.3723	-1	1
245	-0.1456	-0.4956	0.2662	0.3983	0.8777	-1	1
245	0.1834	-0.1562	0.2671	-0.0315	0.5437	-1	1
246	-0.1463	-0.4819	0.2645	0.3938	0.8311	-1	1
247	-0.1507	-0.4967	0.2616	0.3955	0.8822	-1	1
247	-0.1617	-0.1658	-0.1024	-0.0549	0.3473	-1	1
248	-0.1509	-0.4963	0.2624	0.3932	0.8755	-1	1
249	-0.1502	-0.4719	0.2643	0.3906	0.8738	-1	1
249	-0.1626	-0.1666	-0.1143	-0.0568	0.2736	-1	1
250	-0.1709	-0.4899	0.2633	0.3847	0.8584	-1	1
251	-0.1732	-0.4994	0.258	0.3825	0.8954	-1	1
252	-0.1863	-0.4965	0.2568	0.3833	0.8511	-1	1
253	-0.1878	-0.4947	0.2568	0.3847	0.7905	-1	1
253	-0.1719	-0.1954	-0.132	-0.096	0.5474	-1	1
253	-0.1787	-0.2416	0.2543	0.3829	0.5006	-1	1
254	-0.1788	-0.4858	0.2576	0.3828	0.7895	-1	1
254	-0.1673	-0.2005	-0.1328	-0.1098	0.5387	-1	1
255	-0.1852	-0.4953	0.2536	0.3782	0.7942	-1	1
256	-0.19	-0.49	0.2518	0.379	0.8772	-1	1
257	-0.1913	-0.491	0.2514	0.3753	0.8841	-1	1
258	-0.1896	-0.4899	0.2535	0.3738	0.8884	-1	1
259	-0.187	-0.4916	0.2531	0.3738	0.89	-1	1
260	-0.1837	-0.4785	0.2517	0.3725	0.7977	-1	1
261	-0.1868	-0.4901	0.2504	0.368	0.7073	-1	1
262	-0.1693	-0.4612	0.2485	0.3664	0.7683	-1	1
262	0.1768	-0.2257	0.2515	-0.1195	0.3287	-1	1
263	-0.1796	-0.4798	0.2502	0.3666	0.7845	-1	1
263	0.1786	-0.2227	0.2526	-0.1205	0.3168	-1	1
264	-0.181	-0.4473	0.2484	0.2879	0.7262	-1	1
265	-0.1856	-0.4971	0.249	0.1803	0.8356	-1	1
266	-0.1835	-0.493	0.253	0.369	0.8521	-1	1
267	-0.1804	-0.4969	0.2535	0.3686	0.9013	-1	1
268	-0.1833	-0.4798	0.2532	0.3616	0.831	-1	1
268	0.1627	-0.2989	0.2589	-0.1695	0.3608	-1	1
269	-0.1785	-0.4232	0.2496	0.3596	0.831	-1	1
269	0.1629	-0.3184	0.2601	-0.1965	0.2899	-1	1
270	-0.1761	-0.2952	0.2492	0.3583	0.8809	-1	1
271	-0.176	-0.3012	0.2515	0.3594	0.9027	-1	1
271	0.1523	-0.3496	0.2709	-0.2273	0.4297	-1	1
272	-0.1827	-0.3065	0.2505	0.3553	0.8943	-1	1
273	-0.1797	-0.3122	0.2446	0.3561	0.886	-1	1
273	-0.1875	-0.2559	-0.1505	-0.1886	0.3007	-1	1
274	-0.1908	-0.3125	0.2411	0.3561	0.9005	-1	1
274	-0.1912	-0.2525	-0.1547	-0.173	0.3234	-1	1
275	-0.1909	-0.3109	0.2488	0.3519	0.8773	-1	1
275	-0.1898	-0.2487	-0.1549	-0.1695	0.2665	-1	1
276	-0.1884	-0.3156	0.2471	0.3611	0.8777	-1	1
277	-0.1929	-0.2954	0.2462	0.3607	0.8272	-1	1
278	-0.1856	-0.2862	0.2517	0.3612	0.6569	-1	1
278	-0.1848	-0.2847	0.2014	0.1305	0.4938	-1	1
279	-0.1925	-0.2838	0.255	0.368	0.776	-1	1
279	-0.195	-0.2813	0.2096	0.1329	0.4046	-1	1
279	0.0385	-0.2028	0.2538	0.3697	0.375	-1	1
280	-0.1931	-0.2847	0.2543	0.3733	0.8353	-1	1
281	-0.1937	-0.2895	0.2532	0.3746	0.801	-1	1
281	0.0373	-0.196	0.2521	0.3749	0.3273	-1	1
282	-0.1926	-0.2791	0.2538	0.3828	0.7733	-1	1
282	0.0404	-0.1876	0.2523	0.3833	0.2741	-1	1
283	-0.1857	-0.268	0.2558	0.3882	0.7962	-1	1
283	-0.1904	-0.2715	0.2124	0.1571	0.3067	-1	1
284	-0.182	-0.2725	0.2585	0.3896	0.8434	-1	1
285	-0.1765	-0.262	0.2603	0.391	0.8369	-1	1
286	-0.1984	-0.4441	0.2656	0.392	0.8128	-1	1
287	-0.1905	-0.4329	0.267	0.3922	0.821	-1	1
288	-0.1764	-0.4009	0.2677	0.3943	0.8206	-1	1
289	-0.1765	-0.4373	0.2667	0.3907	0.8075	-1	1
290	-0.1827	-0.3987	0.2574	0.3879	0.8164	-1	1
291	-0.1822	-0.4268	0.2563	0.389	0.8839	-1	1
292	-0.1763	-0.3653	0.2601	0.388	0.8566	-1	1
293	-0.168	-0.3364	0.2615	0.3902	0.8897	-1	1
294	-0.1836	-0.3516	0.2615	0.3891	0.8604	-1	1
295	-0.1802	-0.3	0.256	0.3894	0.8658	-1	1
296	-0.1881	-0.2938	0.2561	0.392	0.8622	-1	1
297	-0.1514	-0.2866	0.262	0.3945	0.9057	-1	1
298	-0.1542	-0.3148	0.2615	0.3948	0.8699	-1	1
299	-0.1605	-0.4472	0.2585	0.3973	0.856	-1	1
300	-0.1597	-0.4416	0.2593	0.3993	0.8376	-1	1
301	-0.184	-0.4563	0.2603	0.3988	0.8603	-1	1
302	-0.2033	-0.4204	0.2593	0.4047	0.8864	-1	1
303	-0.1949	-0.3888	0.2598	0.4026	0.9011	-1	1
304	-0.1615	-0.4181	0.2662	0.4045	0.8962	-1	1
305	-0.1604	-0.4293	0.2899	0.4076	0.9255	-1	1
306	-0.164	-0.4522	0.2837	0.4116	0.9245	-1	1
307	-0.1725	-0.4691	0.2753	0.4097	0.9067	-1	1
308	-0.1759	-0.463	0.2769	0.406	0.7857	-1	1
309	-0.1783	-0.4255	0.2715	0.3992	0.9	-1	1
309	-0.2096	-0.1416	-0.1226	0.1637	0.3115	-1	1
310	-0.1664	-0.4291	0.2555	0.3969	0.8539	-1	1
310	-0.2108	-0.1525	-0.1136	0.1466	0.314	-1	1
311	-0.1607	-0.4645	0.2746	0.3988	0.8707	-1	1
312	-0.1609	-0.4368	0.2733	0.3982	0.7857	-1	1
312	-0.2072	-0.1536	-0.1098	0.1533	0.4062	-1	1
313	-0.1576	-0.2708	0.2473	0.3993	0.7783	-1	1
313	-0.2071	-0.1552	-0.1068	0.1563	0.4601	-1	1
314	-0.1585	-0.2717	0.2496	0.4009	0.837	-1	1
314	-0.2072	-0.1548	-0.1059	0.1595	0.431	-1	1
314	0.0729	-0.3387	0.2573	-0.1019	0.27	-1	1
315	-0.1586	-0.2826	0.244	0.4021	0.7314	-1	1
315	0.0403	-0.3396	0.2514	-0.1017	0.5546	-1	1
315	-0.2076	-0.1595	-0.103	0.171	0.3947	-1	1
316	-0.1585	-0.3085	0.2512	0.403	0.6714	-1	1
316	-0.2071	-0.1568	-0.1029	0.1731	0.423	-1	1
317	-0.1564	-0.2995	0.2583	0.4078	0.7344	-1	1
317	-0.207	-0.1554	-0.1036	0.1711	0.424	-1	1
318	-0.1576	-0.3019	0.2521	0.4139	0.6909	-1	1
318	0.0315	-0.0356	0.2446	0.4067	0.4976	-1	1
318	-0.2081	-0.1572	-0.1053	0.1748	0.3822	-1	1
319	0.1015	-0.2981	0.2597	-0.0632	0.5531	-1	1
319	-0.1601	-0.2937	0.2516	0.4061	0.5291	-1	1
319	0.0262	-0.0345	0.2428	0.4073	0.3659	-1	1
319	-0.2099	-0.1553	-0.1094	0.1713	0.2897	-1	1
319	-0.158	-0.2656	0.1175	0.2117	0.2839	-1	1
320	-0.1602	-0.3278	0.2536	0.4061	0.7843	-1	1
321	-0.1596	-0.3099	0.2489	0.4053	0.8657	-1	1
322	-0.16	-0.3187	0.2648	0.4115	0.6463	-1	1
322	-0.0054	-0.0535	0.2427	0.4085	0.605	-1	1
322	-0.2093	-0.1552	-0.1084	0.1747	0.4234	-1	1
322	0.0737	-0.2909	0.2515	-0.0848	0.3858	-1	1
322	-0.047	-0.4464	0.1267	-0.2197	0.3732	-1	1
322	-0.1579	-0.2605	0.1102	0.2175	0.329	-1	1
323	-0.1594	-0.3183	0.2596	0.4143	0.7427	-1	1
323	-0.004	-0.0499	0.2443	0.4111	0.6298	-1	1
323	-0.2079	-0.1523	-0.1041	0.1737	0.4197	-1	1
323	0.0832	-0.2987	0.2532	-0.0815	0.3274	-1	1
324	-0.1596	-0.3149	0.257	0.4055	0.8915	-1	1
324	-0.2072	-0.1521	-0.1042	0.1736	0.4123	-1	1
324	0.079	-0.2981	0.2535	-0.0984	0.2943	-1	1
325	-0.1607	-0.277	0.249	0.4048	0.727	-1	1
325	0.1027	-0.2975	0.257	-0.1054	0.7018	-1	1
325	-0.2071	-0.1496	-0.1029	0.1737	0.4239	-1	1
325	-0.046	-0.467	0.1482	-0.1813	0.3955	-1	1
325	-0.1563	-0.2476	0.0068	0.2146	0.3795	-1	1
326	0.1029	-0.2915	0.2624	-0.1198	0.6801	-1	1
326	-0.1575	-0.2419	0.0181	0.216	0.5651	-1	1
326	-0.1603	-0.2533	0.2468	0.4054	0.5146	-1	1
326	-0.2069	-0.1494	-0.1032	0.1724	0.3692	-1	1
327	-0.1589	-0.2538	0.2468	0.4059	0.7197	-1	1
327	0.1039	-0.292	0.2616	-0.1307	0.6078	-1	1
327	-0.1564	-0.2436	0.0285	0.2134	0.3654	-1	1
327	-0.2055	-0.1486	-0.1018	0.1697	0.2852	-1	1
328	-0.1562	-0.2558	0.2477	0.4063	0.7611	-1	1
328	0.0965	-0.2981	0.2654	-0.1401	0.5416	-1	1
329	-0.1575	-0.253	0.2466	0.4062	0.729	-1	1
329	0.0936	-0.2968	0.2664	-0.1518	0.5612	-1	1
330	-0.1591	-0.2509	0.2478	0.4055	0.6835	-1	1
330	-0.158	-0.2404	0.0321	0.2107	0.4576	-1	1
330	0.1058	-0.2969	0.262	-0.1587	0.4329	-1	1
331	-0.1666	-0.2533	0.25	0.4043	0.8779	-1	1
331	0.1053	-0.3063	0.262	-0.1672	0.4764	-1	1
332	-0.1661	-0.2408	0.2482	0.4021	0.8447	-1	1
333	-0.1665	-0.2331	0.2529	0.4018	0.7166	-1	1
333	-0.1688	-0.466	0.2684	0.4047	0.3084	-1	1
334	-0.1652	-0.2399	0.254	0.4029	0.7116	-1	1
335	-0.1731	-0.3847	0.2568	0.4013	0.6849	-1	1
336	-0.1742	-0.444	0.2583	0.4005	0.7093	-1	1
337	-0.1687	-0.3943	0.2627	0.4013	0.6266	-1	1
338	-0.1723	-0.4357	0.2666	0.3994	0.6495	-1	1
339	-0.1737	-0.2655	0.2625	0.4015	0.6579	-1	1
340	-0.1706	-0.4413	0.2751	0.4038	0.835	-1	1
341	-0.1682	-0.4755	0.279	0.4036	0.7652	-1	1
341	-0.1968	-0.0711	-0.0841	0.1893	0.2919	-1	1
342	-0.1384	-0.2907	0.2784	0.4062	0.6692	-1	1
343	-0.1428	-0.2685	0.2816	0.4122	0.6705	-1	1
344	-0.1729	-0.2964	0.2802	0.4109	0.6707	-1	1
345	-0.1863	-0.2217	0.2712	0.4091	0.6348	-1	1
346	-0.1829	-0.2134	0.2742	0.4147	0.6468	-1	1
347	-0.1836	-0.2101	0.2758	0.4134	0.6909	-1	1
347	-0.0371	-0.4096	0.1905	-0.1561	0.2831	-1	1
348	-0.1825	-0.208	0.2763	0.4147	0.6311	-1	1
349	-0.1911	-0.1922	0.2703	0.4144	0.8472	-1	1
349	-0.0285	-0.4223	0.1906	-0.1511	0.3727	-1	1
350	-0.1916	-0.1819	0.275	0.4186	0.6813	-1	1
351	-0.1839	-0.388	0.2868	0.4266	0.7068	-1	1
352	-0.1821	-0.2645	0.2837	0.4285	0.7157	-1	1
353	-0.1811	-0.1744	0.2818	0.4232	0.8486	-1	1
353	-0.0241	-0.4149	0.2068	-0.1449	0.6685	-1	1
354	-0.1798	-0.1663	0.2817	0.4293	0.889	-1	1
354	-0.0274	-0.4202	0.2142	-0.1339	0.7996	-1	1
354	0.1412	-0.2396	0.3259	-0.0774	0.2627	-1	1
355	-0.1786	-0.163	0.2855	0.4262	0.8668	-1	1
355	-0.0249	-0.441	0.2171	-0.135	0.5901	-1	1
355	0.1458	-0.2314	0.3307	-0.0783	0.3108	-1	1
356	-0.1748	-0.158	0.2915	0.43	0.8251	-1	1
356	-0.0235	-0.4062	0.2116	-0.1347	0.4757	-1	1
