Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
21:01.6,,,0.346769216
21:01.7,,,0.292026772
21:01.8,,,0.305803018
21:01.8,,,0.318680055
21:01.8,,,0.288298657
21:01.9,,,0.341296614
21:01.9,,,0.319798998
21:01.9,,,0.296517423
21:02.0,,,0.30330213
21:02.0,,,0.346108341
21:02.0,,,0.294513835
21:02.1,21:02.1,0.072515,0.251425955
21:02.1,,,0.251425955
21:02.2,21:02.3,0.072053,0.267487644
21:02.3,,,0.267487644
21:02.3,21:02.4,0.069426,0.282883214
21:02.4,,,0.282883214
21:03.8,,,0.280933515
21:03.9,,,0.268366498
21:03.9,,,0.282379711
21:03.9,,,0.279511687
21:04.0,,,0.28702825
21:04.0,,,0.288656224
21:04.0,,,0.272604873
21:04.1,,,0.282379711
21:04.1,,,0.296633085
21:04.1,,,0.282379711
21:04.2,,,0.274990804
21:04.2,,,0.281244976
21:04.2,,,0.287401409
21:04.3,,,0.280581734
21:04.3,,,0.304369006
21:04.3,,,0.282379711
21:04.4,,,0.281075961
21:04.4,,,0.29748837
21:04.4,,,0.325414581
21:04.5,,,0.288656224
21:04.5,,,0.29518689
21:04.5,,,0.29518689
21:04.6,,,0.295967491
21:04.6,,,0.325177146
21:04.6,,,0.27556038
21:04.7,,,0.293752878
21:04.7,,,0.282499792
21:04.7,,,0.29518689
21:04.8,,,0.304369006
21:04.8,,,0.304369006
21:04.8,,,0.304369006
21:04.9,,,0.314729022
21:04.9,,,0.304112894
21:05.0,,,0.296633085
21:05.1,,,0.288656224
21:05.2,,,0.296633085
21:05.4,,,0.296441705
21:05.4,,,0.284402944
21:05.5,,,0.280485401
21:05.5,,,0.288656224
21:05.5,,,0.289717077
21:05.6,,,0.296633085
21:05.6,,,0.287210029
21:05.6,,,0.266800222
21:05.7,,,0.295199074
21:05.7,,,0.282379711
21:05.7,,,0.268246417
21:05.8,,,0.2689413
21:05.8,,,0.289125416
21:05.8,,,0.261032912
21:05.9,,,0.287210029
21:06.0,,,0.26404153
21:06.0,,,0.296633085
21:06.0,,,0.290070213
21:06.1,,,0.266800222
21:06.1,,,0.266800222
21:06.1,,,0.28985952
