Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
32:09.0,32:09.1,0.135869,0.27194579
32:09.1,,,0.27194579
32:09.2,32:09.3,0.100519,0.252572789
32:09.3,,,0.252572789
32:09.3,32:09.4,0.097804,0.277076016
32:09.4,,,0.277076016
32:09.5,,,0.270429931
32:09.5,32:10.0,0.48074,0.258038021
32:10.0,,,0.258038021
32:10.1,32:10.2,0.147751,0.25707702
32:10.2,,,0.25707702
32:10.3,32:10.4,0.121535,0.26638337
32:10.4,,,0.26638337
32:10.5,32:10.6,0.123944,0.276405015
32:10.6,,,0.276405015
32:10.6,,,0.252440239
32:10.7,32:10.8,0.107236,0.266371354
32:10.8,,,0.266371354
32:10.9,32:11.1,0.227517,0.261997471
32:11.1,,,0.261997471
32:11.1,32:11.2,0.05208,0.265201741
32:11.2,,,0.265201741
32:11.2,,,0.250715038
32:11.3,,,0.27475469
32:11.3,,,0.258957928
32:11.4,32:11.9,0.453392,0.260906122
32:11.9,,,0.260906122
32:11.9,32:11.9,0.049434,0.260208399
32:11.9,,,0.260208399
32:12.0,32:12.0,0.048715,0.254487455
32:12.0,,,0.254487455
32:12.1,32:12.5,0.387188,0.25707702
32:12.5,,,0.25707702
32:12.5,,,0.275827433
32:12.6,32:12.6,0.049273,0.257720359
32:12.6,,,0.257720359
32:12.7,32:12.7,0.054282,0.261353495
32:12.7,,,0.261353495
32:12.8,,,0.251788818
32:12.8,,,0.260208399
32:12.9,32:13.3,0.454277,0.25707702
32:13.3,,,0.25707702
32:13.4,32:13.5,0.097312,0.256781708
32:13.5,,,0.256781708
32:13.5,,,0.256781708
32:13.6,32:14.1,0.535489,0.258015671
32:14.1,,,0.258015671
32:14.2,,,0.252440239
32:14.2,32:14.5,0.284559,0.259160767
32:14.5,,,0.259160767
32:14.6,32:14.7,0.147518,0.258015671
32:14.7,,,0.258015671
32:14.8,,,0.252440239
32:14.8,,,0.278020161
32:14.9,,,0.257720359
32:14.9,,,0.275827433
32:15.0,,,0.260906122
32:15.0,,,0.26309885
32:15.1,,,0.260085237
32:15.1,32:15.2,0.048795,0.251493506
32:15.2,,,0.251493506
32:15.2,32:15.3,0.047812,0.257720359
32:15.3,,,0.257720359
32:15.3,32:15.4,0.142218,0.258038021
32:15.4,,,0.258038021
32:15.5,,,0.26061081
32:15.6,,,0.251010351
32:15.6,32:15.6,0.048775,0.252440239
32:15.6,,,0.252440239
32:15.7,,,0.257720359
32:15.7,32:15.8,0.053782,0.257720359
32:15.8,,,0.257720359
32:15.9,,,0.251680098
32:15.9,,,0.258015671
32:16.0,,,0.260208399
32:16.0,32:16.1,0.053914,0.254192143
32:16.1,,,0.254192143
32:16.1,32:16.2,0.050654,0.26309885
32:16.2,,,0.26309885
32:16.2,,,0.268123258
32:16.3,,,0.258038021
32:16.3,,,0.275532121
32:16.4,,,0.252144927
32:16.4,,,0.268123258
32:16.5,,,0.270170474
32:16.5,,,0.267530816
32:16.6,,,0.277579337
32:16.6,32:16.7,0.049875,0.268123258
32:16.7,,,0.268123258
32:16.7,,,0.252440239
32:16.8,32:16.9,0.146039,0.267250672
32:16.9,,,0.267250672
32:17.0,,,0.269417625
32:17.0,,,0.265201741
32:17.1,,,0.252440239
32:17.1,32:17.2,0.056935,0.275532121
32:17.2,,,0.275532121
32:17.3,32:17.3,0.057929,0.262008763
32:17.3,,,0.262008763
32:17.4,32:17.5,0.075562,0.267176437
32:17.5,,,0.267176437
32:17.5,,,0.270059664
32:17.6,,,0.277879194
32:17.6,,,0.262957882
32:17.7,32:17.8,0.051521,0.258015671
32:17.8,,,0.258015671
