Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
09:44.6,,,0.29724946
09:44.6,,,0.301593126
09:44.7,,,0.343631455
09:44.8,,,0.292161874
09:44.8,,,0.287611871
09:44.9,,,0.289747872
09:44.9,,,0.289747872
09:44.9,,,0.289736699
09:45.0,,,0.289736699
09:45.0,,,0.275895164
09:45.1,,,0.289736699
09:45.1,,,0.267176437
09:45.2,,,0.299351017
09:45.2,,,0.275640229
09:45.3,,,0.29654733
09:45.3,09:45.5,0.202656,0.262132453
09:45.5,,,0.262132453
09:45.6,09:45.7,0.14815,0.285351243
09:45.7,,,0.285351243
09:45.8,,,0.279497127
09:45.8,,,0.289373656
09:45.9,,,0.2849882
09:45.9,,,0.289747872
09:46.0,,,0.303163005
09:46.0,,,0.296340254
09:46.1,,,0.307119446
09:46.1,09:46.2,0.047135,0.294171587
09:46.2,,,0.294171587
09:46.2,,,0.258038021
09:46.3,,,0.278388791
09:46.3,,,0.322804453
09:46.4,,,0.285351243
09:46.4,,,0.285351243
09:46.5,09:46.5,0.049648,0.2924941
09:46.5,,,0.2924941
09:46.6,09:46.7,0.100472,0.258038021
09:46.7,,,0.258038021
09:46.7,09:46.8,0.054566,0.268123258
09:46.8,,,0.268123258
09:47.5,,,0.277579337
09:47.5,,,0.302135642
09:47.6,,,0.283915456
09:47.6,,,0.304563675
09:47.7,,,0.287549558
09:47.8,,,0.2849882
09:47.8,,,0.304992691
09:47.9,,,0.32596012
09:47.9,,,0.277076016
09:48.0,,,0.285351243
09:48.1,,,0.295887098
09:48.1,,,0.296250141
09:48.2,,,0.32596012
09:48.2,,,0.306785996
09:48.3,,,0.306785996
09:48.4,,,0.3176553
09:48.4,,,0.324139149
09:48.5,,,0.294233295
09:48.5,,,0.324139149
09:48.6,,,0.285351243
09:48.6,,,0.287549558
09:48.7,,,0.287543971
09:48.8,,,0.316959835
09:48.8,,,0.289373656
09:48.9,,,0.275827433
09:48.9,,,0.328524605
09:49.0,,,0.26309885
09:49.0,09:49.1,0.047797,0.251829685
09:49.1,,,0.251829685
09:49.1,,,0.269737795
09:49.2,09:49.2,0.050982,0.279274331
09:49.2,,,0.279274331
09:49.3,,,0.269732209
09:49.3,,,0.296250141
09:49.4,,,0.290851349
09:49.4,,,0.289747872
09:49.5,,,0.285351243
09:49.5,,,0.30064677
09:49.6,,,0.285351243
09:49.6,,,0.298899679
09:49.7,,,0.289747872
09:49.7,,,0.303163005
09:49.8,,,0.277076016
09:49.8,,,0.306785996
09:49.9,,,0.277076016
09:49.9,,,0.34570069
09:50.0,,,0.287180928
09:50.0,,,0.266371354
09:50.1,,,0.305903338
09:50.1,,,0.275907179
09:50.2,,,0.296250141
09:50.2,,,0.296250141
09:50.3,,,0.284753011
09:50.3,,,0.28645472
09:50.4,,,0.309323347
09:50.4,,,0.298079826
09:50.5,,,0.26753948
09:50.5,,,0.303163005
09:50.6,,,0.270429931
09:50.6,,,0.289747872
09:50.7,,,0.302799962
09:50.7,,,0.287543971
09:50.8,,,0.287180928
09:50.8,,,0.275532121
09:50.9,,,0.2849882
09:50.9,,,0.306785996
09:51.0,,,0.306785996
09:51.0,,,0.287543971
09:51.1,,,0.277724849
09:51.1,,,0.300272554
09:51.2,,,0.296250141
09:51.3,,,0.321065529
09:51.3,,,0.259767575
09:51.4,,,0.295887098
09:51.4,,,0.258902368
09:51.5,,,0.289373656
09:51.5,09:51.6,0.054832,0.260067431
09:51.6,,,0.260067431
09:51.6,,,0.275532121
09:51.7,,,0.292161874
09:51.7,,,0.2849882
09:51.8,,,0.320611725
09:51.8,,,0.277579337
09:51.9,,,0.268123258
09:51.9,,,0.289747872
09:52.0,,,0.285351243
09:52.0,,,0.289373656
09:52.1,,,0.29420909
09:52.1,,,0.275532121
09:52.2,,,0.302799962
09:52.2,,,0.311155646
09:52.3,,,0.266076042
09:52.3,,,0.298448455
09:52.4,,,0.287180928
09:52.4,,,0.2849882
09:52.5,,,0.302799962
09:52.5,,,0.295887098
09:52.6,,,0.321065529
09:52.6,,,0.306785996
09:52.7,,,0.32460194
09:52.7,,,0.266076042
09:52.8,,,0.278075335
09:52.8,,,0.321065529
09:52.9,,,0.271561894
09:52.9,,,0.296250141
09:53.0,,,0.2849882
09:53.0,,,0.321065529
09:53.1,,,0.34570069
09:53.1,,,0.276712973
09:53.2,,,0.26753948
