Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
04:35.5,04:35.5,0.071018,0.250988242
04:35.5,,,0.250988242
04:35.6,04:35.6,0.034999,0.258639261
04:35.6,,,0.258639261
04:35.6,04:35.7,0.072617,0.25838575
04:35.7,,,0.25838575
04:35.7,,,0.258639261
04:35.8,04:35.8,0.034997,0.258305247
04:35.8,,,0.258305247
04:35.9,,,0.25269541
04:35.9,04:36.0,0.070515,0.258639261
04:36.0,,,0.258639261
04:36.0,04:36.3,0.280325,0.29361011
04:36.3,,,0.29361011
04:36.3,,,0.329030169
04:36.3,,,0.35385165
04:36.4,,,0.337956149
04:36.4,,,0.36495923
04:36.4,,,0.352941176
04:36.5,,,0.363605447
04:36.5,,,0.378346571
04:36.5,,,0.348620419
04:36.6,,,0.339173245
04:36.6,,,0.35385165
04:36.7,,,0.381693143
04:36.7,,,0.380110492
04:36.7,,,0.353375443
04:36.8,,,0.35840434
04:36.8,,,0.343791121
04:36.8,,,0.368055949
04:36.9,,,0.356748152
04:36.9,,,0.357026144
04:36.9,,,0.368532155
04:37.0,,,0.339173245
04:37.0,,,0.35385375
04:37.0,,,0.344097743
04:37.1,,,0.368534256
04:37.1,,,0.371825506
04:37.1,,,0.374722008
04:37.2,,,0.368227633
04:37.2,,,0.368055949
04:37.2,,,0.334224435
04:37.3,,,0.343982212
04:37.3,,,0.355068746
04:37.4,,,0.386159917
04:37.4,,,0.35385165
04:37.4,,,0.382736454
04:37.4,,,0.38395145
04:37.5,,,0.372980447
04:37.5,,,0.372511664
04:37.6,,,0.376694594
04:37.6,,,0.361540661
04:37.6,,,0.34493883
04:37.7,,,0.335748333
04:37.7,,,0.354762123
04:37.7,,,0.38499164
04:37.8,,,0.358803625
04:37.8,,,0.358662718
04:37.8,,,0.35644363
04:37.9,,,0.355068746
04:37.9,,,0.357658625
04:37.9,,,0.369270944
04:38.0,,,0.368227633
04:38.0,,,0.386034951
04:38.0,,,0.371832753
04:38.1,,,0.374422632
04:38.1,,,0.354158273
04:38.1,,,0.359112958
04:38.2,,,0.337956149
04:38.2,,,0.369749251
04:38.2,,,0.352636654
04:38.3,,,0.352636654
04:38.3,,,0.357965248
04:38.4,,,0.354762123
04:38.4,,,0.344097743
04:38.4,,,0.35385165
04:38.5,,,0.353547127
04:38.5,,,0.358803625
04:38.5,,,0.368534256
04:38.6,,,0.368864155
04:38.6,,,0.357843137
04:38.6,,,0.352332132
04:38.7,,,0.35385375
04:38.7,,,0.380854732
04:38.7,,,0.352636654
04:38.8,,,0.330230238
04:38.8,,,0.35385375
04:38.8,,,0.347706353
04:38.9,,,0.36495923
04:38.9,,,0.363666066
04:38.9,,,0.353785788
04:39.0,,,0.363666066
04:39.0,,,0.337651626
04:39.0,,,0.352332132
04:39.1,,,0.354762123
04:39.1,,,0.348115094
04:39.1,,,0.31524311
04:39.2,04:39.3,0.101007,0.260788345
04:39.3,,,0.260788345
04:39.3,,,0.273338069
04:39.3,,,0.309161734
04:39.4,,,0.320100323
04:39.4,,,0.294556578
04:39.4,,,0.295320048
04:39.5,,,0.323529455
04:39.5,,,0.339145768
04:39.5,,,0.325896054
