Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
25:50.4,25:50.5,0.139254,0.264078612
25:50.5,,,0.264078612
25:50.5,,,0.290113144
25:50.6,,,0.294171516
25:50.6,,,0.301319508
25:50.6,,,0.312603763
25:50.7,,,0.300386625
25:50.7,,,0.305460905
25:50.8,,,0.32610688
25:50.8,,,0.337515447
25:50.8,,,0.342566053
25:50.9,,,0.334270858
25:50.9,,,0.335113093
25:50.9,,,0.343412098
25:51.0,,,0.329081786
25:51.0,,,0.324149628
25:51.0,,,0.355976445
25:51.1,,,0.375038616
25:51.1,,,0.368824143
25:51.1,,,0.363133855
25:51.2,,,0.368824143
25:51.2,,,0.368824143
25:51.3,,,0.368824143
25:51.3,,,0.390807459
25:51.3,,,0.384196012
25:51.4,,,0.37295682
25:51.4,,,0.360868867
25:51.4,,,0.391032348
25:51.5,,,0.345860664
25:51.5,,,0.333388688
25:51.5,,,0.366937566
25:51.6,,,0.347705866
25:51.6,,,0.345014619
25:51.6,,,0.3498209
25:51.7,,,0.345014619
25:51.7,,,0.357884021
25:51.7,,,0.341487567
25:51.8,,,0.374571368
25:51.8,,,0.366375577
25:51.8,,,0.379445126
25:51.9,,,0.353347952
25:51.9,,,0.340829124
25:51.9,,,0.340829124
25:52.0,,,0.356919381
25:52.0,,,0.365829124
25:52.0,,,0.352395897
25:52.1,,,0.335025424
25:52.1,,,0.357918537
25:52.1,,,0.356089722
25:52.2,,,0.332495791
25:52.2,,,0.37809842
25:52.2,,,0.333333333
25:52.3,,,0.341666667
25:52.3,,,0.341666667
25:52.3,,,0.358716664
25:52.4,,,0.356305315
25:52.4,,,0.345238095
25:52.4,,,0.357142857
25:52.5,,,0.34829731
25:52.5,,,0.369607706
25:52.5,,,0.360135517
25:52.6,,,0.368765471
25:52.6,,,0.378593835
25:52.6,,,0.341455093
25:52.7,,,0.344400553
25:52.7,,,0.333388688
25:52.7,,,0.345035977
25:52.8,,,0.354128767
25:52.8,,,0.353384758
25:52.8,,,0.333424813
25:52.9,,,0.334834865
25:52.9,,,0.345692421
25:52.9,,,0.333801134
25:53.0,,,0.333801134
25:53.0,,,0.334646221
25:53.0,,,0.323082643
25:53.1,,,0.309493745
25:53.1,25:53.2,0.102745,0.263564646
25:53.2,,,0.263564646
25:53.2,,,0.275373969
25:53.3,,,0.310346268
25:53.3,,,0.287032442
25:53.3,,,0.287032442
25:53.4,,,0.322554507
25:53.4,,,0.298744983
25:53.4,,,0.334267047
25:53.5,,,0.333424813
25:53.5,,,0.342600381
25:53.5,,,0.337930032
25:53.6,,,0.322554507
25:53.6,,,0.354347108
25:53.7,,,0.325849056
25:53.7,,,0.342600381
25:53.7,,,0.333424813
25:53.8,,,0.338273921
25:53.8,,,0.346013775
25:53.8,,,0.346013775
25:53.9,,,0.34527595
25:53.9,,,0.346013775
25:53.9,,,0.346013775
25:54.0,,,0.354894438
25:54.0,,,0.343412098
25:54.0,,,0.345825131
25:54.1,,,0.345825131
25:54.1,,,0.342566053
25:54.1,,,0.346013775
25:54.2,,,0.354894438
25:54.2,,,0.347705866
25:54.3,,,0.334267047
25:54.3,,,0.34685982
25:54.3,,,0.346013775
25:54.4,,,0.358817735
25:54.4,,,0.357076302
25:54.4,,,0.333424813
25:54.5,,,0.325757576
25:54.5,,,0.332495791
25:54.5,,,0.346013775
25:54.6,,,0.346013775
25:54.6,,,0.34527595
25:54.6,,,0.342333612
25:54.7,,,0.354894438
25:54.7,,,0.355432455
25:54.7,,,0.354894438
25:54.8,,,0.355100381
25:54.8,,,0.35251041
25:54.9,,,0.334267047
25:54.9,,,0.347705866
25:54.9,,,0.34685982
25:55.0,,,0.346017586
25:55.0,,,0.345860664
25:55.0,,,0.346013775
25:55.1,,,0.354894438
25:55.1,,,0.366597082
25:55.1,,,0.346013775
25:55.2,,,0.3540105
25:55.2,,,0.378488369
25:55.2,,,0.378504874
25:55.3,,,0.388227772
25:55.3,,,0.349801654
25:55.4,,,0.34829731
25:55.4,,,0.378703962
25:55.4,,,0.356927264
25:55.5,,,0.341298923
25:55.5,,,0.352311691
25:55.5,,,0.366758146
25:55.6,,,0.353384758
25:55.6,,,0.353190211
25:55.6,,,0.356927264
25:55.7,,,0.353095188
25:55.7,,,0.358456743
25:55.7,,,0.356089722
25:55.8,,,0.346670219
25:55.8,,,0.353190211
25:55.9,,,0.365081498
25:55.9,,,0.357860978
25:55.9,,,0.361523963
25:56.0,,,0.360653274
25:56.0,,,0.378703962
25:56.0,,,0.388227772
25:56.1,,,0.356927264
25:56.1,,,0.377364705
25:56.1,,,0.381354433
25:56.2,,,0.349632675
25:56.2,,,0.369463146
25:56.2,,,0.372741228
25:56.2,,,0.365081498
25:56.3,,,0.36860855
25:56.3,,,0.369607706
25:56.3,,,0.381354433
25:56.4,,,0.369607706
25:56.4,,,0.379347108
25:56.4,,,0.370430913
25:56.5,,,0.378703962
25:56.5,,,0.3667992
25:56.5,,,0.356927264
25:56.6,,,0.381354433
25:56.6,,,0.372741228
25:56.6,,,0.356927264
25:56.7,,,0.365491638
25:56.7,,,0.36860855
25:56.8,,,0.369607706
25:56.8,,,0.357667589
25:56.8,,,0.377334295
25:56.9,,,0.377334295
25:56.9,,,0.33314469
25:56.9,,,0.377334295
25:56.9,,,0.357716418
25:57.0,,,0.345825131
25:57.0,,,0.365081498
25:57.1,,,0.377334295
25:57.1,,,0.356927264
25:57.1,,,0.345825131
25:57.2,,,0.365081498
25:57.2,,,0.340863082
25:57.2,,,0.365081498
25:57.3,,,0.369607706
25:57.3,,,0.356927264
25:57.3,,,0.378488369
25:57.4,,,0.380289835
25:57.4,,,0.369607706
25:57.4,,,0.382094758
25:57.5,,,0.36860855
25:57.5,,,0.36860855
25:57.5,,,0.356089722
25:57.6,,,0.344198435
25:57.6,,,0.357571858
25:57.6,,,0.381354433
25:57.7,,,0.357571858
25:57.7,,,0.33314469
25:57.7,,,0.345969691
25:57.8,,,0.345035977
25:57.8,,,0.341448326
25:57.8,,,0.334081257
25:57.9,,,0.380289835
25:57.9,,,0.334267047
25:57.9,,,0.357918537
25:58.0,,,0.368981064
25:58.0,,,0.367222824
25:58.0,,,0.346013775
25:58.1,,,0.369826637
25:58.1,,,0.369823299
25:58.1,,,0.357076302
25:58.2,,,0.369823299
25:58.2,,,0.368824143
25:58.2,,,0.368243239
25:58.3,,,0.369823299
25:58.3,,,0.378703962
25:58.3,,,0.375899386
25:58.4,,,0.366375577
25:58.4,,,0.365081498
25:58.4,,,0.378703962
25:58.5,,,0.357918537
25:58.5,,,0.369823299
25:58.5,,,0.357918537
25:58.6,,,0.357918537
25:58.6,,,0.368090428
25:58.6,,,0.358076571
25:58.7,,,0.369607706
25:58.7,,,0.358817735
25:58.7,,,0.368981064
25:58.8,,,0.359505746
25:58.8,,,0.370564462
25:58.8,,,0.358817735
25:58.9,,,0.359558899
25:58.9,,,0.36860855
25:58.9,,,0.370089199
25:59.0,,,0.356927264
25:59.0,,,0.369607706
25:59.1,,,0.36860855
25:59.1,,,0.35617651
25:59.1,,,0.356927264
25:59.2,,,0.377334295
25:59.2,,,0.36860855
25:59.2,,,0.356927264
25:59.3,,,0.369823299
25:59.3,,,0.36860855
25:59.3,,,0.369085473
25:59.4,,,0.368824143
25:59.4,,,0.346013775
25:59.4,,,0.372003357
25:59.5,,,0.358076571
25:59.5,,,0.36860855
25:59.6,,,0.346013775
25:59.6,,,0.365081498
25:59.6,,,0.354347108
25:59.7,,,0.369823299
25:59.7,,,0.342600381
25:59.7,,,0.369823299
25:59.8,,,0.369823299
25:59.8,,,0.342566053
25:59.8,,,0.356927264
25:59.9,,,0.339080677
25:59.9,,,0.36861516
25:59.9,,,0.368243239
26:00.0,,,0.344400553
26:00.0,,,0.370564462
26:00.0,,,0.369823299
26:00.1,,,0.334267047
26:00.1,,,0.358076571
26:00.2,,,0.334267047
26:00.2,,,0.369607706
26:00.2,26:00.3,0.077631,0.303950274
26:00.3,,,0.303950274
26:00.4,,,0.330669499
26:00.4,,,0.330669499
26:00.4,,,0.322365863
26:00.5,,,0.33088784
26:00.5,,,0.334078404
26:00.6,,,0.358076571
26:00.6,,,0.355100381
26:00.6,,,0.363227772
26:00.7,,,0.341682114
26:00.7,,,0.334267047
26:00.7,,,0.354347108
26:00.8,,,0.334267047
26:00.8,,,0.342600381
26:00.8,,,0.341666667
26:00.9,,,0.334267047
26:00.9,,,0.342600381
26:01.0,,,0.353347952
26:01.0,,,0.334267047
26:01.0,,,0.342600381
26:01.1,,,0.342600381
26:01.1,,,0.346013775
26:01.1,,,0.346013775
26:01.2,,,0.324842725
26:01.2,,,0.325757576
26:01.2,,,0.33314469
26:01.3,,,0.356717262
26:01.3,,,0.346013775
26:01.3,,,0.337595783
26:01.4,,,0.344433715
26:01.4,,,0.343443362
26:01.4,,,0.344285222
26:01.5,,,0.344825975
26:01.5,,,0.344245072
26:01.6,,,0.334078404
26:01.6,,,0.320659858
26:01.6,,,0.341758146
26:01.7,,,0.341758146
26:01.7,,,0.354347108
26:01.7,,,0.352767049
26:01.8,,,0.344433715
26:01.8,,,0.357022677
26:01.8,,,0.332582579
26:01.9,,,0.346013775
26:01.9,,,0.346013775
26:01.9,,,0.344433715
26:01.9,,,0.368243239
26:02.0,,,0.354347108
26:02.0,,,0.342600381
