Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
28:57.5,,,0.331556761
28:59.3,,,0.279568947
28:59.4,28:59.9,0.445578,0.284012166
28:59.9,,,0.284012166
28:59.9,,,0.289446725
29:00.0,,,0.384053842
29:00.0,,,0.339913143
29:00.0,,,0.363011207
29:00.4,,,0.433612074
29:00.5,,,0.337581685
29:00.5,,,0.327987613
29:00.6,,,0.387140251
29:00.6,,,0.320224784
29:01.1,29:01.4,0.321468,0.357031031
29:01.4,,,0.357031031
29:01.4,,,0.285029357
29:01.5,29:02.1,0.58869,0.333456405
29:02.1,,,0.333456405
29:02.1,29:23.0,20.949797,0.260190352
29:23.0,,,0.260190352
29:23.1,,,0.251334851
29:23.1,29:23.2,0.063205,0.279914561
29:23.2,,,0.279914561
29:23.2,,,0.259723928
29:23.3,,,0.253568234
29:23.3,,,0.265448331
29:23.4,,,0.263937566
29:24.2,,,0.273857221
29:24.5,,,0.250315742
29:24.6,,,0.28037143
29:24.6,29:24.9,0.259803,0.276144969
29:24.9,,,0.276144969
29:24.9,29:25.0,0.110417,0.25437062
29:25.0,,,0.25437062
29:25.1,,,0.254154666
29:25.1,29:25.4,0.303289,0.255519448
29:25.4,,,0.255519448
29:25.4,,,0.251542162
29:25.5,29:25.6,0.12856,0.267171157
29:25.6,,,0.267171157
29:26.2,,,0.259151021
29:26.3,,,0.269666337
29:26.5,29:26.6,0.065628,0.264069954
29:26.6,,,0.264069954
29:27.2,,,0.25394958
29:27.2,,,0.251170786
29:27.3,29:27.3,0.034621,0.255046209
29:27.3,,,0.255046209
29:27.3,,,0.26392664
29:27.4,,,0.253914591
29:27.4,29:27.5,0.073591,0.264028675
29:27.5,,,0.264028675
29:27.5,,,0.252781583
29:27.6,,,0.272220991
29:27.6,29:27.6,0.033117,0.269360684
29:27.6,,,0.269360684
29:27.7,,,0.265710099
29:27.7,,,0.253914591
29:27.8,29:28.4,0.600435,0.260190352
29:28.4,,,0.260190352
29:28.5,29:28.6,0.104978,0.252204146
29:28.6,,,0.252204146
29:28.6,29:28.6,0.034982,0.265958358
29:28.6,,,0.265958358
29:28.7,29:28.8,0.102086,0.260190352
29:28.8,,,0.260190352
29:28.8,,,0.260190352
29:28.9,,,0.272220991
29:29.0,29:29.0,0.068999,0.271025783
29:29.0,,,0.271025783
29:29.1,,,0.262174802
29:29.8,,,0.270280917
29:29.9,,,0.276144969
29:30.8,,,0.254413289
29:30.9,29:30.9,0.037983,0.26950321
29:30.9,,,0.26950321
29:31.0,,,0.263054988
29:31.0,29:31.1,0.078538,0.287739033
29:31.1,,,0.287739033
29:31.2,,,0.26156873
29:31.2,29:31.2,0.037,0.273599368
29:31.2,,,0.273599368
29:31.4,29:31.7,0.331781,0.266352457
29:31.7,,,0.266352457
29:31.8,,,0.274170362
29:31.8,,,0.271200442
29:31.8,,,0.395101172
29:32.4,,,0.298404219
29:32.5,29:32.6,0.070193,0.271873311
29:32.6,,,0.271873311
29:32.6,,,0.288840927
29:32.6,29:32.9,0.253518,0.272648863
29:32.9,,,0.272648863
29:32.9,29:33.4,0.508873,0.255653792
29:33.4,,,0.255653792
29:33.5,29:33.7,0.191036,0.256555001
29:33.7,,,0.256555001
29:33.7,31:00.7,87.001453,0.363929865
