Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
2024-12-24 15:34:07.531329,,,0.2691726870147717
2024-12-24 15:34:09.369627,,,0.29261650458713184
2024-12-24 15:34:09.419628,,,0.2935941314703785
2024-12-24 15:34:09.888521,2024-12-24 15:34:10.057408,0.168887,0.2588953889980351
2024-12-24 15:34:10.057408,,,0.2588953889980351
2024-12-24 15:34:10.091151,2024-12-24 15:34:10.191904,0.100753,0.25933027204925174
2024-12-24 15:34:10.191904,,,0.25933027204925174
2024-12-24 15:34:10.224008,,,0.2860674177554353
2024-12-24 15:34:10.258337,,,0.25291136702322037
2024-12-24 15:34:10.289889,2024-12-24 15:34:10.331089,0.0412,0.2655800060347825
2024-12-24 15:34:10.331089,,,0.2655800060347825
2024-12-24 15:34:10.362281,2024-12-24 15:34:10.532160,0.169879,0.26235957501629503
2024-12-24 15:34:10.532160,,,0.26235957501629503
2024-12-24 15:34:10.568678,,,0.2579263457717154
2024-12-24 15:34:10.603677,2024-12-24 15:34:10.637981,0.034304,0.26375002398337977
2024-12-24 15:34:10.637981,,,0.26375002398337977
2024-12-24 15:34:10.673276,2024-12-24 15:34:10.992072,0.318796,0.25040987048453395
2024-12-24 15:34:10.992072,,,0.25040987048453395
2024-12-24 15:34:11.027072,2024-12-24 15:34:12.505913,1.478841,0.2522415118272435
2024-12-24 15:34:12.505913,,,0.2522415118272435
2024-12-24 15:34:12.539812,,,0.2626172166399242
2024-12-24 15:34:12.571401,,,0.2532821498568153
2024-12-24 15:34:12.603485,2024-12-24 15:34:12.733279,0.129794,0.26477034405659683
2024-12-24 15:34:12.733279,,,0.26477034405659683
2024-12-24 15:34:12.766199,2024-12-24 15:34:12.798669,0.03247,0.2589470852553214
2024-12-24 15:34:12.798669,,,0.2589470852553214
2024-12-24 15:34:12.831582,2024-12-24 15:34:13.030089,0.198507,0.2521346197139413
2024-12-24 15:34:13.030089,,,0.2521346197139413
2024-12-24 15:34:13.062237,2024-12-24 15:34:13.129311,0.067074,0.25769526147033783
2024-12-24 15:34:13.129311,,,0.25769526147033783
2024-12-24 15:34:13.161313,2024-12-24 15:34:13.601911,0.440598,0.2561240221982264
2024-12-24 15:34:13.601911,,,0.2561240221982264
2024-12-24 15:34:13.634928,2024-12-24 15:34:13.668032,0.033104,0.2612616972855015
2024-12-24 15:34:13.668032,,,0.2612616972855015
2024-12-24 15:34:13.698614,,,0.25271760716291153
2024-12-24 15:34:13.741630,,,0.2736440762507606
2024-12-24 15:34:13.777288,,,0.250520740804692
2024-12-24 15:34:13.811306,2024-12-24 15:34:13.954113,0.142807,0.26484452256534813
2024-12-24 15:34:13.954113,,,0.26484452256534813
2024-12-24 15:34:13.987830,2024-12-24 15:34:14.023831,0.036001,0.26484452256534813
2024-12-24 15:34:14.023831,,,0.26484452256534813
2024-12-24 15:34:14.060820,,,0.26502638712686
2024-12-24 15:34:14.097327,,,0.27672537477187126
2024-12-24 15:34:14.130345,,,0.2723363286473278
2024-12-24 15:34:14.165357,,,0.28520919436294506
2024-12-24 15:34:14.198865,,,0.28499535453036345
2024-12-24 15:34:14.233865,,,0.28969283037684
2024-12-24 15:34:14.271371,,,0.2782101276701303
2024-12-24 15:34:14.308379,,,0.27347084411343126
2024-12-24 15:34:14.346380,,,0.27518064446923207
2024-12-24 15:34:14.381508,,,0.30285072511368216
2024-12-24 15:34:14.420523,,,0.25754270092150516
