Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
16:17.4,,,0.275702023
16:17.4,,,0.257927588
16:17.5,16:17.5,0.034999,0.251965249
16:17.5,,,0.251965249
16:17.5,16:18.6,1.010742,0.255704156
16:18.6,,,0.255704156
16:18.6,16:20.1,1.494829,0.26655981
16:20.1,,,0.26655981
16:20.1,,,0.25965461
16:20.2,16:20.2,0.064711,0.259426218
16:20.2,,,0.259426218
16:20.3,16:20.3,0.031615,0.255725522
16:20.3,,,0.255725522
16:20.3,,,0.26669348
16:20.4,16:20.5,0.133509,0.25570241
16:20.5,,,0.25570241
16:20.5,,,0.252751463
16:20.6,,,0.27753164
16:20.6,16:20.6,0.038902,0.25427705
16:20.6,,,0.25427705
16:20.7,16:20.7,0.032736,0.263605167
16:20.7,,,0.263605167
16:20.7,,,0.269712983
16:20.8,,,0.266647779
16:20.8,,,0.275390562
16:20.8,,,0.260475046
16:20.9,,,0.278081316
16:20.9,,,0.258102836
16:20.9,,,0.251985283
16:21.0,,,0.257142628
16:21.0,16:21.0,0.032985,0.264567833
16:21.0,,,0.264567833
16:21.1,16:21.2,0.104037,0.256766669
16:21.2,,,0.256766669
16:21.2,16:21.2,0.032508,0.272750177
16:21.2,,,0.272750177
16:21.3,,,0.252071032
16:21.3,16:21.4,0.064885,0.252830281
16:21.4,,,0.252830281
16:21.4,,,0.255794371
16:21.4,16:21.5,0.033024,0.254545397
16:21.5,,,0.254545397
16:21.5,16:21.5,0.035981,0.27242321
16:21.5,,,0.27242321
16:21.6,,,0.254723234
16:21.6,16:21.6,0.035003,0.251334851
16:21.6,,,0.251334851
16:21.7,,,0.268153458
16:21.7,,,0.269439467
16:21.7,,,0.271739412
16:21.8,,,0.271739412
16:21.8,,,0.274991956
16:21.8,,,0.256471384
16:21.9,16:22.4,0.489611,0.251374256
16:22.4,,,0.251374256
16:22.4,,,0.264457206
16:22.4,16:22.5,0.035511,0.280031816
16:22.5,,,0.280031816
16:22.5,,,0.259764381
16:22.6,,,0.268153458
16:22.6,16:22.9,0.319514,0.268098309
16:22.9,,,0.268098309
16:22.9,,,0.270910015
16:23.0,,,0.266941563
16:23.0,,,0.27223089
16:23.0,,,0.26841383
16:23.1,,,0.302244515
16:23.1,,,0.273539964
16:23.2,,,0.288527443
16:23.2,,,0.291744584
16:23.2,,,0.300745771
16:23.3,,,0.265468145
16:23.3,,,0.274252667
16:23.3,,,0.265468145
16:23.4,16:23.7,0.362959,0.268958928
16:23.7,,,0.268958928
16:23.8,16:23.8,0.03901,0.284368133
16:23.8,,,0.284368133
16:23.8,,,0.253980286
16:23.9,16:24.2,0.311676,0.259518586
16:24.2,,,0.259518586
16:24.2,16:24.3,0.06599,0.25927177
16:24.3,,,0.25927177
16:24.3,,,0.254723234
16:24.4,16:24.4,0.032043,0.25456226
16:24.4,,,0.25456226
16:24.4,,,0.270411922
16:24.5,16:24.5,0.033612,0.264250793
16:24.5,,,0.264250793
16:24.5,,,0.256074682
16:24.6,,,0.256074682
16:24.6,,,0.262342121
16:24.6,16:24.7,0.064368,0.256074682
16:24.7,,,0.256074682
16:24.7,16:24.8,0.034001,0.259518586
16:24.8,,,0.259518586
16:24.8,16:25.1,0.262474,0.252832655
16:25.1,,,0.252832655
16:25.1,16:25.1,0.032992,0.251773614
16:25.1,,,0.251773614
16:25.2,16:25.7,0.496556,0.253251147
16:25.7,,,0.253251147
16:25.7,16:25.8,0.066016,0.253652346
16:25.8,,,0.253652346
16:25.8,16:25.9,0.136654,0.252132023
16:25.9,,,0.252132023
16:26.0,16:26.1,0.142053,0.250938219
16:26.1,,,0.250938219
16:26.1,16:26.2,0.071435,0.256272687
16:26.2,,,0.256272687
16:26.2,,,0.25276685
16:26.3,16:26.3,0.037995,0.262419861
16:26.3,,,0.262419861
16:26.3,16:26.4,0.035949,0.254040694
16:26.4,,,0.254040694
16:26.4,16:26.5,0.040062,0.250277288
16:26.5,,,0.250277288
16:26.5,,,0.253184918
16:26.5,16:27.3,0.719616,0.252241653
16:27.3,,,0.252241653
16:27.3,16:28.0,0.712338,0.250800177
16:28.0,,,0.250800177
16:28.0,16:28.2,0.139784,0.250537638
16:28.2,,,0.250537638
16:28.2,16:28.2,0.032102,0.252178555
16:28.2,,,0.252178555
16:28.3,16:28.4,0.076628,0.252241653
16:28.4,,,0.252241653
16:28.4,,,0.268231618
16:28.4,16:28.6,0.167908,0.250943406
16:28.6,,,0.250943406
16:28.6,,,0.250943406
16:28.7,16:29.4,0.705439,0.257681533
16:29.4,,,0.257681533
16:29.4,16:29.6,0.237675,0.264574066
16:29.6,,,0.264574066
16:29.7,16:29.7,0.037505,0.252877708
16:29.7,,,0.252877708
