Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
2024-12-24 15:07:00.482301,2024-12-24 15:07:00.868586,0.386285,0.2616015499793004
2024-12-24 15:07:00.868586,,,0.2616015499793004
2024-12-24 15:07:00.903603,2024-12-24 15:07:01.045389,0.141786,0.31678526593674494
2024-12-24 15:07:01.045389,,,0.31678526593674494
2024-12-24 15:07:01.080901,2024-12-24 15:07:01.221937,0.141036,0.2591595813125066
2024-12-24 15:07:01.221937,,,0.2591595813125066
2024-12-24 15:07:01.257321,,,0.2591393090036649
2024-12-24 15:07:01.291419,2024-12-24 15:07:04.213204,2.921785,0.270853503855059
2024-12-24 15:07:04.213204,,,0.270853503855059
2024-12-24 15:07:04.247163,,,0.2524034832595162
2024-12-24 15:07:04.279882,,,0.26313512207442813
2024-12-24 15:07:04.311900,,,0.25201251613506553
2024-12-24 15:07:04.345329,,,0.2603758328996328
2024-12-24 15:07:04.379152,,,0.25204032235973284
2024-12-24 15:07:04.414668,,,0.2730719301339242
2024-12-24 15:07:04.449362,,,0.28031278537900034
2024-12-24 15:07:04.484867,,,0.26396807145528445
2024-12-24 15:07:04.521426,2024-12-24 15:07:04.555947,0.034521,0.2658262496538514
2024-12-24 15:07:04.555947,,,0.2658262496538514
2024-12-24 15:07:04.591639,,,0.2558657751192594
2024-12-24 15:07:04.627004,2024-12-24 15:07:04.661504,0.0345,0.27595063002913855
2024-12-24 15:07:04.661504,,,0.27595063002913855
2024-12-24 15:07:04.696502,2024-12-24 15:07:04.732500,0.035998,0.25081482027209595
2024-12-24 15:07:04.732500,,,0.25081482027209595
2024-12-24 15:07:04.767018,,,0.2646533544873252
2024-12-24 15:07:04.802019,,,0.29008255270934435
2024-12-24 15:07:04.836019,,,0.2809882677244896
2024-12-24 15:07:04.870167,,,0.2565685910389609
2024-12-24 15:07:04.904187,,,0.2669418752532095
2024-12-24 15:07:04.939172,,,0.2567357056246089
2024-12-24 15:07:04.971833,,,0.2852768308099801
2024-12-24 15:07:05.005835,,,0.2858640042320695
2024-12-24 15:07:05.042835,,,0.2686417374689431
2024-12-24 15:07:05.078443,2024-12-24 15:07:05.111513,0.03307,0.25090364356795325
2024-12-24 15:07:05.111513,,,0.25090364356795325
2024-12-24 15:07:05.146398,2024-12-24 15:07:05.287488,0.14109,0.2569666220699369
2024-12-24 15:07:05.287488,,,0.2569666220699369
2024-12-24 15:07:05.322486,2024-12-24 15:07:05.358506,0.03602,0.2607598058792345
2024-12-24 15:07:05.358506,,,0.2607598058792345
2024-12-24 15:07:05.563703,,,0.35033418431968544
2024-12-24 15:07:05.598364,,,0.283726290065872
2024-12-24 15:07:05.633341,,,0.28892114517649936
2024-12-24 15:07:05.671881,,,0.272509741928854
2024-12-24 15:07:05.707880,2024-12-24 15:07:05.850430,0.14255,0.25113259301915
2024-12-24 15:07:05.850430,,,0.25113259301915
2024-12-24 15:07:05.885940,2024-12-24 15:07:06.668236,0.782296,0.2575635508686246
2024-12-24 15:07:06.668236,,,0.2575635508686246
2024-12-24 15:07:06.700238,,,0.31081125356787564
2024-12-24 15:07:06.978548,2024-12-24 15:07:42.792969,35.814421,0.25614968525581516
2024-12-24 15:07:42.792969,,,0.25614968525581516
