Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
21:47.9,,,0.250031166
21:48.0,21:49.5,1.538394,0.262486174
21:49.5,,,0.262486174
21:49.5,,,0.262486174
21:49.6,,,0.263589098
21:49.6,,,0.256037129
21:49.6,21:49.7,0.033559,0.262009834
21:49.7,,,0.262009834
21:49.7,,,0.27464867
21:49.7,,,0.256760554
21:49.8,21:49.8,0.066467,0.250855769
21:49.8,,,0.250855769
21:49.9,,,0.261954674
21:49.9,,,0.263374335
21:49.9,,,0.27267758
21:50.0,,,0.292297561
21:50.0,,,0.301318959
21:50.0,,,0.297022027
21:50.1,,,0.298491312
21:50.1,,,0.297022027
21:50.1,,,0.299951803
21:50.2,,,0.289844713
21:50.2,,,0.290990054
21:50.2,,,0.324806072
21:50.3,,,0.311509546
21:50.3,,,0.314241565
21:50.3,,,0.30499244
21:50.4,,,0.280534584
21:50.4,,,0.292181873
21:50.4,,,0.292181873
21:50.5,,,0.287051689
21:50.5,,,0.293121386
21:50.5,,,0.325627476
21:50.6,,,0.338394052
21:50.6,,,0.325627476
21:50.6,,,0.339442678
21:50.7,,,0.325908494
21:50.7,,,0.280112328
21:50.7,,,0.315181078
21:50.8,,,0.337517103
21:50.8,,,0.334554469
21:50.8,,,0.304768676
21:50.9,,,0.310049055
21:50.9,,,0.327206991
21:51.0,,,0.32886382
21:51.0,,,0.304768676
21:51.0,,,0.310506307
21:51.1,,,0.336076455
21:51.1,,,0.314913901
21:51.1,,,0.345539182
21:51.2,,,0.323261768
21:51.2,,,0.299766259
21:51.2,,,0.307164269
21:51.3,,,0.309851633
21:51.3,,,0.30698665
21:51.3,,,0.302711731
21:51.4,,,0.30286474
21:51.4,,,0.298906759
21:51.4,,,0.311024413
21:51.5,,,0.31306859
21:51.5,,,0.319585695
21:51.5,,,0.304909499
21:51.6,,,0.297970138
21:51.6,,,0.303406907
21:51.6,,,0.318500502
21:51.7,,,0.310130234
21:51.7,,,0.335153055
21:51.7,,,0.335430325
21:51.8,,,0.313517593
21:51.8,,,0.317529062
21:51.8,,,0.303829163
21:51.9,,,0.315334423
21:51.9,,,0.3096149
21:51.9,,,0.318695049
21:52.0,,,0.32218997
21:52.0,,,0.315175279
21:52.0,,,0.321344882
21:52.1,,,0.302594275
21:52.1,,,0.290407648
21:52.2,,,0.310297839
21:52.2,,,0.346739627
21:52.2,,,0.30934864
21:52.3,,,0.309811949
21:52.3,,,0.303615113
21:52.3,,,0.314205296
21:52.4,,,0.314393939
21:52.4,,,0.307620998
21:52.4,,,0.330190178
21:52.5,,,0.308115223
21:52.5,,,0.339080677
21:52.5,,,0.319631234
21:52.6,,,0.325568932
21:52.6,,,0.325404836
21:52.7,,,0.314052921
21:52.7,,,0.328066696
21:52.7,,,0.325568932
21:52.8,,,0.32669129
21:52.8,,,0.336857958
21:52.8,,,0.337077932
21:52.9,,,0.313643185
21:52.9,,,0.337700192
21:52.9,,,0.325006821
21:53.0,,,0.292251476
21:53.0,,,0.308773055
21:53.1,,,0.302279548
21:53.1,,,0.285070782
21:53.1,,,0.321520051
21:53.2,,,0.330354274
21:53.2,,,0.314485419
21:53.2,,,0.314485419
21:53.3,,,0.325849056
21:53.3,,,0.314333044
21:53.3,,,0.314485419
21:53.4,,,0.325849056
21:53.4,,,0.325849056
21:53.4,,,0.303966685
21:53.5,,,0.298749421
21:53.5,,,0.303121783
21:53.6,,,0.302634283
21:53.6,,,0.303421421
21:53.6,,,0.315327654
21:53.7,,,0.321344882
21:53.7,,,0.306164828
21:53.7,,,0.298888017
21:53.8,,,0.309758323
21:53.8,,,0.313024291
21:53.8,,,0.29787652
21:53.9,,,0.321520051
21:53.9,,,0.298749421
21:53.9,,,0.285711171
21:54.0,,,0.308651511
21:54.0,,,0.275176099
21:54.0,,,0.286051612
21:54.1,,,0.297602458
21:54.1,,,0.298583288
21:54.1,,,0.287032442
21:54.2,,,0.298744983
21:54.2,,,0.30490701
21:54.2,,,0.286051612
21:54.3,,,0.30980751
21:54.3,,,0.303441871
21:54.3,,,0.301792048
21:54.4,,,0.303427259
21:54.4,,,0.290921742
21:54.4,,,0.291268588
21:54.5,,,0.303421421
21:54.5,,,0.302968389
21:54.5,,,0.309493745
21:54.6,,,0.315012884
21:54.6,,,0.279059085
21:54.6,,,0.279902584
21:54.7,,,0.280983721
21:54.7,,,0.285552591
21:54.7,,,0.285070782
21:54.8,,,0.303159096
21:54.8,,,0.303782143
21:54.8,,,0.280043238
21:54.9,,,0.303298161
21:54.9,,,0.290422721
21:54.9,,,0.310180254
21:55.0,,,0.280043238
21:55.0,,,0.293655262
21:55.0,,,0.290921742
21:55.1,,,0.291409242
21:55.1,,,0.311178839
21:55.1,,,0.280983721
21:55.2,,,0.304017483
21:55.2,,,0.292669994
21:55.2,,,0.286648612
21:55.3,,,0.305046881
21:55.3,,,0.310450214
21:55.3,,,0.293703235
21:55.4,,,0.315050383
21:55.4,21:55.6,0.204696,0.281798473
21:55.6,,,0.281798473
21:55.6,21:55.7,0.033863,0.280043238
21:55.7,,,0.280043238
21:55.7,,,0.267695448
21:55.7,,,0.280983721
21:55.8,,,0.286536744
21:55.8,,,0.291890855
21:55.8,,,0.304555596
21:55.9,,,0.280043238
21:55.9,,,0.290428412
21:55.9,,,0.278577275
21:56.0,,,0.291409242
21:56.0,,,0.301792048
21:56.0,,,0.307461675
21:56.1,,,0.291409242
21:56.1,,,0.297902748
21:56.2,,,0.280538935
21:56.2,,,0.27316602
21:56.2,,,0.27316602
21:56.3,,,0.303546093
21:56.3,,,0.298888017
21:56.3,,,0.307460842
21:56.4,,,0.29179546
21:56.4,,,0.298266337
21:56.5,,,0.303006721
21:56.5,,,0.313828563
21:56.5,,,0.310653556
21:56.6,,,0.29484786
21:56.6,,,0.302772878
21:56.6,,,0.303580467
21:56.7,,,0.303580467
21:56.7,,,0.314003733
21:56.7,,,0.303623385
21:56.8,,,0.322085015
21:56.8,,,0.314495474
21:56.8,,,0.321520051
21:56.9,,,0.315050383
21:56.9,,,0.318526041
21:56.9,,,0.298428031
21:57.0,,,0.322085015
21:57.0,,,0.31530223
21:57.0,,,0.298428031
21:57.1,,,0.285552591
21:57.1,,,0.286051612
21:57.2,,,0.285552591
21:57.2,,,0.302841659
21:57.2,,,0.321239928
21:57.3,,,0.314205296
21:57.3,,,0.279059085
21:57.3,,,0.303782143
21:57.4,,,0.303686747
21:57.4,,,0.315990867
21:57.4,,,0.312032535
21:57.5,,,0.305154398
21:57.5,,,0.315050383
21:57.5,,,0.296903961
21:57.6,,,0.310180254
21:57.6,,,0.318526041
21:57.6,,,0.315895471
21:57.7,,,0.310180254
21:57.7,,,0.310180254
21:57.7,,,0.315050383
