Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
06:50.6,,,0.333333333
06:50.6,,,0.348343811
06:50.6,,,0.356919381
06:50.7,,,0.340010478
06:50.7,,,0.3373209
06:50.7,,,0.353392329
06:50.8,,,0.343956729
06:50.8,,,0.321428571
06:50.8,,,0.332051967
06:50.9,,,0.332495791
06:50.9,,,0.341487567
06:50.9,,,0.333333333
06:51.0,,,0.333333333
06:51.0,,,0.334179379
06:51.0,,,0.3373209
06:51.1,,,0.34960256
06:51.1,,,0.353740364
06:51.1,,,0.341487567
06:51.2,,,0.33824645
06:51.2,,,0.354586409
06:51.2,,,0.354586409
06:51.3,,,0.33042885
06:51.3,,,0.35650726
06:51.3,,,0.333989777
06:51.4,,,0.365443008
06:51.4,,,0.324225243
06:51.4,06:51.6,0.175213,0.264134055
06:51.6,,,0.264134055
06:51.6,,,0.283144363
06:51.7,,,0.312426768
06:51.7,,,0.29673946
06:51.8,,,0.301956294
06:51.8,,,0.305423088
06:51.8,,,0.300386625
06:51.9,,,0.330116475
06:51.9,,,0.29787652
06:51.9,,,0.317365667
06:52.0,,,0.322190363
06:52.0,,,0.305460905
06:52.0,,,0.309791184
06:52.1,,,0.333109857
06:52.1,,,0.341835602
06:52.1,,,0.321428571
06:52.2,,,0.329689554
06:52.2,,,0.333109857
06:52.2,,,0.317365667
06:52.3,,,0.353740364
06:52.3,,,0.300971026
06:52.3,,,0.300971026
06:52.4,,,0.30514853
06:52.4,,,0.346303656
06:52.5,,,0.32599211
06:52.5,,,0.32599211
06:52.5,,,0.329582805
06:52.6,,,0.329582805
06:52.6,,,0.305019377
06:52.6,,,0.305460905
06:52.7,,,0.301314373
06:52.7,,,0.287886625
06:52.7,,,0.329582805
06:52.8,,,0.292220682
06:52.8,,,0.313815912
06:52.8,,,0.306464023
06:52.9,,,0.318368785
06:52.9,,,0.310649745
06:52.9,,,0.298744983
06:53.0,,,0.305460905
06:53.0,,,0.317678043
06:53.1,,,0.317365667
06:53.1,,,0.305460905
06:53.1,,,0.318663311
06:53.2,,,0.333989777
06:53.2,,,0.330391789
06:53.2,,,0.29787652
06:53.3,,,0.342333612
06:53.3,,,0.332495791
06:53.3,,,0.343412098
06:53.4,,,0.321428571
06:53.4,,,0.309606113
06:53.4,,,0.320848502
06:53.5,,,0.337436792
06:53.5,,,0.328529117
06:53.5,,,0.341298923
06:53.6,,,0.33856556
06:53.6,,,0.332307147
06:53.6,,,0.333458769
06:53.7,,,0.341298923
06:53.7,,,0.305460905
06:53.8,,,0.306446174
06:53.8,,,0.302455688
06:53.8,,,0.305019377
06:53.9,,,0.306053909
06:53.9,,,0.28801771
06:53.9,,,0.308517493
06:54.0,,,0.301421156
06:54.0,,,0.303383437
06:54.0,,,0.294229036
06:54.1,,,0.317190498
06:54.1,,,0.294229036
06:54.1,,,0.293243768
06:54.2,,,0.318350936
06:54.2,,,0.294229036
06:54.2,,,0.301421156
06:54.3,,,0.295156784
06:54.3,,,0.317365667
06:54.3,,,0.313449854
06:54.4,,,0.281494724
06:54.4,,,0.305460905
06:54.4,,,0.301421156
06:54.5,,,0.305460905
06:54.5,,,0.302455688
06:54.5,,,0.29320595
