Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
34:02.4,,,0.312535792
34:02.4,,,0.312535792
34:02.4,,,0.325081891
34:02.5,34:02.6,0.170135,0.262794166
34:02.6,,,0.262794166
34:02.7,34:02.7,0.076505,0.269536791
34:02.7,,,0.269536791
34:02.8,,,0.275340952
34:02.8,,,0.268280828
34:02.8,,,0.290803831
34:02.9,,,0.274317614
34:02.9,,,0.294171516
34:03.0,,,0.293675322
34:03.0,,,0.280765232
34:03.0,,,0.293142119
34:03.1,,,0.290145552
34:03.1,,,0.271729072
34:03.1,,,0.274483762
34:03.2,,,0.280765232
34:03.2,,,0.276879333
34:03.2,,,0.265515696
34:03.3,,,0.293675322
34:03.3,,,0.264078612
34:03.3,,,0.256407064
34:03.4,,,0.275503272
34:03.4,,,0.269882773
34:03.5,,,0.281798473
34:03.5,,,0.283445558
34:03.5,,,0.270361992
34:03.6,,,0.270792206
34:03.6,,,0.294559261
34:03.6,,,0.285971758
34:03.7,,,0.250583615
34:03.7,,,0.258300118
34:03.7,,,0.293142119
34:03.8,,,0.28767801
34:03.8,,,0.298744983
34:03.8,,,0.293082073
34:03.9,,,0.317484846
34:03.9,,,0.319413281
34:03.9,,,0.317339387
34:04.0,,,0.305434625
34:04.0,,,0.329777352
34:04.0,,,0.31787259
34:04.1,,,0.299881602
34:04.1,,,0.292645924
34:04.1,,,0.292251476
34:04.2,,,0.292349725
34:04.2,,,0.27990701
34:04.2,,,0.293703235
34:04.3,,,0.281237357
34:04.3,,,0.280765232
34:04.3,,,0.280765232
34:04.4,,,0.274812851
34:04.4,,,0.281944036
34:04.4,,,0.281237357
34:04.5,,,0.26272722
34:04.5,,,0.27414685
34:04.5,,,0.268679601
34:04.6,,,0.281798473
34:04.6,,,0.284010517
34:04.6,,,0.280765232
34:04.7,34:04.8,0.138101,0.25061125
34:04.8,,,0.25061125
34:04.8,,,0.265972973
34:04.9,,,0.280765232
34:04.9,,,0.306464023
34:04.9,,,0.304550686
34:05.0,,,0.304550686
34:05.0,,,0.329777352
34:05.0,,,0.327915445
34:05.1,,,0.304550686
34:05.1,,,0.317710895
34:05.1,,,0.304550686
34:05.2,,,0.318857858
34:05.2,,,0.330486122
34:05.2,,,0.310457524
34:05.3,,,0.327753751
34:05.3,,,0.318594834
34:05.3,,,0.33014886
34:05.4,,,0.318148371
34:05.4,,,0.329900593
34:05.4,,,0.340609531
34:05.5,,,0.317710895
34:05.5,,,0.301717735
34:05.5,,,0.342377409
34:05.6,,,0.305580084
34:05.6,,,0.306302328
34:05.6,,,0.330084903
34:05.7,,,0.354705795
34:05.7,,,0.342566053
34:05.7,,,0.287979558
34:05.8,,,0.306302328
34:05.8,,,0.306041637
34:05.8,,,0.314821185
34:05.9,,,0.318526041
34:05.9,,,0.329602183
34:05.9,,,0.305434625
34:06.0,,,0.293824728
34:06.0,,,0.324781659
34:06.0,,,0.318526041
34:06.1,,,0.330430803
34:06.1,,,0.340585441
34:06.1,,,0.330430803
34:06.2,,,0.314052915
34:06.2,,,0.312297255
34:06.2,,,0.305434625
34:06.3,,,0.306419893
34:06.3,,,0.329543564
34:06.3,,,0.318526041
34:06.4,,,0.302620504
34:06.4,,,0.307286481
34:06.4,,,0.326933918
34:06.5,,,0.314030586
34:06.5,,,0.29902199
34:06.6,,,0.312297255
34:06.6,,,0.312297255
34:06.6,,,0.305154398
34:06.7,,,0.305272931
34:06.7,,,0.304388992
34:06.7,,,0.293101416
34:06.8,,,0.305976856
34:06.8,,,0.30558582
34:06.8,,,0.318526041
34:06.9,,,0.305154398
34:06.9,,,0.314219026
34:07.0,,,0.324781659
34:07.0,,,0.302171526
34:07.0,,,0.295170116
34:07.1,,,0.28864282
34:07.1,,,0.28864282
34:07.1,,,0.27512768
34:07.2,,,0.322230304
34:07.2,,,0.282519753
34:07.2,,,0.28864282
34:07.3,,,0.318368785
34:07.3,,,0.294171516
34:07.4,,,0.308763975
34:07.4,,,0.280059739
34:07.4,,,0.286755579
34:07.5,,,0.281237357
34:07.5,,,0.280207959
34:07.6,,,0.287979558
34:07.6,,,0.291951027
34:07.6,,,0.300805622
34:07.7,,,0.29293518
34:07.7,,,0.305434625
34:07.7,,,0.292980424
34:07.8,,,0.317125367
34:07.8,,,0.305373145
34:07.8,,,0.316280279
34:07.9,,,0.280207959
34:07.9,,,0.304388992
34:07.9,,,0.304550686
34:08.0,,,0.305535954
34:08.0,,,0.306032149
34:08.0,,,0.304826467
34:08.1,,,0.280059739
34:08.1,,,0.268303198
34:08.1,,,0.291951027
34:08.2,,,0.316455448
34:08.2,,,0.291951027
34:08.2,,,0.291951027
34:08.3,,,0.269482001
34:08.3,,,0.304017483
34:08.3,,,0.292980424
34:08.4,,,0.281798473
34:08.4,,,0.282118534
34:08.4,,,0.314052915
34:08.5,,,0.280207959
34:08.5,,,0.281043892
34:08.5,,,0.291951027
34:08.6,,,0.269332595
34:08.6,,,0.318470114
34:08.6,,,0.280207959
34:08.7,,,0.291951027
34:08.7,,,0.303842314
34:08.7,,,0.305272931
34:08.8,,,0.292980424
34:08.8,,,0.269482001
34:08.8,,,0.294171516
34:08.9,,,0.280765232
34:08.9,,,0.300805622
34:08.9,,,0.281089137
34:09.0,,,0.280765232
34:09.0,,,0.282416161
34:09.0,,,0.293249636
34:09.1,,,0.26886047
34:09.1,,,0.304550686
34:09.1,,,0.304388992
34:09.2,,,0.305580084
34:09.2,,,0.294355623
34:09.2,,,0.326665588
34:09.3,,,0.292980424
34:09.3,,,0.27824079
34:09.3,,,0.300967317
34:09.4,,,0.292980424
34:09.4,,,0.280207959
34:09.4,,,0.281237357
34:09.5,,,0.302050314
34:09.5,,,0.293142119
34:09.5,,,0.309193171
34:09.6,,,0.296521618
34:09.6,,,0.302050314
34:09.6,,,0.282118534
34:09.7,,,0.296521618
34:09.7,,,0.315694636
34:09.8,,,0.282266754
34:09.8,,,0.282266754
34:09.8,,,0.300284976
34:09.9,,,0.300967317
34:09.9,,,0.291951027
34:09.9,,,0.305580084
34:10.0,,,0.293142119
34:10.0,,,0.292112721
34:10.0,,,0.292112721
34:10.1,,,0.315694636
34:10.1,,,0.292669994
34:10.1,34:10.3,0.207015,0.256376066
34:10.3,,,0.256376066
34:10.4,,,0.268303198
34:10.4,,,0.290145552
34:10.4,,,0.28485145
34:10.5,,,0.310885982
34:10.5,,,0.280207959
34:10.5,,,0.293142119
34:10.6,,,0.302708593
34:10.6,,,0.27824079
34:10.6,,,0.274255579
34:10.7,,,0.295170116
34:10.7,,,0.280765232
34:10.7,,,0.281944036
34:10.8,,,0.281210129
34:10.8,,,0.303789874
34:10.8,,,0.276786575
34:10.9,,,0.281650253
34:10.9,,,0.283130609
34:10.9,,,0.311891881
34:11.0,,,0.303789874
