Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
24:52.4,,,0.314105022
24:52.4,,,0.317147932
24:52.4,,,0.296517423
24:52.5,,,0.305289172
24:52.5,,,0.319690765
24:52.5,,,0.314529633
24:52.6,,,0.330574336
24:52.6,,,0.294310271
24:52.6,,,0.303383706
24:52.7,24:52.7,0.032985,0.264277375
24:52.7,,,0.264277375
24:52.7,,,0.250085628
24:52.8,24:52.9,0.135645,0.260910148
24:52.9,,,0.260910148
24:53.0,,,0.252866932
24:53.0,,,0.27989022
24:53.0,,,0.252941712
24:53.1,,,0.295789076
24:53.1,,,0.302102242
24:53.1,,,0.252227179
24:53.2,,,0.25077305
24:53.2,,,0.278723252
24:53.2,24:53.6,0.306501,0.316528979
24:53.6,,,0.316528979
24:53.6,,,0.333551559
24:53.7,,,0.365022965
24:53.7,,,0.298227361
24:53.8,,,0.303004539
24:53.8,,,0.322971121
24:53.8,,,0.30501458
24:53.9,,,0.303747755
24:53.9,,,0.305294935
24:53.9,,,0.294310271
24:54.0,,,0.310617904
24:54.0,,,0.326194384
24:54.1,,,0.339452433
24:54.1,,,0.290940576
24:54.1,24:54.3,0.171823,0.328332992
24:54.3,,,0.328332992
24:54.3,,,0.313742895
24:54.4,,,0.284102078
24:54.5,,,0.314387778
24:54.6,24:54.8,0.209123,0.268203222
24:54.8,,,0.268203222
24:54.9,,,0.312865139
24:54.9,,,0.303848739
24:54.9,,,0.345129747
24:55.0,,,0.312918139
24:55.0,,,0.281831914
24:55.0,,,0.338864752
24:55.1,,,0.344913926
24:55.1,,,0.287664978
24:55.1,,,0.344064152
24:55.2,,,0.34088225
24:55.2,,,0.330953751
24:55.2,,,0.311293418
24:55.3,,,0.31592301
24:55.3,,,0.302505123
24:55.4,,,0.311040175
24:55.4,,,0.324895643
24:55.4,,,0.295484792
24:55.5,,,0.279770749
24:55.5,,,0.261454809
24:55.6,,,0.29851045
24:55.6,24:55.6,0.034091,0.296022722
24:55.6,,,0.296022722
24:55.7,,,0.265930045
24:55.7,,,0.267838717
24:55.7,,,0.255236314
24:55.8,,,0.270104975
24:55.8,,,0.292180458
24:55.8,,,0.283797793
24:55.9,,,0.268203222
24:55.9,,,0.268954162
24:55.9,,,0.253345734
24:56.0,24:56.0,0.03351,0.281429557
24:56.0,,,0.281429557
24:56.0,,,0.252619758
24:56.1,,,0.270455273
24:56.1,,,0.260656338
24:56.1,,,0.253563708
24:56.2,,,0.261693471
24:56.2,,,0.267020526
24:56.2,,,0.255236314
24:56.3,24:56.3,0.065,0.253563708
24:56.3,,,0.253563708
24:56.4,24:56.4,0.032005,0.251673128
24:56.4,,,0.251673128
24:56.4,,,0.254539538
24:56.5,,,0.259432359
24:56.5,24:56.5,0.031,0.270455273
24:56.5,,,0.270455273
24:56.6,,,0.266831862
24:56.6,24:56.6,0.033007,0.254861491
