Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
30:07.7,,,0.344847333
30:07.7,,,0.37169597
30:07.7,,,0.357142857
30:07.8,,,0.346930186
30:07.8,,,0.380736788
30:07.8,,,0.361754862
30:07.9,,,0.342070957
30:07.9,,,0.351909372
30:07.9,,,0.330984815
30:08.0,,,0.330088833
30:08.0,,,0.368629908
30:08.0,,,0.369585826
30:08.1,,,0.360754919
30:08.1,,,0.344847333
30:08.1,,,0.382958601
30:08.2,,,0.370955645
30:08.2,,,0.340557457
30:08.2,,,0.364674777
30:08.3,,,0.353511859
30:08.3,,,0.353322861
30:08.3,,,0.352272727
30:08.3,,,0.363448825
30:08.4,,,0.356954213
30:08.4,,,0.347277834
30:08.4,,,0.345882022
30:08.5,,,0.369586664
30:08.5,,,0.360894967
30:08.5,,,0.33921109
30:08.6,,,0.361789281
30:08.6,,,0.382219115
30:08.6,,,0.350966684
30:08.7,,,0.368845501
30:08.7,,,0.333333333
30:08.7,,,0.346825304
30:08.8,,,0.357884021
30:08.8,,,0.357695377
30:08.8,,,0.356940739
30:08.9,,,0.33314469
30:08.9,,,0.356940739
30:08.9,,,0.345894539
30:09.0,,,0.356940739
30:09.0,,,0.368845501
30:09.0,,,0.369047619
30:09.1,,,0.368832026
30:09.1,,,0.368845501
30:09.1,,,0.362413063
30:09.2,,,0.352272727
30:09.2,,,0.325404836
30:09.2,,,0.345894539
30:09.3,,,0.356954213
30:09.3,,,0.329381359
30:09.3,,,0.357142857
30:09.4,,,0.333333333
30:09.4,,,0.326603621
30:09.4,,,0.262592475
30:09.5,30:09.6,0.132137,0.261756542
30:09.6,,,0.261756542
30:09.6,,,0.274483762
30:09.7,,,0.298442621
30:09.7,,,0.28637505
30:09.7,,,0.285390896
30:09.8,30:09.9,0.137079,0.274838773
30:09.9,,,0.274838773
30:10.0,,,0.28757744
30:10.0,,,0.286537859
30:10.0,,,0.287359203
30:10.0,,,0.317905205
30:10.1,,,0.294881992
30:10.1,30:10.2,0.13352,0.252027992
30:10.2,,,0.252027992
30:10.3,,,0.274646572
30:10.3,,,0.285552591
30:10.3,,,0.290984888
30:10.4,,,0.322099448
30:10.4,,,0.338141211
30:10.5,,,0.343181611
30:10.5,,,0.333801134
30:10.5,,,0.366724731
30:10.6,,,0.333989777
30:10.6,,,0.350670007
30:10.6,,,0.322944535
30:10.7,,,0.330475083
30:10.7,,,0.331459236
30:10.7,,,0.334835823
30:10.8,,,0.325081891
30:10.8,,,0.322754934
30:10.8,,,0.304340836
30:10.9,,,0.333239023
30:10.9,,,0.370308233
30:10.9,,,0.310707181
30:11.0,,,0.333174411
30:11.0,,,0.351337797
30:11.0,,,0.325907978
30:11.1,,,0.330507605
30:11.1,,,0.311318062
30:11.2,,,0.343211458
30:11.2,,,0.343211458
30:11.2,,,0.322099448
30:11.3,,,0.333801134
30:11.3,,,0.315894366
30:11.3,,,0.34767135
30:11.4,,,0.333990735
30:11.4,,,0.354997983
30:11.4,,,0.355408577
30:11.5,,,0.342146922
30:11.5,,,0.351337797
30:11.6,,,0.322754934
30:11.6,,,0.348122921
30:11.6,,,0.325404836
30:11.7,,,0.34210477
30:11.7,,,0.333990735
30:11.8,,,0.358526151
30:11.8,,,0.334646221
30:11.8,,,0.345692421
30:11.9,,,0.350450558
30:11.9,,,0.342992009
30:11.9,,,0.335491309
30:12.0,,,0.356321501
30:12.0,,,0.350409268
30:12.0,,,0.325760666
30:12.1,,,0.325404836
