Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
53:05.6,,,0.236767618
53:05.7,53:07.4,1.788275,0.287015261
53:07.4,,,0.287015261
53:07.5,,,0.236342182
53:07.5,53:07.6,0.065046,0.246066726
53:07.6,,,0.246066726
53:07.6,53:07.8,0.194921,0.251805709
53:07.8,,,0.251805709
53:07.8,,,0.263298278
53:07.9,,,0.273280139
53:07.9,,,0.260623346
53:07.9,,,0.330831473
53:08.0,,,0.29577772
53:08.0,,,0.27008364
53:08.0,53:19.6,11.56616,0.305869915
53:19.6,,,0.305869915
53:19.6,,,0.287824811
53:19.7,,,0.305605404
53:20.0,,,0.319114541
53:20.0,,,0.31359861
53:20.1,,,0.309131884
53:20.1,,,0.307019085
53:20.2,,,0.29909174
53:20.2,,,0.292884888
53:20.2,,,0.310276359
53:20.3,,,0.323645026
53:20.3,,,0.320439656
53:20.3,,,0.328092326
53:20.4,,,0.309339177
53:20.4,,,0.300760246
53:20.5,,,0.326796313
53:20.5,,,0.319542997
53:20.5,,,0.289165668
53:20.6,,,0.308683691
53:20.6,,,0.28560254
53:20.6,,,0.273697778
53:20.7,,,0.283630269
53:20.7,,,0.279435688
53:20.7,,,0.314723875
53:20.8,,,0.291502145
53:20.8,,,0.253772571
53:20.8,,,0.325908494
53:20.9,,,0.301160632
53:20.9,,,0.297060994
53:21.0,,,0.306211496
53:21.0,,,0.300760246
53:21.0,,,0.273168816
53:21.0,,,0.290094294
53:21.1,,,0.280978956
53:21.1,,,0.308759978
53:21.2,,,0.251790283
53:21.2,,,0.313787254
53:21.2,,,0.313787254
53:21.3,,,0.277136763
53:21.3,,,0.307837646
53:21.4,,,0.290565524
53:21.4,,,0.327558812
53:21.4,,,0.326796313
53:21.6,53:21.6,0.070486,0.264280046
53:21.6,,,0.264280046
53:21.7,,,0.280631298
53:21.7,,,0.273103876
53:21.8,,,0.280534004
53:21.8,,,0.291371554
53:21.9,,,0.268280415
53:21.9,,,0.294458971
53:21.9,,,0.267343794
53:22.2,,,0.307441224
53:22.3,,,0.300671624
53:22.3,,,0.284638174
53:22.4,,,0.325908494
53:22.4,,,0.320125143
53:22.4,,,0.307649002
53:22.7,,,0.274772104
53:23.0,,,0.275668315
53:23.0,,,0.262795324
53:23.7,,,0.292438766
53:24.2,,,0.303143559
53:24.2,,,0.315743096
53:24.3,,,0.280019639
53:24.3,,,0.267615792
53:24.4,,,0.274608179
53:24.4,,,0.280534004
53:24.5,,,0.271891266
53:24.5,,,0.308763295
53:24.5,,,0.27948322
53:24.6,,,0.303316331
53:24.6,,,0.304252952
53:24.7,,,0.304343528
53:24.8,,,0.266256976
53:24.8,,,0.292541082
53:24.8,,,0.281356462
53:24.9,,,0.315933655
53:24.9,,,0.296978339
53:25.0,,,0.273624026
53:25.0,,,0.268329062
53:25.1,,,0.247024764
53:25.1,,,0.297634784
53:25.1,,,0.290809718
53:25.2,,,0.270386284
53:25.2,,,0.292487413
53:25.3,,,0.274432294
53:25.3,,,0.306617021
53:25.4,,,0.283143692
53:25.6,,,0.259090485
53:25.6,,,0.258106332
53:25.7,,,0.287433854
53:25.7,,,0.280534004
53:26.1,,,0.2764006
53:26.2,,,0.275787011
53:26.3,,,0.271336187
53:26.3,,,0.276457803
53:26.3,,,0.281356462
53:26.4,,,0.291619218
53:26.4,,,0.23282076
53:26.4,,,0.308017805
53:26.5,,,0.315339503
53:26.5,,,0.278918431
53:26.5,,,0.272801567
53:26.6,,,0.272801567
53:26.6,,,0.288711393
53:26.9,,,0.284771007
53:26.9,,,0.280959152
53:26.9,,,0.282340615
53:27.0,,,0.281356462
53:27.0,,,0.273168816
53:27.0,,,0.280534004
53:27.2,,,0.273786836
53:27.2,,,0.277886571
53:27.3,,,0.274520237
53:27.3,,,0.273624026
53:27.3,,,0.301479213
53:27.4,,,0.302281642
53:27.4,,,0.274432294
53:27.5,,,0.319114541
53:27.5,,,0.280978956
53:27.5,,,0.289842922
53:27.6,,,0.319114541
53:27.6,,,0.290183749
53:27.6,,,0.275416447
53:27.7,,,0.274683046
53:27.7,,,0.273018785
53:27.7,,,0.279887475
53:27.8,,,0.249919883
53:27.8,,,0.272801567
53:27.8,,,0.28968539
53:27.9,,,0.282874168
53:27.9,,,0.311763854
53:27.9,,,0.292438766
53:28.0,,,0.285219704
53:28.0,,,0.278705195
53:28.0,,,0.299248587
53:28.1,,,0.292541082
53:28.1,,,0.301676295
53:28.1,,,0.302375424
53:28.2,,,0.305869915
53:28.2,,,0.305373368
53:28.2,,,0.301877066
53:28.3,,,0.31980764
53:28.3,,,0.294124531
53:28.4,,,0.267248544
53:28.5,,,0.295542667
53:28.6,,,0.285882561
53:28.6,,,0.302248785
53:28.7,,,0.245690699
53:28.7,,,0.291209859
53:28.7,,,0.263779477
53:28.8,,,0.279644708
53:28.8,,,0.298097607
53:28.8,,,0.298182647
53:28.9,,,0.269312426
53:28.9,,,0.262795324
53:29.0,,,0.318924939
53:29.0,,,0.300014954
53:29.1,,,0.234914488
53:29.1,,,0.259253295
53:29.1,,,0.27963284
53:29.2,,,0.261972865
53:52.1,,,0.28561647
53:52.2,,,0.29867043
53:58.9,53:59.5,0.606254,0.26111317
53:59.5,,,0.26111317
53:59.6,,,0.249761254
53:59.7,,,0.25520186
53:59.8,,,0.266916618
53:59.8,,,0.26603484
53:59.9,,,0.27300225
54:00.0,,,0.260673559
54:00.2,,,0.251177367
54:09.1,,,0.277808653
54:14.1,,,0.299741903
54:14.1,,,0.306307192
54:14.2,,,0.304760147
54:14.2,,,0.298175452
54:14.2,,,0.298476839
54:14.3,,,0.273437008
54:14.3,,,0.291067944
54:14.3,,,0.309490033
54:14.4,,,0.30463372
54:14.4,,,0.283926813
54:14.4,,,0.299922619
54:14.5,,,0.315063504
54:14.6,,,0.335322887
54:14.8,,,0.278475099
54:14.9,,,0.261329361
54:15.1,,,0.274486972
54:15.4,,,0.25567535
54:15.4,,,0.257404902
54:15.5,,,0.245151313
54:15.5,,,0.232854542
54:15.5,,,0.26670029
54:15.6,,,0.256364152
54:15.6,,,0.251481489
54:15.7,54:15.8,0.104507,0.251547929
54:15.8,,,0.251547929
54:15.8,,,0.251481489
54:15.9,,,0.262310191
54:15.9,,,0.244513015
54:16.0,,,0.240268651
54:16.0,,,0.257404902
54:16.1,,,0.251547929
54:17.1,,,0.294695485
54:17.1,,,0.300904548
54:17.2,,,0.284283083
54:17.2,,,0.250068103
54:17.2,,,0.257002252
54:17.3,,,0.250498129
54:17.3,,,0.240268651
54:17.3,,,0.262147815
54:17.4,,,0.261972865
54:17.4,,,0.257404902
54:27.7,,,0.252624114
54:27.7,,,0.249968675
54:27.8,,,0.274723673
54:27.8,,,0.284851897
54:27.8,,,0.287676861
55:15.7,55:15.7,0.032122,0.23743838
55:15.7,,,0.23743838
55:15.8,55:15.8,0.033997,0.240262734
55:15.8,,,0.240262734
55:15.9,,,0.250415169
55:15.9,,,0.245288188
55:15.9,,,0.251263807
55:16.0,55:22.2,6.15487,0.262014577
55:22.2,,,0.262014577
55:22.4,,,0.240385625
55:22.4,,,0.249322771
55:22.5,,,0.246387009
55:22.5,,,0.240029833
55:22.5,,,0.312087736
55:22.6,,,0.262310191
55:22.6,,,0.280488923
55:22.6,,,0.292695112
55:22.7,,,0.257350471
55:22.7,,,0.254879893
55:22.7,,,0.262420833
55:22.8,,,0.254919342
55:22.8,,,0.262175011
55:22.8,,,0.266167407
55:22.9,,,0.28453116
55:22.9,,,0.26087518
55:23.1,,,0.271322304
55:23.1,,,0.26130846
55:23.1,,,0.278229384
55:23.2,,,0.272173947
55:23.2,,,0.260791203
55:23.3,,,0.276891631
55:23.3,,,0.272466532
55:23.3,,,0.266167407
55:23.4,,,0.262195754
55:23.4,,,0.266308061
55:23.5,,,0.257307169
55:23.5,,,0.272143118
55:23.6,,,0.244115723
55:23.6,,,0.266926876
55:23.6,,,0.288750814
55:23.7,,,0.326980298
55:23.8,,,0.299013712
55:23.8,,,0.27307269
55:23.9,,,0.274802858
55:23.9,,,0.298097607
55:23.9,,,0.27815608
55:24.0,,,0.255739024
55:24.0,,,0.294124531
55:24.1,,,0.283261535
55:24.2,55:24.5,0.283753,0.260791203
55:24.5,,,0.260791203
55:24.5,,,0.267208144
55:24.6,,,0.251262408
55:24.6,,,0.297863618
55:24.6,,,0.293595269
55:24.7,,,0.287744602
55:24.7,,,0.244957996
55:24.7,,,0.255301159
55:24.8,,,0.26185601
55:24.8,,,0.267621285
55:24.8,,,0.267370078
55:24.9,,,0.255245151
55:24.9,,,0.261197231
55:25.1,,,0.315900856
55:25.2,,,0.26650168
55:25.3,,,0.276618242
55:25.4,,,0.281860182
55:25.6,,,0.303879319
55:25.7,,,0.354013148
55:25.7,,,0.338776777
55:25.7,,,0.315720492
55:25.8,,,0.338200349
55:25.8,,,0.282523803
55:25.9,,,0.357915825
55:26.0,,,0.265868174
55:26.4,,,0.276253253
55:26.4,,,0.278698155
55:26.5,,,0.279311744
55:26.6,,,0.28392592
55:26.6,,,0.261650334
55:26.7,,,0.265562167
55:26.7,,,0.289117597
55:26.8,,,0.262052683
55:26.8,,,0.269450264
55:26.8,,,0.299044263
55:26.9,,,0.297025645
55:27.0,,,0.276996109
55:27.0,,,0.271522253
55:27.0,,,0.279180465
55:27.1,,,0.251438408
55:27.2,,,0.272143118
55:27.2,,,0.266167407
55:27.2,,,0.27190962
55:27.4,,,0.268942645
55:27.5,,,0.26659833
55:27.5,,,0.273018785
55:27.5,,,0.262052683
55:27.6,,,0.295066849
55:27.6,,,0.258377592
55:27.7,,,0.266648246
55:27.7,,,0.288776965
55:27.7,,,0.30537569
55:27.8,,,0.261711596
55:27.8,,,0.264407484
55:27.9,,,0.260257717
55:27.9,,,0.26130846
55:27.9,,,0.289963516
55:28.0,,,0.261650334
55:28.0,,,0.261730716
55:28.1,,,0.261711596
55:28.1,,,0.273889387
55:28.1,,,0.262992196
55:28.2,,,0.283463316
55:28.3,,,0.261197231
55:28.3,,,0.256267987
55:28.5,,,0.282676177
55:28.5,,,0.248386803
55:28.6,,,0.24956822
55:28.6,,,0.28953564
55:28.6,,,0.296256073
55:28.7,,,0.27300225
55:28.7,,,0.283261535
55:28.8,55:28.9,0.102079,0.251438408
55:28.9,,,0.251438408
55:28.9,,,0.240479127
55:29.0,,,0.2565498
55:29.2,,,0.288735037
55:29.9,,,0.274068687
55:30.0,55:31.7,1.668315,0.264424064
55:31.7,,,0.264424064
55:31.7,,,0.257181664
55:32.5,,,0.268026694
55:32.5,,,0.275176099
55:32.5,,,0.268166252
55:32.6,,,0.284909087
55:32.6,,,0.284315138
55:32.6,,,0.254214767
55:32.7,,,0.257338461
55:32.7,,,0.257969885
55:32.7,,,0.267959829
55:32.8,,,0.277263035
55:32.8,,,0.293699622
55:32.8,,,0.29354238
55:32.9,,,0.304545314
55:32.9,,,0.299946299
55:32.9,,,0.316243645
55:33.0,,,0.315404994
55:33.2,,,0.311272113
55:33.2,,,0.340582449
55:33.2,,,0.304832317
55:33.3,,,0.292640945
55:33.3,,,0.261522089
55:33.3,,,0.273385479
55:33.4,,,0.278937689
55:33.7,,,0.256296892
55:33.8,,,0.273287241
55:33.8,,,0.261646048
55:33.8,,,0.285036
55:33.9,,,0.262545641
55:33.9,,,0.278275687
55:33.9,,,0.298635365
55:34.0,,,0.277940875
55:34.0,,,0.29515033
55:34.1,,,0.328308624
55:34.1,,,0.305604064
55:34.2,,,0.298007246
55:34.3,,,0.324024325
55:34.4,,,0.283473904
