Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
26:38.1,,,0.293482259
26:38.1,,,0.302599643
26:38.1,,,0.28067508
26:38.2,,,0.314729022
26:38.2,,,0.295199074
26:38.3,,,0.305803018
26:38.3,,,0.336849541
26:38.3,,,0.326351968
26:38.8,26:39.0,0.132863,0.29449419
26:39.0,,,0.29449419
26:39.0,,,0.282379711
26:39.0,,,0.309433565
26:39.1,,,0.287095402
26:39.1,,,0.30555909
26:39.1,,,0.309433565
26:39.2,,,0.309624945
26:39.2,,,0.319411987
26:39.3,,,0.336249231
26:39.3,,,0.320853126
26:39.3,26:39.5,0.204278,0.286048491
26:39.5,,,0.286048491
26:39.6,,,0.29429901
26:39.6,,,0.30227587
26:39.6,,,0.338389519
26:39.7,,,0.347905339
26:39.7,,,0.353538704
26:39.7,,,0.322384649
26:39.8,,,0.314451433
26:39.8,,,0.321331904
26:39.8,,,0.317187916
26:39.9,,,0.336047586
26:39.9,,,0.356805064
26:39.9,,,0.32611392
26:40.0,,,0.309173471
26:40.0,,,0.324085517
26:40.0,,,0.361912345
26:40.1,,,0.3208435
26:40.1,,,0.30057124
26:40.2,,,0.314820924
26:40.2,,,0.30057124
26:40.2,,,0.314309022
26:40.3,,,0.322210892
26:40.3,,,0.347000299
26:40.3,,,0.334291586
26:40.4,,,0.318917082
26:40.4,,,0.304008398
26:40.4,,,0.338653007
26:40.5,,,0.287672537
26:40.5,,,0.278120385
26:40.5,26:40.8,0.322696,0.25410331
26:40.8,,,0.25410331
26:40.9,26:40.9,0.065582,0.260518396
26:40.9,,,0.260518396
26:41.0,,,0.294832818
26:41.0,,,0.294832818
26:41.0,,,0.287036693
26:41.1,,,0.296208089
26:41.1,26:41.1,0.032917,0.277606356
26:41.1,,,0.277606356
26:41.2,,,0.270883358
26:41.2,,,0.26739474
26:41.2,,,0.318197466
26:41.3,,,0.289603201
26:41.3,,,0.256133665
26:41.3,,,0.287036693
26:41.4,,,0.259142249
26:41.4,,,0.264774148
26:41.4,,,0.266986935
26:41.5,,,0.27201876
26:41.6,,,0.293673639
26:41.8,,,0.290508047
26:41.8,,,0.266401263
26:41.8,,,0.25818899
26:41.9,,,0.300492299
26:41.9,,,0.285507057
26:41.9,26:42.0,0.093535,0.254455436
26:42.0,,,0.254455436
26:43.1,,,0.31036718
26:43.9,,,0.281470029
26:44.0,,,0.277797792
26:44.0,,,0.296151868
26:44.1,,,0.289914342
26:44.1,,,0.289914342
26:44.1,,,0.314186606
26:44.2,,,0.302801422
26:44.3,,,0.305813913
26:44.4,,,0.299640351
26:46.2,,,0.263664499
26:46.2,,,0.262712318
26:46.3,26:46.5,0.236795,0.262712318
26:46.5,,,0.262712318
26:46.6,26:46.6,0.063535,0.252744825
26:46.6,,,0.252744825
26:46.7,,,0.279703472
26:46.7,26:46.8,0.080792,0.265013322
26:46.8,,,0.265013322
26:46.8,,,0.272220991
26:46.9,26:46.9,0.035192,0.250545859
26:46.9,,,0.250545859
26:47.0,26:53.1,6.165262,0.252828799
26:53.1,,,0.252828799
26:53.2,,,0.250834008
26:53.2,26:56.1,2.878661,0.254040694
26:56.1,,,0.254040694
26:56.1,26:56.2,0.108561,0.254040694
26:56.2,,,0.254040694
26:56.3,26:56.7,0.452187,0.252132023
26:56.7,,,0.252132023
26:57.0,26:57.3,0.36114,0.252828799
26:57.3,,,0.252828799
26:57.4,26:58.5,1.023073,0.250892603
26:58.5,,,0.250892603
26:58.5,26:58.9,0.403878,0.26124471
26:58.9,,,0.26124471
26:59.0,27:03.8,4.788239,0.250834008
27:03.8,,,0.250834008
27:03.8,27:10.4,6.59514,0.250892603
27:10.4,,,0.250892603
27:10.4,27:17.9,7.439925,0.300692285
