Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
34:29.4,,,0.253352704
34:29.4,34:29.6,0.238888,0.268987251
34:29.6,,,0.268987251
34:29.7,34:29.7,0.035797,0.273576318
34:29.7,,,0.273576318
34:29.7,34:30.1,0.33864,0.267997834
34:30.1,,,0.267997834
34:30.1,,,0.26821433
34:30.1,,,0.297697748
34:30.2,,,0.281578651
34:30.2,,,0.264539076
34:30.2,34:30.4,0.137623,0.258038021
34:30.4,,,0.258038021
34:30.4,34:30.5,0.034285,0.283944585
34:30.5,,,0.283944585
34:30.5,34:30.5,0.032635,0.284110711
34:30.5,,,0.284110711
34:30.5,,,0.276741179
34:30.6,,,0.269698819
34:30.6,,,0.251676352
34:30.7,,,0.265381572
34:30.7,,,0.251676352
34:30.7,,,0.258038021
34:30.8,34:30.8,0.032928,0.282553752
34:30.8,,,0.282553752
34:30.8,,,0.271815396
34:30.9,,,0.291335237
34:30.9,,,0.273735175
34:30.9,,,0.313739882
34:31.0,,,0.30934436
34:31.0,,,0.250777377
34:31.0,,,0.258069044
34:31.1,34:31.1,0.070541,0.251680098
34:31.1,,,0.251680098
34:31.2,34:31.3,0.105208,0.25
34:31.3,,,0.25
34:31.3,,,0.251680098
34:31.3,,,0.267027496
34:31.4,,,0.285957575
34:31.4,,,0.274712368
34:31.4,,,0.270491442
34:31.5,,,0.284034049
34:31.5,,,0.257124549
34:31.6,,,0.310212303
34:31.6,,,0.315284049
34:31.6,,,0.259876297
34:31.7,,,0.312195715
34:31.7,,,0.298114882
34:31.7,,,0.289142599
34:31.8,,,0.282895923
34:31.8,,,0.265381572
34:31.8,34:31.9,0.035017,0.287430055
34:31.9,,,0.287430055
34:31.9,,,0.251676352
34:31.9,,,0.314925378
34:32.0,,,0.288883711
34:32.0,,,0.296805055
34:32.0,,,0.303055055
34:32.1,,,0.282926352
34:32.1,,,0.290063512
34:32.1,,,0.290063512
34:32.2,,,0.298114882
34:32.2,,,0.260009685
34:32.2,34:32.4,0.162743,0.251680098
34:32.4,,,0.251680098
34:32.4,,,0.265625
34:32.5,,,0.273694044
34:32.5,34:32.5,0.032232,0.271815396
34:32.5,,,0.271815396
34:32.6,,,0.259714967
34:32.6,,,0.287409967
34:32.6,,,0.299385193
34:32.7,,,0.282246455
34:32.7,,,0.284100932
34:32.7,,,0.271561627
34:32.8,,,0.299385193
34:32.8,,,0.291331174
34:32.8,,,0.316523931
34:32.9,,,0.314979765
34:32.9,,,0.305748594
34:32.9,,,0.316523931
34:33.0,,,0.315284049
34:33.0,,,0.303055055
34:33.0,,,0.331864982
34:33.1,,,0.328776649
34:33.1,,,0.313435598
34:33.1,,,0.330320815
34:33.2,,,0.316523931
34:33.2,,,0.294893658
34:33.2,,,0.316009894
34:33.3,,,0.322243242
34:33.3,,,0.314979765
34:33.3,,,0.297841026
34:33.4,34:33.5,0.148439,0.25
34:33.5,,,0.25
34:33.6,,,0.265351144
34:33.6,,,0.312195715
34:33.6,,,0.286393311
34:33.7,,,0.293343018
34:33.7,,,0.271144657
34:33.7,,,0.284846131
34:33.8,,,0.300038408
34:33.8,,,0.296570715
34:33.8,,,0.290351144
34:33.9,,,0.319973219
34:33.9,,,0.313435598
34:33.9,,,0.303055055
34:34.0,,,0.296929794
34:34.0,,,0.304602235
34:34.0,,,0.282246455
34:34.1,,,0.296570715
34:34.1,,,0.299760806
34:34.1,,,0.298114882
34:34.2,,,0.284443836
34:34.2,,,0.265381572
34:34.2,,,0.266651883
34:34.3,,,0.287409967
34:34.3,,,0.265381572
