Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
1355.1,22:35.3,0.200009,0.259265411
1355.2,,,0.259265411
1355.3,,,0.259265411
1355.4,22:35.7,0.242105,0.2648244275
1355.5,,,0.269955033
1355.6,,,0.2750856385
1355.7,22:35.8,0.048999,0.280216244
1355.8,,,0.27220022749999995
1355.9,,,0.273405953
1356.0,,,0.262308619
1356.1,,,0.26124096950000003
1356.2,,,0.26017332000000004
1356.3,,,0.2591056705
1356.4,,,0.258038021
1356.5,,,0.255535087
1356.6,22:36.7,0.101055,0.253032153
1356.7,,,0.2563772955
1356.8,22:36.8,0.049541,0.256759412
1356.9,22:37.0,0.144178,0.259841809
1357.0,,,0.259841809
1357.1,22:37.2,0.105543,0.251875066
1357.2,,,0.251875066
1357.3,22:37.4,0.097609,0.256759412
1357.4,,,0.26507428850000003
1357.5,22:37.6,0.04953,0.2685392995
1357.6,,,0.27088541050000003
1357.7,,,0.2634661125
1357.8,,,0.27258283
1357.9,22:38.0,0.046991,0.26555939
1358.0,,,0.285886741
1358.1,,,0.25959157
1358.2,,,0.26677389549999997
1358.3,,,0.292079844
1358.4,22:38.5,0.047996,0.268448969
1358.5,,,0.256979859
1358.6,,,0.2708143915
1358.7,,,0.259913087
1358.8,22:38.8,0.053743,0.26061081
1358.9,,,0.273369294
1359.0,,,0.259767575
1359.1,,,0.272779821
1359.2,22:40.9,1.685048,0.260256859
1359.3,,,0.2599551866764706
1359.4,,,0.2596535143529412
1359.5,,,0.25935184202941175
1359.6,,,0.25905016970588235
1359.7,,,0.25874849738235295
1359.8,,,0.25844682505882355
1359.9,,,0.25814515273529415
1360.0,,,0.25784348041176475
1360.1,,,0.2575418080882353
1360.2,,,0.2572401357647059
1360.3,,,0.2569384634411765
1360.4,,,0.2566367911176471
1360.5,,,0.2563351187941177
1360.6,,,0.2560334464705883
1360.7,,,0.25573177414705883
1360.8,,,0.25543010182352943
1360.9,,,0.25512842950000003
1361.0,22:41.1,0.048328,0.254980773
1361.1,,,0.26515615800000003
1361.2,22:41.3,0.047326,0.26440410449999996
1361.3,,,0.263230568
1361.4,,,0.258333333
1361.5,22:41.5,0.052396,0.260256859
