Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
28:06.6,,,0.351787734
28:06.6,,,0.341682114
28:06.6,,,0.36323218
28:06.6,,,0.357180712
28:06.7,,,0.355973612
28:06.7,,,0.333158164
28:06.7,,,0.298941642
28:06.8,,,0.337722941
28:06.8,,,0.294714133
28:06.8,,,0.306961009
28:06.9,,,0.300846092
28:06.9,,,0.300846092
28:06.9,,,0.337515447
28:07.0,,,0.313346092
28:07.0,,,0.300847382
28:07.0,,,0.316440474
28:07.1,,,0.350668899
28:07.1,,,0.355942358
28:07.1,,,0.341478023
28:07.2,,,0.342323111
28:07.2,,,0.350668899
28:07.2,,,0.337577482
28:07.3,,,0.350668899
28:07.3,,,0.338184494
28:07.3,,,0.352444486
28:07.4,,,0.350015447
28:07.4,,,0.338330496
28:07.4,,,0.333989777
28:07.5,,,0.34210477
28:07.5,,,0.325846092
28:07.5,,,0.342323111
28:07.6,,,0.339218844
28:07.6,,,0.350670007
28:07.6,,,0.350450558
28:07.7,,,0.34210477
28:07.7,,,0.316478023
28:07.7,,,0.338330496
28:07.8,,,0.333424813
28:07.8,,,0.329586736
28:07.8,,,0.350015447
28:07.9,,,0.338184494
28:07.9,,,0.337515447
28:07.9,,,0.363168899
28:08.0,,,0.365770937
28:08.0,,,0.353586876
28:08.0,,,0.342146922
28:08.1,,,0.364056138
28:08.1,,,0.333940199
28:08.1,,,0.325846092
28:08.2,,,0.345692421
28:08.2,,,0.333989777
28:08.2,,,0.355127566
28:08.3,,,0.342427045
28:08.3,,,0.351483799
28:08.3,,,0.354589174
28:08.4,,,0.362934962
28:08.4,,,0.375309378
28:08.4,,,0.342566053
28:08.5,,,0.354925448
28:08.5,,,0.367299864
28:08.5,,,0.388681022
28:08.6,,,0.355366425
28:08.6,,,0.376973868
28:08.7,,,0.354925448
28:08.7,,,0.332582579
28:08.7,,,0.354038209
28:08.8,,,0.357681064
28:08.8,,,0.344847333
28:08.8,,,0.345692421
28:08.9,,,0.345279761
28:08.9,,,0.342528159
28:08.9,,,0.351556138
28:09.0,,,0.333424813
28:09.0,,,0.354705795
28:09.0,,,0.343412098
28:09.1,,,0.343374205
28:09.1,,,0.343222805
28:09.1,,,0.342566053
28:09.2,,,0.344258144
28:09.2,,,0.351568285
28:09.2,,,0.346121995
28:09.3,,,0.347705866
28:09.3,,,0.335113093
28:09.4,,,0.350899386
28:09.4,,,0.342600381
28:09.4,,,0.359064358
28:09.5,,,0.369607706
28:09.5,,,0.368027646
28:09.5,,,0.369505796
28:09.6,,,0.368765471
28:09.6,,,0.388043314
28:09.6,,,0.363227772
28:09.7,,,0.370348031
28:09.7,,,0.366508614
28:09.7,,,0.378359751
28:09.8,,,0.338112155
28:09.8,28:09.9,0.13276,0.251842851
28:09.9,,,0.251842851
28:10.0,,,0.301879333
28:10.0,,,0.301879333
28:10.0,,,0.301895142
28:10.1,,,0.306641237
28:10.1,,,0.325627751
28:10.1,,,0.329662517
28:10.2,,,0.334834865
28:10.2,,,0.309672492
28:10.2,,,0.338999395
28:10.3,,,0.342146922
28:10.3,,,0.353821856
28:10.3,,,0.378703962
28:10.4,,,0.334078404
28:10.4,,,0.343269279
28:10.4,,,0.322237555
28:10.5,,,0.334078404
28:10.5,,,0.342600381
28:10.5,,,0.332393935
28:10.6,,,0.350903795
28:10.6,,,0.349797107
28:10.6,,,0.357759069
28:10.7,,,0.356916835
28:10.7,,,0.35617651
28:10.7,,,0.368767971
28:10.8,,,0.357759069
28:10.8,,,0.368063116
28:10.8,,,0.355476414
28:10.8,,,0.354778534
28:10.9,,,0.357759069
28:10.9,,,0.376196617
28:10.9,,,0.353384758
28:11.0,,,0.36566638
28:11.0,,,0.34406885
28:11.0,,,0.355665773
28:11.1,,,0.351337797
28:11.1,,,0.367640633
28:11.1,,,0.367367701
28:11.2,,,0.367640633
28:11.2,,,0.36601637
28:11.2,,,0.368201952
28:11.3,,,0.379931476
28:11.3,,,0.376196617
28:11.3,,,0.354778534
28:11.4,,,0.366669821
28:11.4,,,0.359341628
28:11.4,,,0.379742117
28:11.5,,,0.339740632
28:11.5,,,0.350903795
28:11.5,,,0.338184494
28:11.6,,,0.300658943
28:11.6,,,0.276080242
28:11.6,,,0.317324115
28:11.7,,,0.301880623
28:11.7,,,0.300846092
28:11.7,,,0.301880623
28:11.8,,,0.300846092
28:11.8,,,0.300846092
28:11.8,,,0.301034532
28:11.9,,,0.301034532
28:11.9,,,0.275893093
28:11.9,,,0.313534532
28:12.0,,,0.330255634
28:12.0,,,0.338184494
28:12.0,,,0.293703235
28:12.1,28:12.2,0.11638,0.256241125
28:12.2,,,0.256241125
28:12.2,,,0.264816442
28:12.3,,,0.284992941
28:12.3,,,0.304601853
28:12.3,,,0.316440474
28:12.4,,,0.301692183
28:12.4,,,0.309555832
28:12.5,,,0.339495227
28:12.5,,,0.338184494
28:12.5,,,0.322099448
28:12.6,,,0.32651499
28:12.6,,,0.326112014
28:12.6,,,0.325077482
28:12.7,,,0.350574357
28:12.7,,,0.334081257
28:12.7,,,0.334081257
28:12.8,,,0.343222497
28:12.8,,,0.337469024
28:12.9,,,0.365491638
28:12.9,,,0.321712272
28:12.9,,,0.374339761
28:13.0,,,0.354268696
28:13.0,,,0.354268696
28:13.0,,,0.37771401
28:13.1,,,0.361569473
28:13.1,,,0.35323614
28:13.1,,,0.346013775
28:13.2,,,0.333236169
28:13.2,,,0.333424813
28:13.2,,,0.345014619
28:13.3,,,0.334267047
28:13.3,,,0.369823299
28:13.3,,,0.369823299
28:13.4,,,0.365267049
28:13.4,,,0.368378603
28:13.4,,,0.3667992
28:13.5,,,0.375727772
28:13.5,,,0.361442381
28:13.6,,,0.356919381
28:13.6,,,0.350709248
28:13.6,,,0.353329124
28:13.7,,,0.3623209
28:13.7,,,0.3623209
28:13.7,,,0.353190211
28:13.8,,,0.333590806
28:13.8,,,0.350899386
28:13.8,,,0.334270858
28:13.9,,,0.31360688
28:13.9,28:14.0,0.130025,0.286003966
28:14.0,,,0.286003966
28:14.1,,,0.31360688
28:14.1,,,0.289071976
28:14.1,,,0.327141411
28:14.2,,,0.325066635
28:14.2,,,0.305110712
28:14.2,,,0.340609048
28:14.3,,,0.337359142
28:14.3,,,0.32610688
28:14.3,,,0.3280587
28:14.4,,,0.330669499
28:14.4,,,0.3498209
28:14.4,,,0.342600381
28:14.5,,,0.3214974
28:14.5,,,0.330019377
28:14.5,,,0.341666667
28:14.6,,,0.334179379
28:14.6,,,0.316030206
28:14.6,,,0.337385422
28:14.7,,,0.342600381
28:14.7,,,0.345014619
28:14.7,,,0.334267047
28:14.8,,,0.322554507
28:14.8,,,0.321573677
28:14.8,,,0.318194469
28:14.9,,,0.329389608
28:14.9,,,0.310707181
28:14.9,,,0.313612014
28:15.0,,,0.318433953
28:15.0,,,0.300284976
28:15.0,,,0.305891697
28:15.1,,,0.318091504
28:15.1,,,0.306582817
28:15.1,,,0.325904135
28:15.2,,,0.326937376
28:15.2,,,0.350077482
28:15.2,,,0.333236169
28:15.3,,,0.330146494
28:15.3,,,0.300284976
28:15.3,28:15.5,0.173848,0.251080242
28:15.5,,,0.251080242
28:15.6,,,0.274393139
28:15.6,,,0.293142119
28:15.6,,,0.288881543
28:15.7,,,0.312722941
28:15.7,,,0.31360688
28:15.7,,,0.329200964
28:15.8,,,0.337577482
28:15.8,,,0.35531686
28:15.8,,,0.331119592
28:15.9,,,0.330273546
28:15.9,,,0.350015447
28:15.9,,,0.364052689
28:16.0,,,0.330273546
28:16.0,,,0.350903795
28:16.0,,,0.36334176
28:16.1,,,0.349830729
28:16.1,,,0.364177608
28:16.1,,,0.373916963
28:16.2,,,0.364116119
28:16.2,,,0.355146494
28:16.2,,,0.350015447
28:16.3,,,0.360727201
28:16.3,,,0.354258146
28:16.3,,,0.354120079
28:16.4,,,0.334270858
28:16.4,,,0.360058303
28:16.4,,,0.342646494
28:16.5,,,0.378703962
28:16.5,,,0.333424813
28:16.5,,,0.363399386
28:16.6,,,0.335113093
28:16.6,,,0.375015447
28:16.6,,,0.375793669
28:16.7,,,0.334081257
28:16.7,,,0.368869881
28:16.7,,,0.343412098
28:16.8,,,0.350015447
28:16.8,,,0.360161076
28:16.8,,,0.350015447
28:16.9,,,0.350903795
28:16.9,,,0.350015447
28:16.9,,,0.350015447
28:17.0,,,0.349797107
28:17.0,,,0.387871552
28:17.0,,,0.350709248
28:17.1,,,0.343412098
28:17.1,,,0.340829124
28:17.2,,,0.34238204
28:17.2,,,0.375493835
28:17.2,,,0.342600381
28:17.3,,,0.363227772
28:17.3,,,0.350015447
28:17.3,,,0.349797107
28:17.4,,,0.350684346
28:17.4,,,0.378359751
28:17.4,,,0.3744734
28:17.5,,,0.387047861
28:17.5,,,0.374609896
28:17.5,,,0.387871552
28:17.6,,,0.355100381
28:17.6,,,0.374843833
28:17.6,,,0.387343833
28:17.7,,,0.38875549
28:17.7,,,0.363399386
28:17.7,,,0.375899386
28:17.8,,,0.375727772
28:17.8,,,0.36316545
28:17.9,,,0.375622055
28:17.9,,,0.376271086
28:17.9,,,0.375387147
28:18.0,,,0.366658177
28:18.0,,,0.38875549
28:18.0,,,0.362281511
28:18.1,,,0.353181976
28:18.1,,,0.342646494
28:18.1,,,0.345329575
28:18.2,,,0.344198435
28:18.2,,,0.354911449
28:18.2,,,0.354258146
28:18.3,,,0.355100381
28:18.3,,,0.368378603
28:18.4,,,0.341758146
28:18.4,,,0.356136359
28:18.4,,,0.365810363
28:18.5,,,0.365770937
28:18.5,,,0.354258146
28:18.5,,,0.353415912
28:18.6,,,0.387094301
28:18.6,,,0.353390942
28:18.6,,,0.374843833
28:18.7,,,0.362281511
28:18.7,,,0.350015447
28:18.7,,,0.354347108
28:18.8,,,0.343488728
28:18.8,,,0.361208445
28:18.8,,,0.342600381
28:18.9,,,0.363227772
28:18.9,,,0.375348619
28:18.9,,,0.375493835
28:19.0,,,0.375015447
28:19.0,,,0.350015447
28:19.1,,,0.362343833
28:19.1,,,0.354173772
28:19.1,,,0.355036368
28:19.2,,,0.35430426
28:19.2,,,0.340915912
28:19.2,,,0.34527595
28:19.3,,,0.343488728
28:19.3,,,0.362515447
28:19.4,,,0.374843833
28:19.4,,,0.361569473
28:19.4,,,0.350899386
28:19.5,,,0.32675454
28:19.5,,,0.276926334
28:19.5,28:19.6,0.095894,0.270148041
28:19.6,,,0.270148041
28:19.6,,,0.288049215
28:19.7,,,0.325761977
28:19.7,,,0.350015447
28:19.7,,,0.326314373
28:19.8,,,0.312582231
28:19.8,,,0.337722941
28:19.8,,,0.336693543
28:19.9,,,0.337359142
28:19.9,,,0.330045606
28:19.9,,,0.3375046
