Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
15:05.4,,,0.337966154
15:05.4,,,0.329823111
15:05.4,,,0.311506394
15:05.5,,,0.317477108
15:05.5,,,0.334646221
15:05.5,,,0.346537509
15:05.6,,,0.322329035
15:05.6,,,0.344245072
15:05.6,,,0.305046881
15:05.7,,,0.343168198
15:05.7,,,0.345825131
15:05.8,,,0.329368395
15:05.8,,,0.342600381
15:05.8,,,0.33766604
15:05.9,,,0.341259682
15:05.9,,,0.362343833
15:05.9,,,0.316487148
15:06.0,,,0.325761977
15:06.0,,,0.312535792
15:06.0,,,0.342146922
15:06.1,,,0.330447271
15:06.1,,,0.349563319
15:06.1,,,0.312535792
15:06.2,,,0.333493027
15:06.2,,,0.317623088
15:06.2,,,0.292058987
15:06.2,,,0.343099455
15:06.3,,,0.338611289
15:06.3,,,0.313569033
15:06.3,,,0.313615472
15:06.4,,,0.325020196
15:06.4,,,0.338345943
15:06.4,,,0.349797107
15:06.5,,,0.362281511
15:06.5,,,0.362934962
15:06.5,,,0.350681045
15:06.6,,,0.343181611
15:06.6,,,0.338345943
15:06.6,,,0.325481749
15:06.7,,,0.312582231
15:06.7,,,0.313346092
15:06.7,,,0.300658943
15:06.8,,,0.316883991
15:06.8,,,0.311002712
15:06.8,,,0.301880623
15:06.9,,,0.318092401
15:06.9,,,0.263769944
15:06.9,,,0.275661232
15:07.0,,,0.309453595
15:07.0,,,0.281381469
15:07.0,,,0.279902584
15:07.1,,,0.291077102
15:07.1,,,0.298442621
15:07.1,,,0.29925049
15:07.2,,,0.310018559
15:07.2,,,0.343034161
15:07.2,,,0.332393935
15:07.3,,,0.302161634
15:07.3,,,0.322754934
15:07.3,,,0.334646221
15:07.4,,,0.322329035
15:07.4,,,0.330046052
15:07.4,,,0.330447271
15:07.5,,,0.309635664
15:07.5,,,0.318755383
15:07.5,,,0.334081257
15:07.6,,,0.346670219
15:07.6,,,0.323739087
15:07.6,,,0.341773594
15:07.7,,,0.29398815
15:07.7,,,0.282273081
15:07.7,,,0.308971785
15:07.8,,,0.310091211
15:07.8,,,0.341773594
15:07.8,,,0.333091609
15:07.9,,,0.342377409
15:07.9,,,0.310437748
15:07.9,,,0.346670219
15:08.0,,,0.309635664
15:08.0,,,0.322187116
15:08.0,,,0.320822922
15:08.1,,,0.335200762
15:08.1,,,0.332674059
15:08.1,,,0.340931359
15:08.2,,,0.334923492
15:08.2,,,0.341773594
15:08.2,,,0.321803752
15:08.3,,,0.309606113
15:08.3,,,0.334358527
15:08.3,,,0.343988433
15:08.4,,,0.334923492
15:08.4,,,0.299082309
15:08.5,,,0.348957828
15:08.5,,,0.338863746
15:08.5,,,0.365315029
15:08.6,,,0.334267047
15:08.6,,,0.340931359
15:08.6,,,0.342566053
15:08.7,,,0.329389608
15:08.7,,,0.330903287
15:08.7,,,0.321836201
15:08.8,,,0.299194676
15:08.8,,,0.326804246
15:08.8,,,0.343222805
15:08.9,,,0.325990585
15:08.9,,,0.333516293
15:09.0,,,0.332582579
15:09.0,,,0.334358527
15:09.0,,,0.309201212
15:09.1,,,0.325148351
15:09.1,,,0.32683282
15:09.1,,,0.334358527
15:09.2,,,0.325190402
15:09.2,,,0.343443362
15:09.2,,,0.309288
15:09.3,,,0.329176351
15:09.3,,,0.308225846
15:09.3,,,0.332587271
15:09.4,,,0.354674078
15:09.4,,,0.327646481
15:09.4,,,0.325908494
15:09.5,,,0.342421281
15:09.5,,,0.32683282
15:09.5,,,0.325899105
15:09.6,,,0.328895437
15:09.6,,,0.333424813
15:09.7,,,0.334267047
15:09.7,,,0.345948333
15:09.7,,,0.332143447
15:09.8,,,0.32683282
15:09.8,,,0.346013775
15:09.8,,,0.332985681
15:09.9,,,0.341815298
15:09.9,,,0.317434437
15:09.9,,,0.339395426
15:10.0,,,0.332143447
15:10.0,,,0.361507636
15:10.0,,,0.348761987
15:10.1,,,0.361139905
15:10.1,,,0.368398548
15:10.1,,,0.333516293
15:10.2,,,0.352701094
15:10.2,,,0.360470588
15:10.2,,,0.358302675
15:10.3,,,0.344263864
15:10.3,,,0.365443008
15:10.3,,,0.344825975
15:10.4,,,0.351487608
15:10.4,,,0.350347399
15:10.4,,,0.341579047
15:10.5,,,0.336785508
15:10.5,,,0.32559348
15:10.5,,,0.333424813
15:10.6,,,0.336730632
15:10.6,,,0.346516151
15:10.6,,,0.340751308
15:10.7,,,0.349084974
15:10.7,,,0.349509972
15:10.7,,,0.33758978
15:10.8,,,0.329511167
15:10.8,,,0.351307437
15:10.8,,,0.34526302
15:10.9,,,0.328625075
15:10.9,,,0.334235792
15:10.9,,,0.345671063
15:11.0,,,0.318483655
15:11.0,,,0.329319489
15:11.0,,,0.329700921
15:11.1,,,0.345825131
15:11.1,,,0.318972913
15:11.1,,,0.327400637
15:11.2,,,0.315091705
15:11.2,,,0.303404
15:11.2,,,0.318972913
