Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
48:28.6,,,0.32693995
48:28.6,,,0.305803018
48:28.6,,,0.31015243
48:28.7,,,0.299561631
48:28.7,,,0.292804459
48:28.7,,,0.296117727
48:28.8,,,0.321055306
48:28.8,,,0.30555909
48:28.8,,,0.305803018
48:28.9,,,0.310188919
48:28.9,,,0.294633536
48:29.0,,,0.318444126
48:29.0,,,0.314729022
48:29.0,,,0.305803018
48:29.1,,,0.314729022
48:29.1,,,0.296352221
48:29.1,,,0.311709599
48:29.2,,,0.325296632
48:29.2,,,0.296633085
48:29.2,,,0.329836736
48:29.3,,,0.325656772
48:29.3,,,0.29959812
48:29.4,,,0.282522057
48:29.4,,,0.31319379
48:29.4,,,0.277755478
48:29.5,,,0.310188919
48:29.5,,,0.290672115
48:29.5,,,0.313208342
48:29.6,,,0.310188919
48:29.6,,,0.31840613
48:29.6,,,0.327162899
48:29.7,,,0.314729022
48:29.7,,,0.29959812
48:29.7,,,0.307740975
48:29.8,,,0.310188919
48:29.8,,,0.320045252
48:29.8,,,0.293310861
48:29.9,,,0.303264791
48:29.9,,,0.301646514
48:29.9,,,0.318622169
48:30.0,,,0.313157301
48:30.0,,,0.311809048
48:30.0,,,0.314729022
48:30.1,,,0.325091486
48:30.1,,,0.346732342
48:30.1,,,0.356727135
48:30.2,,,0.320414278
48:30.2,,,0.326766271
48:30.2,,,0.325296632
48:30.3,,,0.310188919
48:30.3,,,0.324121539
48:30.3,,,0.310188919
48:30.4,,,0.29179018
48:30.4,,,0.328661643
48:30.4,,,0.296154216
48:30.5,,,0.336879328
48:30.5,,,0.315700134
48:30.5,,,0.325656772
48:30.6,,,0.309649647
48:30.6,,,0.29959812
48:30.6,,,0.342378699
48:30.7,,,0.342270613
48:30.7,,,0.325404718
48:30.7,,,0.285965961
48:30.8,,,0.325642219
48:30.8,,,0.290257024
48:30.8,,,0.31319379
48:30.9,,,0.302783594
48:30.9,,,0.323974575
48:30.9,,,0.311658558
48:31.0,,,0.313230279
48:31.0,,,0.31167311
48:31.0,,,0.313230279
48:31.1,,,0.310188919
48:31.1,,,0.311687662
48:31.1,,,0.310188919
48:31.2,,,0.311709599
48:31.2,,,0.311687662
48:31.2,,,0.2982428
48:31.3,,,0.313208342
48:31.3,,,0.314729022
48:31.3,,,0.313230279
48:31.4,,,0.296168768
48:31.4,,,0.311658558
48:31.4,,,0.293112856
48:31.5,,,0.29179018
48:31.5,,,0.297689448
48:31.5,,,0.310188919
48:31.6,,,0.277953483
48:31.6,,,0.29959812
48:31.6,,,0.260140889
48:31.7,,,0.29179018
48:31.7,,,0.320045252
48:31.7,,,0.273736559
48:31.8,,,0.308617197
48:31.8,,,0.323974575
48:31.8,,,0.266179259
48:31.9,,,0.323281806
48:31.9,,,0.310137878
48:31.9,,,0.29807744
48:32.0,,,0.280205874
48:32.0,,,0.29959812
48:32.0,,,0.284754066
48:32.1,,,0.296154216
48:32.1,,,0.282148618
48:32.1,,,0.311709599
48:32.2,,,0.308617197
48:32.2,,,0.308617197
48:32.2,,,0.311658558
48:32.3,,,0.29959812
48:32.3,,,0.327126411
48:32.3,,,0.342282776
48:32.4,,,0.325245591
48:32.4,,,0.344944449
48:32.4,,,0.316227766
48:32.5,,,0.309900376
48:32.5,,,0.36198463
48:32.5,,,0.312941736
48:32.6,,,0.307295946
48:32.6,,,0.294582495
48:32.6,,,0.314729022
48:32.7,,,0.311658558
48:32.7,,,0.311687662
48:32.7,,,0.293112856
48:32.8,,,0.324876873
48:32.8,,,0.296154216
48:32.9,,,0.296154216
48:32.9,,,0.296154216
48:32.9,,,0.283748872
48:33.0,,,0.283634526
48:33.0,,,0.263420182
48:33.0,,,0.280390354
48:33.1,,,0.280390354
48:33.1,,,0.294831541
48:33.1,,,0.298656318
48:33.2,,,0.283634526
48:33.2,,,0.281166737
48:33.2,,,0.316227766
48:33.3,,,0.289507738
48:33.3,,,0.298062888
48:33.3,,,0.29959812
48:33.4,,,0.29959812
48:33.4,,,0.31319379
48:33.5,,,0.31319379
48:33.5,,,0.292510246
48:33.5,,,0.302732553
48:33.6,,,0.310137878
48:33.6,,,0.293310861
48:33.6,,,0.294633536
48:33.7,,,0.293112856
48:33.7,,,0.287987058
48:33.7,,,0.291305715
48:33.8,,,0.296117727
48:33.8,,,0.310137878
48:33.8,,,0.296154216
48:33.9,,,0.313157301
48:33.9,,,0.271553384
48:33.9,,,0.281166737
48:34.0,,,0.294633536
48:34.0,,,0.294633536
48:34.0,,,0.301096864
48:34.1,,,0.29959812
48:34.1,,,0.279664149
48:34.1,,,0.29959812
48:34.2,,,0.298062888
48:34.2,,,0.281244976
48:34.2,,,0.282522057
48:34.3,,,0.288025054
48:34.3,,,0.296154216
48:34.3,,,0.294831541
48:34.4,,,0.294633536
48:34.4,,,0.294633536
48:34.4,,,0.296154216
48:34.5,,,0.267571067
48:34.5,,,0.281166737
48:34.5,,,0.270835058
48:34.6,,,0.301096864
48:34.6,,,0.274229652
48:34.6,,,0.261407919
48:34.7,,,0.269299826
48:34.7,,,0.285965961
48:34.7,,,0.298026399
48:34.8,,,0.270835058
48:34.8,,,0.278569373
48:34.8,,,0.284057289
48:34.9,,,0.253795484
48:34.9,,,0.263420182
48:34.9,,,0.270835058
48:35.0,,,0.301096864
48:35.0,,,0.282379711
48:35.0,,,0.284754066
48:35.1,,,0.294345127
48:35.1,,,0.308932446
48:35.1,,,0.310104008
48:35.2,,,0.299741544
48:35.2,,,0.291269226
48:35.2,,,0.288483027
48:35.3,,,0.301646514
48:35.3,,,0.288536435
48:35.3,,,0.297652959
48:35.4,,,0.304587466
48:35.4,,,0.292900468
48:35.4,,,0.29672212
48:35.5,,,0.284467217
48:35.5,,,0.294831541
48:35.5,,,0.279276158
48:35.6,,,0.311459327
48:35.6,,,0.265680488
48:35.6,,,0.291688572
48:35.7,,,0.268246417
48:35.7,,,0.276432803
48:35.8,,,0.27452026
48:35.8,,,0.268246417
48:35.8,,,0.290170981
48:35.9,,,0.261407919
48:35.9,,,0.279844062
48:35.9,,,0.284610641
48:36.0,,,0.2982428
48:36.0,,,0.278323382
48:36.0,,,0.29655676
48:36.1,,,0.264530382
48:36.1,,,0.29655676
48:36.2,,,0.264159808
48:36.2,,,0.279276158
48:36.2,,,0.29179018
48:36.3,,,0.277755478
48:36.3,,,0.262966004
48:36.3,,,0.276432803
48:36.4,,,0.296154216
48:36.4,,,0.262251136
48:36.5,48:36.5,0.037034,0.280986825
48:36.5,,,0.280986825
48:36.5,,,0.25883987
