Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
32:11.9,,,0.325710883
32:11.9,,,0.335234563
32:11.9,,,0.333076726
32:12.0,,,0.334224435
32:12.0,,,0.326518117
32:12.0,,,0.344028357
32:12.1,,,0.335115537
32:12.1,,,0.334226205
32:12.1,,,0.313592021
32:12.1,,,0.325174034
32:12.2,,,0.311541753
32:12.2,,,0.342880647
32:12.2,,,0.328174765
32:12.3,,,0.333076726
32:12.3,,,0.319187837
32:12.3,,,0.324343166
32:12.4,,,0.346965614
32:12.4,,,0.348113324
32:12.4,,,0.335372145
32:12.5,,,0.339041539
32:12.5,,,0.340407006
32:12.5,,,0.334224435
32:12.6,,,0.346965614
32:12.6,,,0.349102147
32:12.6,,,0.335375685
32:12.7,,,0.334224435
32:12.7,,,0.332820118
32:12.7,,,0.326518117
32:12.8,,,0.332820118
32:12.8,,,0.334226205
32:12.8,,,0.348115094
32:12.9,,,0.319187837
32:12.9,,,0.340129014
32:12.9,,,0.346965614
32:13.0,,,0.341556486
32:13.0,,,0.334226205
32:13.0,,,0.335372145
32:13.1,,,0.333967828
32:13.1,,,0.335372145
32:13.1,,,0.315175824
32:13.2,32:13.3,0.100304,0.258728212
32:13.3,,,0.258728212
32:13.3,,,0.28693376
32:13.3,,,0.28693376
32:13.4,,,0.313468882
32:13.4,,,0.320563108
32:13.4,,,0.332820118
32:13.5,,,0.306705035
32:13.5,,,0.333076726
32:13.6,,,0.344047728
32:13.6,,,0.334224435
32:13.6,,,0.334224435
32:13.7,,,0.361961215
32:13.7,,,0.306469811
32:13.7,,,0.292590757
32:13.8,32:13.8,0.0726,0.265384849
32:13.8,,,0.265384849
32:13.9,,,0.296517423
32:13.9,,,0.299347609
32:13.9,,,0.306446658
32:14.0,,,0.319187837
32:14.0,,,0.306714869
32:14.0,,,0.343137255
32:14.1,,,0.320335546
32:14.1,,,0.311761495
32:14.2,,,0.329322475
32:14.2,,,0.335373915
32:14.2,,,0.325430642
32:14.3,,,0.343723835
32:14.3,,,0.325650384
32:14.3,,,0.358734239
32:14.4,,,0.344028357
32:14.4,,,0.344028357
32:14.5,,,0.333076726
32:14.5,,,0.344028357
32:14.5,,,0.330160852
32:14.6,,,0.325430642
32:14.6,,,0.306468042
32:14.7,,,0.333076726
32:14.7,,,0.344028357
32:14.7,,,0.328174765
32:14.8,,,0.321616156
32:14.8,,,0.360833119
32:14.8,,,0.344028357
32:14.9,,,0.334226205
32:14.9,,,0.349079243
32:15.0,,,0.334226205
32:15.0,,,0.333076726
32:15.0,,,0.333967828
32:15.1,,,0.342880647
32:15.1,,,0.315401268
32:15.1,32:15.2,0.106291,0.271494606
32:15.2,,,0.271494606
32:15.3,,,0.31145421
32:15.3,,,0.348996999
32:15.4,,,0.329043329
32:15.4,,,0.343982212
32:15.4,,,0.316627814
32:15.5,,,0.326983982
32:15.5,,,0.296209875
32:15.5,32:15.7,0.17467,0.256159284
32:15.7,,,0.256159284
32:15.7,,,0.279157996
32:15.8,32:15.9,0.098662,0.281978805
32:15.9,,,0.281978805
32:15.9,32:16.6,0.692839,0.272475693
32:16.6,,,0.272475693
32:16.6,,,0.264249099
32:16.7,,,0.279183373
32:16.7,,,0.287156199
32:16.7,,,0.280702288
32:16.8,,,0.273800689
32:16.8,,,0.278929604
32:16.8,,,0.312195715
32:16.9,,,0.279157996
32:16.9,,,0.281836917
32:16.9,,,0.3125
32:17.0,,,0.266287867
32:17.0,,,0.257109513
32:17.0,32:17.2,0.205405,0.27443411
32:17.2,,,0.27443411
32:17.3,,,0.265625
32:17.3,,,0.287436854
32:17.3,,,0.310592317
32:17.4,,,0.280702288
32:17.4,,,0.296570715
32:17.4,,,0.28434436
32:17.5,,,0.324194196
32:17.5,,,0.336257533
32:17.5,,,0.298117895
32:17.6,,,0.308569196
32:17.6,,,0.296875
32:17.6,,,0.311891431
32:17.7,,,0.313739882
32:17.7,,,0.284166234
32:17.7,,,0.3125
32:17.8,,,0.334610863
32:17.8,,,0.331864982
32:17.8,,,0.311891431
32:17.9,,,0.327486002
32:17.9,,,0.31925864
32:17.9,,,0.344624741
32:18.0,,,0.312195715
32:18.0,,,0.281006572
32:18.0,,,0.260385094
32:18.1,32:18.1,0.031017,0.25
32:18.1,,,0.25
32:18.1,,,0.265625
32:18.2,,,0.326114172
32:18.2,,,0.312195715
32:18.2,,,0.390086329
32:18.3,,,0.374634858
32:18.3,,,0.325840866
32:18.3,,,0.336257533
32:18.4,,,0.389358857
32:18.4,,,0.370662978
32:18.4,,,0.377216151
32:18.5,32:18.6,0.140661,0.25
32:18.6,,,0.25
32:18.6,,,0.333333333
32:18.7,,,0.382484311
32:18.7,,,0.374269717
32:18.8,,,0.374269717
32:18.8,,,0.340191992
32:18.8,,,0.344932038
32:18.9,,,0.343080574
32:18.9,,,0.360668165
32:18.9,,,0.349448345
32:19.0,,,0.389444531
32:19.0,,,0.28279718
32:19.0,32:19.2,0.10542,0.26841857
32:19.2,,,0.26841857
32:19.2,,,0.307291667
32:19.2,,,0.296875
32:19.3,,,0.324262707
32:19.3,,,0.345661866
32:19.3,,,0.322612382
32:19.4,,,0.343080574
32:19.4,,,0.361078379
32:19.4,,,0.358559672
32:19.5,,,0.325806874
32:19.5,,,0.3875
32:19.5,,,0.353801525
32:19.6,,,0.343080574
32:19.6,,,0.324156549
32:19.6,,,0.322612382
32:19.7,,,0.324686507
32:19.7,,,0.345043165
32:19.8,,,0.37980248
32:19.8,,,0.389716151
32:19.8,,,0.360330933
32:19.9,,,0.350200556
32:19.9,,,0.360584454
32:19.9,,,0.339171144
32:20.0,32:20.1,0.109079,0.30205176
32:20.1,,,0.30205176
32:20.1,,,0.336633984
32:20.2,,,0.390972561
32:20.2,,,0.376851009
32:20.2,,,0.357629376
32:20.3,,,0.301650325
32:20.3,,,0.30625
32:20.3,,,0.317984766
32:20.4,,,0.336261188
32:20.4,,,0.325913033
32:20.4,,,0.336264843
32:20.5,,,0.334983659
32:20.5,,,0.340191992
32:20.5,,,0.343384858
32:20.6,,,0.343415287
32:20.6,,,0.387057032
32:20.6,,,0.343384858
32:20.7,,,0.374269717
32:20.7,,,0.322547526
32:20.8,,,0.341401446
32:20.8,,,0.368976339
32:20.8,,,0.391095526
32:20.9,,,0.356382818
32:20.9,,,0.327661352
32:21.0,,,0.354166667
32:21.0,,,0.343445715
32:21.0,,,0.343384858
32:21.1,,,0.328125
32:21.1,,,0.338172526
32:21.2,,,0.353801525
32:21.2,,,0.374269717
32:21.2,,,0.344708451
32:21.3,,,0.343415287
32:21.3,,,0.327486002
32:21.3,,,0.353801525
32:21.4,,,0.353311402
32:21.4,,,0.377221188
32:21.5,,,0.377221188
32:21.5,,,0.361256438
32:21.5,,,0.378141656
32:21.6,,,0.375140606
32:21.6,,,0.375560363
32:21.6,,,0.388350196
32:21.7,,,0.357090866
32:21.7,,,0.354723031
32:21.7,,,0.356725725
32:21.8,,,0.34473888
32:21.8,,,0.312195715
32:21.8,,,0.360333451
32:21.9,,,0.343445715
32:21.9,,,0.357090866
32:21.9,,,0.343445715
32:22.0,,,0.311891431
32:22.0,32:22.1,0.100529,0.25
32:22.1,,,0.25
32:22.2,,,0.307017811
32:22.2,,,0.327790287
32:22.2,,,0.322547526
32:22.3,,,0.334610863
32:22.3,,,0.355807032
32:22.3,,,0.350871475
32:22.4,,,0.315284049
32:22.4,,,0.34375
32:22.4,,,0.339558183
32:22.5,,,0.30934436
32:22.5,,,0.312195715
32:22.5,,,0.308941992
32:22.6,,,0.325913033
32:22.6,,,0.334558824
32:22.6,,,0.3125
32:22.7,,,0.296875
32:22.7,,,0.292275325
32:22.7,,,0.322916667
32:22.8,,,0.313742895
32:22.8,,,0.3125
32:22.8,,,0.3125
32:22.9,,,0.320133711
32:22.9,,,0.31404718
32:22.9,,,0.327820715
32:23.0,,,0.328125
32:23.0,,,0.3125
32:23.0,,,0.3125
32:23.1,,,0.312195715
32:23.1,,,0.309034049
32:23.1,,,0.312195715
32:23.2,,,0.32967218
32:23.2,,,0.345966151
32:23.2,,,0.327820715
32:23.3,,,0.313435598
32:23.3,,,0.332964193
32:23.3,,,0.325840866
32:23.4,,,0.315284049
32:23.4,,,0.366223698
32:23.4,,,0.322916667
32:23.5,,,0.34375
32:23.5,,,0.344675505
32:23.6,,,0.348041066
32:23.6,,,0.388514234
32:23.6,,,0.336415111
32:23.7,,,0.360300505
32:23.7,,,0.344675505
32:23.7,,,0.34684436
32:23.8,,,0.35164638
32:23.8,,,0.364431495
32:23.9,,,0.365882217
32:23.9,,,0.3618751
32:23.9,,,0.377218669
32:24.0,,,0.360219312
32:24.0,,,0.358559672
32:24.0,,,0.373849959
32:24.1,,,0.343080574
32:24.1,,,0.343445715
32:24.1,,,0.343384858
32:24.2,,,0.360300505
32:24.2,,,0.371097318
32:24.3,,,0.343080574
32:24.3,,,0.359009858
32:24.3,,,0.284983659
32:24.4,,,0.260085237
32:24.4,,,0.305945715
32:24.4,,,0.265625
32:24.5,,,0.30625
32:24.5,,,0.344932038
32:24.5,,,0.35545185
32:24.6,,,0.389893609
32:24.6,,,0.376079185
32:24.6,,,0.389893609
32:24.7,,,0.387134858
32:24.7,,,0.373497893
32:24.8,,,0.357102176
32:24.8,,,0.376851009
32:24.8,,,0.355807032
32:24.9,,,0.375843205
32:24.9,,,0.343080574
32:24.9,,,0.361626616
32:25.0,,,0.346283047
32:25.0,,,0.359009858
32:25.0,,,0.377586329
32:25.1,,,0.343080574
32:25.1,,,0.388514234
32:25.1,,,0.359375
32:25.2,,,0.359009858
32:25.2,,,0.357629376
32:25.2,,,0.329337467
32:25.3,,,0.375560363
32:25.3,,,0.374299038
32:25.3,,,0.358704466
32:25.4,,,0.359040287
32:25.4,,,0.389643361
32:25.4,,,0.374634858
32:25.5,,,0.343080574
32:25.5,,,0.389893609
32:25.5,,,0.360248633
32:25.6,,,0.325913033
32:25.6,,,0.358704466
32:25.6,,,0.389893609
32:25.7,,,0.359009858
32:25.7,,,0.343852916
32:25.7,,,0.346479218
32:25.8,,,0.373497893
32:25.8,,,0.343080574
32:25.8,,,0.360333451
32:25.9,,,0.325536582
32:25.9,,,0.343384858
32:25.9,,,0.289279049
32:26.0,,,0.25
32:26.0,,,0.260256859
32:26.0,,,0.258333333
32:26.1,,,0.318316992
32:26.1,,,0.334610863
32:26.1,,,0.307260159
32:26.2,,,0.324262707
32:26.2,,,0.35545185
32:26.2,,,0.327790287
32:26.3,,,0.35545185
32:26.3,,,0.346479218
32:26.3,,,0.376851009
32:26.4,,,0.38669189
32:26.4,,,0.356725725
32:26.4,,,0.378509315
32:26.5,,,0.388514234
32:26.5,,,0.376851009
32:26.5,,,0.393921513
32:26.6,,,0.376851009
32:26.6,,,0.375925505
32:26.6,,,0.391184256
32:26.7,,,0.345966151
32:26.7,,,0.346479218
32:26.7,,,0.375925505
32:26.8,,,0.361509958
32:26.8,,,0.406749506
32:26.8,,,0.378141656
32:26.9,,,0.361256438
32:26.9,,,0.373085128
32:26.9,,,0.387134858
32:27.0,,,0.370468192
32:27.0,,,0.387134858
32:27.0,,,0.374269717
32:27.1,,,0.38669189
32:27.1,,,0.374634858
32:27.1,,,0.359009858
32:27.2,,,0.370468192
32:27.2,,,0.353547127
32:27.3,,,0.389444531
32:27.3,,,0.341131153
32:27.3,,,0.361509958
32:27.4,,,0.340553599
32:27.4,,,0.373085128
32:27.4,,,0.359040287
32:27.5,,,0.38669189
32:27.5,,,0.322243242
32:27.6,,,0.389444531
32:27.6,,,0.343080574
32:27.6,,,0.342200269
32:27.7,,,0.373863034
32:27.7,,,0.389809672
32:27.7,,,0.374184672
32:27.8,,,0.343415287
32:27.8,,,0.371432032
32:27.9,,,0.340823949
32:27.9,,,0.373085128
32:27.9,,,0.340823949
32:28.0,,,0.353801525
32:28.0,,,0.371432032
32:28.1,,,0.357183352
32:28.1,,,0.343080574
32:28.1,,,0.374634858
32:28.2,,,0.355807032
32:28.2,,,0.355807032
32:28.3,,,0.35
32:28.3,,,0.339177279
32:28.3,,,0.375928023
32:28.4,,,0.343080574
32:28.4,,,0.357354211
32:28.4,,,0.339583333
32:28.5,,,0.389893609
32:28.5,,,0.322916667
32:28.6,,,0.266371354
32:28.6,,,0.287436854
32:28.6,,,0.30006509
32:28.7,,,0.330965344
32:28.7,,,0.336264843
32:28.7,,,0.344932038
32:28.8,,,0.340823949
32:28.8,,,0.357102176
32:28.8,,,0.355807032
32:28.9,,,0.335888393
32:28.9,,,0.355502747
32:28.9,,,0.382890365
32:29.0,,,0.374184672
32:29.0,,,0.355807032
32:29.1,,,0.389809672
32:29.1,,,0.361256438
32:29.1,,,0.364091251
32:29.2,,,0.356879067
32:29.2,,,0.361591151
32:29.2,,,0.343384858
32:29.3,,,0.376851009
32:29.3,,,0.315290075
32:29.3,,,0.346479218
32:29.4,,,0.344708451
32:29.4,,,0.328125
32:29.4,,,0.31404718
32:29.5,,,0.343080574
32:29.5,,,0.339279049
32:29.5,,,0.375925505
32:29.6,,,0.345661866
32:29.6,,,0.361509958
32:29.6,,,0.390649503
32:29.7,,,0.373085128
32:29.7,,,0.388238872
32:29.8,,,0.410385569
