Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
33:54.8,,,0.282246455
33:54.8,,,0.293610301
33:54.8,,,0.285511926
33:54.9,,,0.267027496
33:54.9,,,0.267027496
33:54.9,,,0.270491442
33:55.0,33:55.0,0.066569,0.298422076
33:55.0,,,0.298422076
33:55.1,,,0.251432924
33:55.1,33:55.2,0.136113,0.270170474
33:55.2,,,0.270170474
33:55.3,33:55.3,0.033006,0.251432924
33:55.3,,,0.251432924
33:55.3,33:55.4,0.032994,0.251432924
33:55.4,,,0.251432924
33:55.4,33:55.5,0.066552,0.304987637
33:55.5,,,0.304987637
33:55.5,,,0.26620432
33:55.5,,,0.260699045
33:55.6,,,0.268571663
33:55.6,,,0.273389165
33:55.6,,,0.274424346
33:55.6,,,0.282246455
33:55.7,,,0.262061446
33:55.7,33:55.7,0.031984,0.259119972
33:55.7,,,0.259119972
33:55.8,,,0.270354214
33:55.8,33:55.8,0.030103,0.252619758
33:55.8,,,0.252619758
33:55.9,,,0.279030147
33:55.9,33:55.9,0.031015,0.252619758
33:55.9,,,0.252619758
33:56.0,,,0.274624314
33:56.0,,,0.276471562
33:56.0,,,0.297028959
33:56.1,,,0.264385878
33:56.1,,,0.270491442
33:56.1,,,0.257794593
33:56.2,33:56.3,0.099557,0.258089906
33:56.3,,,0.258089906
33:56.3,,,0.250980392
33:56.3,33:56.6,0.300962,0.253352704
33:56.6,,,0.253352704
33:56.7,,,0.257795188
33:56.7,33:56.7,0.032681,0.252619758
33:56.7,,,0.252619758
33:56.8,,,0.275349178
33:56.8,,,0.28600502
33:56.8,,,0.271155149
33:56.9,,,0.294135124
33:56.9,33:56.9,0.032983,0.260720681
33:56.9,,,0.260720681
33:57.0,,,0.261622205
33:57.0,,,0.290063512
33:57.0,,,0.258067956
33:57.1,,,0.317088621
33:57.1,,,0.272431675
33:57.1,,,0.287499308
33:57.2,,,0.327704749
33:57.2,33:57.2,0.03191,0.252619758
33:57.2,,,0.252619758
33:57.3,,,0.32659023
33:57.3,,,0.298886063
33:57.3,33:57.4,0.034018,0.283334124
33:57.4,,,0.283334124
33:57.4,,,0.26536893
33:57.4,,,0.265099959
33:57.5,,,0.25582266
33:57.5,,,0.277673556
33:57.5,,,0.298026399
33:57.6,,,0.259976627
33:57.6,33:57.7,0.07,0.263699167
33:57.7,,,0.263699167
33:57.7,33:57.7,0.034359,0.254113124
33:57.7,,,0.254113124
33:57.8,,,0.264252292
33:57.8,,,0.27510753
33:57.9,,,0.262025641
33:57.9,33:57.9,0.035535,0.29499551
33:57.9,,,0.29499551
33:58.0,33:58.2,0.278673,0.259866612
33:58.2,,,0.259866612
33:58.3,,,0.273424866
33:58.3,,,0.295749005
33:58.3,33:58.4,0.032952,0.27221953
33:58.4,,,0.27221953
33:58.4,,,0.2810685
33:58.4,,,0.271530816
33:58.5,,,0.28903454
33:58.5,,,0.251531823
33:58.6,,,0.271530816
33:58.6,,,0.282389248
33:58.6,,,0.259628624
33:58.7,,,0.297202662
33:58.7,,,0.271040522
33:58.7,,,0.2697499
33:58.8,,,0.282170805
33:58.8,,,0.273741174
33:58.8,,,0.295947846
33:58.9,,,0.267294133
33:58.9,,,0.2689413
33:58.9,,,0.296153291
33:59.0,,,0.278812534
33:59.0,,,0.289788035
33:59.0,,,0.29752015
33:59.1,,,0.291358263
33:59.1,,,0.288350217
33:59.1,,,0.289788035
33:59.2,,,0.280390354
33:59.2,,,0.298656318
33:59.2,,,0.258736558
33:59.3,,,0.29752015
33:59.3,,,0.278944158
33:59.3,,,0.275764885
33:59.4,,,0.283634526
33:59.4,,,0.277497963
