Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
35:07.0,,,0.295317535
35:07.0,,,0.338866622
35:07.0,,,0.320337316
35:07.1,,,0.352636654
35:07.1,,,0.36731716
35:07.1,,,0.337956149
35:07.2,,,0.352636654
35:07.2,,,0.383068157
35:07.2,,,0.367342536
35:07.3,,,0.396703547
35:07.3,,,0.356721621
35:07.3,,,0.399672146
35:07.4,,,0.41140943
35:07.4,,,0.371454034
35:07.4,,,0.357586529
35:07.5,,,0.367012637
35:07.5,,,0.356748152
35:07.5,,,0.371832753
35:07.6,,,0.397748662
35:07.6,,,0.372980447
35:07.7,,,0.375686157
35:07.7,,,0.387352187
35:07.7,,,0.412454545
35:07.7,,,0.361818653
35:07.8,,,0.360854503
35:07.8,,,0.348113324
35:07.8,,,0.375686157
35:07.9,,,0.361818653
35:07.9,,,0.360833119
35:07.9,,,0.387352187
35:08.0,,,0.347222222
35:08.0,,,0.376856771
35:08.0,,,0.383398056
35:08.1,,,0.358734239
35:08.1,,,0.386307072
35:08.1,,,0.357586529
35:08.2,,,0.390562099
35:08.2,,,0.361980829
35:08.2,,,0.38695235
35:08.3,,,0.370915033
35:08.3,,,0.342880647
35:08.3,,,0.344286734
35:08.4,,,0.343137255
35:08.4,,,0.359230293
35:08.4,,,0.357843137
35:08.5,,,0.412809821
35:08.5,,,0.412809821
35:08.5,,,0.383238038
35:08.6,,,0.396728924
35:08.6,,,0.400326797
35:08.6,,,0.382048419
35:08.7,,,0.396373648
35:08.7,,,0.382048419
35:08.7,,,0.399971521
35:08.8,,,0.41140943
35:08.8,,,0.367647059
35:08.9,,,0.368557532
35:08.9,,,0.3960265
35:08.9,,,0.383263415
35:09.0,,,0.310023417
35:09.0,35:09.1,0.070525,0.266284743
35:09.1,,,0.266284743
35:09.1,,,0.308569761
35:09.1,,,0.330160852
35:09.2,,,0.343137255
35:09.2,,,0.355375369
35:09.2,,,0.36495923
35:09.3,,,0.362260591
35:09.3,,,0.359230293
35:09.3,,,0.348371702
35:09.4,,,0.368864155
35:09.4,,,0.350130752
35:09.4,,,0.334224435
35:09.5,,,0.349262804
35:09.5,,,0.335632293
35:09.5,,,0.389575046
35:09.6,,,0.386437908
35:09.6,,,0.389275671
35:09.7,,,0.358013197
35:09.7,,,0.345503831
35:09.7,,,0.357429163
35:09.8,,,0.357843137
35:09.8,,,0.347929764
35:09.8,,,0.384615152
35:09.9,,,0.348371702
35:09.9,,,0.347835332
35:09.9,,,0.333076726
35:10.0,,,0.348209275
35:10.0,,,0.348209275
35:10.0,,,0.375709061
35:10.0,,,0.375987053
35:10.1,,,0.389875942
35:10.1,,,0.389875942
35:10.1,,,0.371732026
35:10.2,,,0.389875942
35:10.2,,,0.357026144
35:10.2,,,0.391850048
35:10.3,,,0.402358965
35:10.3,,,0.372777141
35:10.3,,,0.39827592
35:10.4,,,0.344097743
35:10.4,,,0.358471626
35:10.4,,,0.387995662
35:10.5,,,0.344047728
35:10.5,,,0.352332132
35:10.5,,,0.354158273
35:10.6,,,0.354158273
35:10.6,,,0.35824324
35:10.6,,,0.385804641
35:10.7,,,0.35385375
35:10.7,,,0.35824324
35:10.7,,,0.400715457
35:10.8,,,0.342880647
35:10.8,,,0.35385375
35:10.8,,,0.35385375
35:10.9,,,0.396373648
35:10.9,,,0.361702837
35:10.9,,,0.383570037
35:11.0,,,0.383570037
35:11.0,,,0.381693143
35:11.0,,,0.412097465
35:11.1,,,0.383040976
35:11.1,,,0.359060233
35:11.1,,,0.382736454
35:11.2,,,0.354158273
35:11.2,,,0.368864155
35:11.2,,,0.368227633
35:11.3,,,0.368534256
35:11.3,,,0.354158273
35:11.3,,,0.354158273
35:11.4,,,0.35385165
35:11.4,,,0.279411765
35:11.4,35:11.5,0.067555,0.354158273
35:11.5,,,0.354158273
35:11.6,,,0.339173245
35:11.6,,,0.352332132
35:11.6,,,0.354158273
35:11.7,,,0.367647059
35:11.7,,,0.368864155
35:11.7,,,0.386307072
35:11.7,,,0.412809821
35:11.8,,,0.386307072
35:11.8,,,0.383398056
35:11.8,,,0.35385375
35:11.9,,,0.397774039
35:11.9,,,0.368387651
35:12.0,,,0.369602647
35:12.0,,,0.384111468
35:12.0,,,0.412452741
35:12.1,,,0.35824324
35:12.1,,,0.372777141
35:12.1,,,0.372777141
35:12.2,,,0.386437908
35:12.2,,,0.35824324
35:12.2,,,0.400657679
35:12.3,,,0.369602647
35:12.3,,,0.348209275
35:12.3,,,0.352332132
35:12.4,,,0.348209275
35:12.4,,,0.358888252
35:12.4,,,0.362260591
35:12.5,,,0.373926621
35:12.5,,,0.357026144
35:12.5,,,0.387232112
35:12.6,,,0.372777141
35:12.6,,,0.40170099
35:12.6,,,0.383066353
35:12.7,,,0.39741696
35:12.7,,,0.382352941
35:12.7,,,0.371402127
35:12.8,,,0.373594918
35:12.8,,,0.372719079
35:12.8,,,0.373926621
35:12.9,,,0.349521181
35:12.9,,,0.348371702
35:12.9,,,0.345503831
35:13.0,,,0.335373915
35:13.0,,,0.344354351
35:13.1,,,0.326202677
35:13.1,,,0.328431373
35:13.1,,,0.354158273
35:13.2,,,0.354158273
35:13.2,35:13.3,0.106549,0.280968373
35:13.3,,,0.280968373
35:13.3,,,0.33945239
35:13.4,,,0.344354351
35:13.4,,,0.354158273
35:13.5,,,0.383398056
35:13.5,,,0.402358965
35:13.5,,,0.400657679
35:13.6,,,0.359706029
35:13.6,,,0.335632293
35:13.6,,,0.361111111
35:13.7,,,0.375987053
35:13.7,,,0.373594918
35:13.7,,,0.375987053
35:13.8,,,0.375687677
35:13.8,,,0.40170099
35:13.9,,,0.383398056
35:13.9,,,0.367647059
35:13.9,,,0.334482813
35:13.9,,,0.368692174
35:14.0,,,0.367647059
35:14.0,,,0.344354351
35:14.0,,,0.376974106
35:14.1,,,0.344354351
35:14.1,,,0.35824324
35:14.1,,,0.343137255
35:14.2,,,0.397746859
35:14.2,,,0.367647059
35:14.2,,,0.368692174
35:14.3,,,0.382352941
35:14.3,,,0.36990927
35:14.3,,,0.371732026
35:14.4,,,0.390563619
35:14.4,,,0.362260591
35:14.4,,,0.361111111
35:14.5,,,0.413140776
35:14.5,,,0.375987053
35:14.5,,,0.389875942
35:14.6,,,0.412097465
35:14.6,,,0.412097465
35:14.6,,,0.413140776
35:14.7,,,0.377136533
35:14.7,,,0.412097465
35:14.7,,,0.375987053
35:14.8,,,0.397748662
35:14.8,,,0.389875942
35:14.8,,,0.375687677
35:14.9,,,0.347929764
35:14.9,,,0.368864155
35:14.9,,,0.328431373
35:15.0,35:15.0,0.06393,0.257352941
35:15.0,,,0.257352941
35:15.1,,,0.294117647
35:15.1,,,0.317373924
35:15.1,,,0.340669486
35:15.2,,,0.370081251
35:15.2,,,0.368864155
35:15.2,,,0.383570037
35:15.2,,,0.398103938
35:15.3,,,0.334482813
35:15.3,,,0.368534256
35:15.3,,,0.398817351
35:15.4,,,0.387205032
35:15.4,,,0.386847952
35:15.4,,,0.346965614
35:15.5,,,0.400715457
35:15.5,,,0.399672146
35:15.5,,,0.411054154
35:15.6,,,0.400326797
35:15.6,,,0.387483023
35:15.6,,,0.389875942
35:15.7,,,0.398103938
35:15.7,,,0.400326797
35:15.7,,,0.397058824
35:15.8,,,0.383398056
35:15.8,,,0.372719079
35:15.8,,,0.411764706
35:15.9,,,0.41140943
35:15.9,,,0.362098164
35:15.9,,,0.382352941
35:16.0,,,0.372719079
35:16.0,,,0.385620915
35:16.0,,,0.412809821
35:16.1,,,0.397772236
35:16.1,,,0.399672146
35:16.1,,,0.411764706
35:16.2,,,0.372777141
35:16.2,,,0.397058824
35:16.2,,,0.334224435
35:16.3,,,0.397058824
35:16.3,,,0.397058824
35:16.3,,,0.387424961
35:16.4,,,0.357026144
35:16.4,,,0.387232112
35:16.4,,,0.357026144
35:16.5,,,0.333333333
35:16.5,,,0.335632293
