Timestamp,EAR,Normalized EAR,EAR 0/1,Transition Count
22:20.9,0.268725529,65.79990480306407,1,0
22:20.9,0.263548793,63.74998298244488,1,0
22:21.0,0.222888049,47.64884389244481,0,0
22:21.0,0.245573816,56.632119993598614,1,1
22:21.0,0.284694264,72.1233213968763,1,0
22:21.1,0.279837136,70.19996029197539,1,0
22:21.1,0.282576199,71.2845945116363,1,0
22:21.1,0.249167465,58.05515943403877,1,0
22:21.2,0.256301217,60.88003477782408,1,0
22:21.2,0.255235629,60.45807544032068,1,0
22:21.2,0.259606665,62.18895027633936,1,0
22:21.3,0.231052476,50.88185346839236,1,0
22:21.3,0.249654457,58.24800209150999,1,0
22:21.3,0.255700023,60.641969576309954,1,0
22:21.4,0.277234961,69.16953198472353,1,0
22:21.4,0.271853233,67.0384359311799,1,0
22:21.4,0.257477325,61.34575863405408,1,0
22:21.5,0.262253063,63.23689033089167,1,0
22:21.5,0.244992921,56.402092938715285,1,0
22:21.5,0.249836322,58.32001832565964,1,0
22:21.6,0.231632378,51.111487307865865,1,0
22:21.6,0.270285972,66.4178204463444,1,0
22:21.6,0.223520532,47.89929914124843,0,0
22:21.7,0.206758203,41.261629385344754,0,0
22:21.7,0.263157895,63.59519233060625,1,1
22:21.7,0.25276416,59.47940505185893,1,0
22:21.8,0.225,48.485149711203675,1,0
22:21.8,0.256578947,60.9900123365098,1,0
22:21.8,0.257725878,61.444182470672445,1,0
22:21.9,0.249818135,58.31281650425101,1,0
22:21.9,0.256397083,60.917996498347485,1,0
22:21.9,0.243938585,55.98458925054879,1,0
22:22.0,0.218296287,45.83056435899168,0,0
22:22.0,0.211413361,43.10501293100557,0,0
22:22.0,0.171039135,27.117331336268958,0,0
22:22.1,0.192406132,35.57839123799172,0,0
22:22.1,0.213470477,43.91960478501258,0,0
22:22.1,0.197799679,37.71416746568328,0,0
22:22.2,0.178270289,29.980776637102856,0,0
22:22.2,0.195878499,36.953404544155674,0,0
22:22.2,0.195824166,36.931889365039,0,0
22:22.3,0.189643558,34.484446960424684,0,0
22:22.3,0.252440298,59.35115980607677,1,1
22:22.3,0.195399462,36.763711965823695,0,0
22:22.3,0.213470477,43.91960478501258,0,0
22:22.4,0.219530176,46.31916875862148,0,0
22:22.4,0.215088049,44.56014278795935,0,0
22:22.5,0.185900247,33.00214326553589,0,0
22:22.5,0.230409302,50.627164719138996,1,1
22:22.5,0.200975734,38.97184497676104,0,0
22:22.6,0.250960241,58.76507599958939,1,1
22:22.6,0.251453894,58.96055632860641,1,0
22:22.6,0.215450955,44.70384896270607,0,0
22:22.7,0.258816645,61.87611237293351,1,1
22:22.7,0.221237344,46.995185641588435,0,0
22:22.7,0.213319471,43.85980832360439,0,0
22:22.8,0.202216566,39.463198716361156,0,0
22:22.8,0.187303787,33.55792731017558,0,0
22:22.8,0.213446628,43.91016088339196,0,0
22:22.8,0.214789575,44.44195086828497,0,0
22:22.9,0.219013838,46.11470545722561,0,0
22:22.9,0.199865748,38.532304594176004,0,0
22:22.9,0.212130869,43.38913700178469,0,0
22:23.0,0.178623832,30.120775182562237,0,0
22:23.0,0.219093369,46.146198724859055,0,0
22:23.0,0.206293246,41.07751230849371,0,0
22:23.1,0.175208075,28.768178718645053,0,0
22:23.1,0.19097292,35.010857457560704,0,0
22:23.1,0.20364464,40.02869791393641,0,0
22:23.2,0.192544957,35.633364177841734,0,0
22:23.2,0.197266631,37.50308721615203,0,0
22:23.2,0.188530088,34.04352695801297,0,0
22:23.3,0.168788749,26.22620701271528,0,0
22:23.3,0.149725808,18.67752407406898,0,0
22:23.3,0.188530088,34.04352695801297,0,0
22:23.4,0.168274318,26.02249885914073,0,0
22:23.4,0.206610472,41.20312978241312,0,0
