Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
43:29.3,,,0.302301559
43:29.3,,,0.252866932
43:29.3,,,0.257072756
43:29.4,,,0.273717327
43:30.4,,,0.253316534
43:30.4,,,0.276021002
43:30.7,,,0.272234311
43:30.8,,,0.315649189
43:30.9,,,0.283898584
43:31.0,,,0.306809449
43:31.0,,,0.295445603
43:31.1,,,0.260134697
43:31.1,,,0.306195261
43:31.2,,,0.25983484
43:31.2,,,0.265129947
43:31.3,,,0.266674114
43:31.3,,,0.251640183
43:31.4,,,0.301928973
43:31.5,,,0.257192391
43:31.5,43:31.5,0.034998,0.284176186
43:31.5,,,0.284176186
43:31.6,,,0.265374603
43:31.6,,,0.282239485
43:31.7,,,0.283345232
43:31.9,43:32.0,0.067796,0.284517516
43:32.0,,,0.284517516
43:32.0,,,0.265100747
43:32.1,,,0.268564693
43:32.1,,,0.273015013
43:32.1,,,0.276571097
43:32.2,,,0.266783333
43:32.2,,,0.307319313
43:32.2,,,0.268535493
43:32.3,,,0.268911106
43:32.3,,,0.287884175
43:32.3,,,0.284130065
43:32.4,,,0.266991326
43:32.4,,,0.296671079
43:32.4,,,0.282585898
43:32.5,,,0.312524366
43:32.5,,,0.281683601
43:32.5,,,0.273736559
43:32.6,,,0.261444275
43:32.6,,,0.296942896
43:32.6,,,0.314917018
43:32.7,,,0.266991326
43:32.7,,,0.289035329
43:32.7,,,0.258764732
43:32.8,,,0.266644914
43:32.8,,,0.281014718
43:32.8,,,0.284977455
43:32.9,,,0.253345734
43:32.9,,,0.300772301
43:32.9,,,0.300393741
43:33.0,,,0.292988871
43:33.0,,,0.268564693
43:33.0,,,0.29893763
43:33.1,,,0.269747389
43:33.1,,,0.257512579
43:33.2,,,0.258961521
43:33.2,,,0.261691449
43:33.2,43:33.3,0.03253,0.258764732
43:33.3,,,0.258764732
43:33.3,,,0.262793614
43:33.3,43:33.4,0.031998,0.261603058
43:33.4,,,0.261603058
43:33.4,43:33.5,0.07655,0.278012572
43:33.5,,,0.278012572
43:33.5,,,0.264827376
43:33.5,,,0.255236314
43:33.6,,,0.256448209
43:33.6,43:33.6,0.031994,0.268812363
43:33.6,,,0.268812363
43:33.7,,,0.261603058
43:33.7,,,0.276092793
43:33.7,,,0.289804962
43:33.8,,,0.284251836
43:33.8,43:34.6,0.743296,0.261444275
43:34.6,,,0.261444275
43:34.6,,,0.26071133
43:34.6,,,0.255205125
43:34.7,,,0.260987817
43:34.7,,,0.267446583
43:34.7,,,0.309751344
43:34.8,,,0.323162273
43:34.8,,,0.290713639
43:34.8,,,0.276663234
43:34.8,,,0.321543996
43:34.9,,,0.260135062
43:34.9,,,0.274427657
43:34.9,,,0.284090837
43:35.0,,,0.300009194
43:35.0,,,0.289886372
43:35.1,,,0.276753107
43:35.1,,,0.285407871
43:35.1,,,0.276318237
43:35.2,,,0.271917917
43:35.2,,,0.312374063
43:35.2,,,0.266050387
43:35.3,,,0.293700928
43:35.3,,,0.289785035
43:35.3,,,0.279313426
43:35.4,,,0.298062888
43:35.4,,,0.288800766
43:35.4,,,0.30803137
43:35.5,,,0.259440179
43:35.5,,,0.291305715
43:35.6,,,0.272691742
43:35.6,,,0.253193208
43:35.6,,,0.273074065
43:35.7,,,0.28767922
43:35.7,,,0.281166737
43:35.7,,,0.260571985
43:35.8,,,0.292804459
43:35.8,,,0.272906977
43:35.8,,,0.30555909
43:35.9,,,0.296322712
43:35.9,,,0.281766437
43:36.0,,,0.311658558
43:36.0,,,0.313157301
43:36.0,,,0.301071534
43:36.1,,,0.305611638
43:36.1,,,0.289785035
43:36.1,,,0.299895226
43:36.2,,,0.307057833
43:36.2,,,0.288025054
43:36.2,,,0.309823479
43:36.3,,,0.307057833
43:36.3,,,0.288287799
43:36.3,,,0.30330213
43:36.4,,,0.27549244
43:36.4,,,0.304112894
43:36.5,,,0.291964109
43:36.5,,,0.286475113
43:36.5,,,0.292695348
43:36.6,,,0.291241692
43:36.6,,,0.319395788
43:36.6,,,0.293765062
43:36.7,,,0.320666803
43:36.7,,,0.304165442
43:36.8,,,0.304076406
43:36.8,,,0.284048693
43:36.8,,,0.304165442
43:36.9,,,0.272472974
43:36.9,,,0.290807061
43:37.0,,,0.293060178
43:37.0,,,0.286606267
43:37.0,,,0.270455273
43:37.1,,,0.304165442
