Blink Start Time,Blink End Time,Blink Duration (seconds),EAR
16:48.5,16:48.6,0.12689,0.278929604
16:48.6,,,0.278929604
16:51.3,,,0.31145421
16:51.4,,,0.288298657
16:51.7,,,0.339145768
16:51.7,,,0.354762123
16:52.9,,,0.355068746
16:53.7,,,0.339105283
16:53.9,,,0.288700366
16:54.0,,,0.308544384
16:54.0,,,0.310279699
16:54.1,,,0.339145768
16:54.1,,,0.309744272
16:54.2,,,0.333025847
16:54.2,,,0.309744272
16:54.3,,,0.334570014
16:54.4,,,0.322971121
16:54.6,,,0.339145768
16:56.9,,,0.353547127
16:58.1,,,0.366174226
16:59.1,,,0.364591571
16:59.3,,,0.340390341
17:00.9,,,0.337522425
17:01.8,,,0.266516259
17:01.8,17:01.9,0.102065,0.279157996
17:01.9,,,0.279157996
17:02.2,,,0.338866622
17:09.4,,,0.383398099
17:10.4,,,0.384455134
17:10.6,,,0.384455134
17:10.8,,,0.383066353
17:10.8,,,0.352636654
17:10.9,,,0.304294937
17:10.9,,,0.333025847
17:10.9,,,0.324424777
17:11.0,,,0.36451592
17:11.0,,,0.363666066
17:11.1,,,0.379291066
17:11.1,,,0.356721621
17:11.8,,,0.352332132
17:11.8,,,0.308544384
17:11.9,,,0.323250266
17:11.9,,,0.337930772
17:11.9,,,0.339386941
17:12.0,,,0.368227633
17:12.3,,,0.387192169
17:12.4,,,0.367317202
17:12.8,,,0.382048419
17:12.9,,,0.368557532
17:12.9,,,0.367342536
17:12.9,,,0.367342536
17:13.1,,,0.363605447
17:13.2,,,0.367647102
17:13.4,,,0.366108443
17:13.4,,,0.367317202
17:13.4,,,0.367317202
17:13.5,,,0.367317202
17:13.5,,,0.352332132
17:13.8,,,0.35385165
17:14.1,,,0.353547127
17:14.2,,,0.363666066
17:14.4,,,0.367342536
17:14.4,,,0.253183099
17:14.5,17:14.6,0.092534,0.272475693
17:14.6,,,0.272475693
17:14.6,,,0.308290615
17:14.7,,,0.363970631
17:14.7,,,0.363605447
17:14.7,,,0.374634858
17:14.8,,,0.378511751
17:14.8,,,0.364591571
17:14.9,,,0.370682769
17:15.0,,,0.348041066
17:15.0,,,0.35385165
17:15.4,,,0.393905901
17:15.5,,,0.363970631
17:15.6,,,0.352636697
17:15.7,,,0.368557532
17:15.7,,,0.379291066
17:15.9,,,0.35385165
17:15.9,,,0.359951335
17:16.1,,,0.383066353
17:16.1,,,0.367317202
17:16.2,,,0.35173246
17:16.3,,,0.372439568
17:16.3,,,0.378386871
17:16.3,,,0.35173246
17:16.6,,,0.380110492
17:16.7,,,0.367317202
17:16.7,,,0.354158315
17:16.8,,,0.367012637
17:16.9,,,0.353547127
17:16.9,,,0.36451592
17:17.0,,,0.324424777
17:17.0,,,0.282622067
17:17.0,,,0.297841026
17:17.1,,,0.289523921
17:17.1,,,0.323224889
17:17.1,,,0.309744272
17:17.2,,,0.33539357
17:17.2,,,0.380110492
17:17.6,,,0.357586529
17:17.8,,,0.394794633
17:17.9,,,0.396131062
17:18.3,,,0.280702288
17:18.3,,,0.264249099
17:18.4,,,0.309744272
17:18.4,,,0.308290615
17:18.4,,,0.339105283
17:18.5,,,0.35385165
17:19.1,,,0.367317202
17:19.2,,,0.368227633
17:19.8,17:19.8,0.031557,0.271805055
17:19.8,,,0.271805055
17:19.9,,,0.309744272
17:19.9,,,0.324424777
17:20.0,,,0.349835415
17:21.1,,,0.367317202
17:21.7,,,0.272475693
17:21.8,,,0.307549042
17:21.8,,,0.305658083
17:21.9,,,0.366174226
17:21.9,,,0.366096057
17:22.0,,,0.350803242
17:22.0,,,0.334949929
17:22.1,,,0.334240843
17:22.1,,,0.366174226
17:22.2,,,0.35385165
17:22.2,,,0.364881062
17:22.3,,,0.323351035
17:22.3,,,0.352941219
17:22.3,,,0.353547127
17:22.5,,,0.335187365
17:22.6,,,0.379200061
17:22.7,,,0.367317202
17:22.8,,,0.352636697
17:22.9,,,0.35385165
17:23.0,,,0.354158315
17:23.1,,,0.352332132
17:23.2,,,0.352636697
17:23.7,,,0.352636697
17:23.8,,,0.367317202
17:23.9,,,0.363970631
17:24.1,,,0.251680098
17:24.1,17:24.1,0.032905,0.304204427
17:24.1,,,0.304204427
17:24.2,,,0.29361011
17:25.0,,,0.368557532
17:25.0,,,0.367647102
17:25.1,,,0.367342536
17:25.9,,,0.35644363
17:26.0,,,0.369602647
17:26.0,,,0.363666066
17:26.1,,,0.35840434
17:26.1,,,0.367151754
17:26.3,,,0.352636697
17:26.4,,,0.353547127
17:26.4,,,0.380110492
17:26.6,,,0.309744272
17:26.7,17:26.7,0.033951,0.272293446
17:26.7,,,0.272293446
17:26.7,,,0.279157996
17:26.8,,,0.337930772
17:26.8,,,0.322971121
17:26.8,,,0.324424777
17:28.2,,,0.383066353
17:29.0,,,0.368557532
17:29.0,,,0.363605489
17:29.6,,,0.363605489
17:29.6,,,0.265107716
17:29.7,,,0.276202726
17:29.7,,,0.251607362
17:29.8,,,0.322142276
17:29.9,,,0.347537662
17:30.1,,,0.367317202
17:30.1,,,0.366108443
17:30.1,,,0.351427937
17:30.5,,,0.36239673
17:30.6,,,0.333199797
17:30.6,,,0.352636697
17:30.8,,,0.363970631
17:30.9,,,0.366108443
17:31.0,,,0.369519168
17:31.1,,,0.357966209
17:31.2,,,0.343723835
17:31.3,,,0.368557532
17:31.4,,,0.367317202
17:31.4,,,0.368360514
17:31.4,,,0.368227633
17:31.6,,,0.352636697
17:31.7,,,0.368227633
17:31.7,,,0.367317202
17:31.8,,,0.353547127
17:31.9,,,0.250699979
17:32.0,,,0.257795188
17:32.1,,,0.364896093
17:32.1,,,0.352636697
17:32.1,,,0.352636697
17:32.2,,,0.348010918
17:32.7,,,0.352636697
17:33.0,,,0.368557532
17:33.0,,,0.367317202
17:33.1,,,0.354762123
17:33.1,,,0.353547127
17:33.3,,,0.35840434
17:33.3,,,0.368227633
17:33.4,,,0.36451592
17:33.5,,,0.36451592
17:33.6,,,0.275849129
17:33.6,17:33.6,0.035983,0.257795188
17:33.6,,,0.257795188
17:33.7,,,0.288070265
17:33.7,,,0.308290615
17:33.8,,,0.308290615
17:33.8,,,0.323588471
17:33.8,,,0.337956191
17:33.9,,,0.347537662
17:33.9,,,0.35173246
17:34.0,,,0.35385375
17:34.0,,,0.352941219
17:34.0,,,0.352941219
17:34.1,,,0.367317202
17:34.1,,,0.353547127
17:34.2,,,0.352636697
17:34.3,,,0.368227633
17:34.3,,,0.366108443
17:34.3,,,0.367317202
17:34.4,,,0.353547127
