Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds),Timestamp (Current Time),X,Y,Result
0,0.0749,-0.270984674,0.1004,-0.195141762,0.6862,-1,1,0.0,2025-01-09 21:29:45.053300,-0.1354247772251296,0.579103735249143,X
2,0.0748,-0.27188659,0.101,-0.196371648,0.734,-1,1,0.1,2025-01-09 21:29:45.111100,-0.1267534207806462,0.5822696373846358,X
5,0.0752,-0.275494253,0.1019,-0.196617625,0.763,-1,1,0.2,2025-01-09 21:29:45.229900,-0.1117811357101198,0.6536262258387951,X
8,0.0792,-0.278937931,0.1051,-0.19751954,0.4733,-1,1,0.3,2025-01-09 21:29:45.319400,-0.107526624313772,0.6618092770273774,X
11,0.081,-0.285005364,0.1125,-0.196863602,0.5559,-1,1,0.4,2025-01-09 21:29:45.409600,-0.1710604224552691,0.5209948861067178,X
14,0.0781,-0.15996705,0.0944,-0.113477395,0.4042,-1,1,0.5,2025-01-09 21:29:45.528900,-0.1922967506688327,0.4308811133383634,X
17,0.087,-0.287547126,0.1169,-0.200717241,0.5738,-1,1,0.6,2025-01-09 21:29:45.621200,-0.0609429799529979,0.6333202674939057,X
20,0.0871,-0.285661303,0.1141,-0.201291188,0.4397,-1,1,0.7,2025-01-09 21:29:45.711900,0.034859048670387,0.7686184601984134,X
23,0.0864,-0.286481226,0.1143,-0.20030728,0.5263,-1,1,0.8,2025-01-09 21:29:45.830500,0.05933981396207,0.797840548849671,X
26,0.0848,-0.285005364,0.1123,-0.200635249,0.4089,-1,1,0.9,2025-01-09 21:29:45.921000,0.0633331092163672,0.8079924728324765,X
29,0.0825,-0.285087356,0.1148,-0.205308812,0.6592,-1,1,1.0,2025-01-09 21:29:46.013800,0.0634608558870576,0.8103113353691458,X
32,0.0812,-0.282217625,0.1054,-0.211376245,0.2786,-1,1,1.1,2025-01-09 21:29:46.104200,0.0589190473882295,0.8103466564539119,X
35,0.0813,-0.285415326,0.1076,-0.210884291,0.3706,-1,1,1.2,2025-01-09 21:29:46.225000,0.0567320306404377,0.8098400543544844,X
38,0.0815,-0.286727203,0.1123,-0.2129341,0.3429,-1,1,1.3,2025-01-09 21:29:46.313800,0.052389425640336,0.8094956182417186,X
41,0.0816,-0.290580843,0.1152,-0.214163985,0.2917,-1,1,1.4,2025-01-09 21:29:46.406200,0.0481104594345686,0.8049328671690628,X
44,0.0819,-0.292548659,0.1167,-0.212852107,0.4089,-1,1,1.5,2025-01-09 21:29:46.526000,0.0438924738916765,0.8021938170107898,X
47,0.0824,-0.292302682,0.1163,-0.205964751,0.3757,-1,1,1.6,2025-01-09 21:29:46.617800,0.0392759249906574,0.8062381922890961,X
50,0.0818,-0.293532567,0.117,-0.200389272,0.5089,-1,1,1.7,2025-01-09 21:29:46.707700,0.0358907163977002,0.8137768002895884,X
53,0.0817,-0.294106513,0.1162,-0.198667433,0.6405,-1,1,1.8,2025-01-09 21:29:46.829500,0.0305871186949512,0.8326211543752438,X
56,0.0819,-0.295418391,0.1187,-0.199077395,0.6547,-1,1,1.9,2025-01-09 21:29:46.918200,0.0298540998550536,0.8432642413669659,X
59,0.0827,-0.297878161,0.1191,-0.191452107,0.7238,-1,1,2.0,2025-01-09 21:29:47.010000,0.0297549671877125,0.8548124589239663,X
62,0.0867,-0.29468046,0.1235,-0.199241379,0.685,-1,1,2.1,2025-01-09 21:29:47.130000,0.0290752673376624,0.8629022091339213,X
65,0.0891,-0.29820613,0.1303,-0.195141762,0.5744,-1,1,2.2,2025-01-09 21:29:47.220800,0.0308535572835148,0.8664918532140131,X
68,0.0948,-0.297304215,0.1362,-0.200635249,0.286,-1,1,2.3,2025-01-09 21:29:47.312400,0.033721837488097,0.8670827594119861,X
71,0.0979,-0.298698084,0.1381,-0.203259004,0.3612,-1,1,2.4,2025-01-09 21:29:47.433000,0.0411322389128555,0.870859116521926,X
74,0.1009,-0.303289655,0.139,-0.211376245,0.6261,-1,1,2.5,2025-01-09 21:29:47.524100,0.048195050559224,0.8688589212563065,X
77,0.1038,-0.306651341,0.144,-0.213836015,0.6667,-1,1,2.6,2025-01-09 21:29:47.615100,0.0566485340405005,0.8634877838474013,X
80,0.1041,-0.30591341,0.1446,-0.215311877,0.5835,-1,1,2.7,2025-01-09 21:29:47.703700,0.0657898481268773,0.8586792291251,X
83,0.1041,-0.308455172,0.1434,-0.216787739,0.4092,-1,1,2.8,2025-01-09 21:29:47.825900,0.0768767580803287,0.8596901007994894,X
86,0.1035,-0.307717241,0.1422,-0.21645977,0.6236,-1,1,2.9,2025-01-09 21:29:47.917300,0.0854226507199627,0.8587173270247062,X
89,0.1016,-0.305667433,0.1411,-0.216951724,0.6089,-1,1,3.0,2025-01-09 21:29:48.007600,0.0886378952602389,0.8569178399357289,X
