Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds),Timestamp (Current Time),X,Y,Result
3,-0.1323,0.278382,-0.0964,0.35192,0.4776,-1,1,0.1,2025-01-09 21:43:13.988500,0.0545396104065015,0.0103178153420118,X
14,-0.083,-0.274896,0.5,0.410767,0.6988,-1,1,0.5,2025-01-09 21:43:14.375400,-0.1167343514857661,0.2680293217676882,O
47,0.4224,0.066068,0.4993,0.407862,0.7254,-1,1,1.6,2025-01-09 21:43:15.494700,0.3083745321281011,0.444063010548263,O
50,0.3261,-0.019339,0.4999,0.409107,0.87,-1,1,1.7,2025-01-09 21:43:15.583900,0.2786300488785406,0.4430673116794899,O
53,-0.1435,-0.265268,-0.0855,-0.245763,0.4468,-1,1,1.8,2025-01-09 21:43:15.676200,0.2533883692567383,0.4614228279398032,X
57,0.305,-0.043658,0.4986,0.41002,0.8044,-1,1,1.9,2025-01-09 21:43:15.797000,0.1594217814944827,0.3170453155094841,O
59,0.3492,-0.026228,0.4982,0.409024,0.6593,-1,1,2.0,2025-01-09 21:43:15.886800,0.2240423568731585,0.1091951143489703,O
62,0.3865,-0.002075,0.4982,0.409605,0.6438,-1,1,2.1,2025-01-09 21:43:15.977900,0.8891082917893628,-0.1937475813403207,X
72,0.3956,-0.035358,0.4981,0.410103,0.5632,-1,1,2.4,2025-01-09 21:43:16.279600,0.1038982379966243,0.3622353453444644,X
95,-0.1513,0.221527,-0.1162,0.308179,0.6259,-1,1,3.2,2025-01-09 21:43:17.094700,0.0648882053120722,-0.6799751310574449,X
109,-0.0634,0.086237,0.0746,0.173553,0.4742,-1,1,3.6,2025-01-09 21:43:17.486900,0.1380708177997349,-0.3641669651641033,X
110,-0.0623,0.073372,0.0608,0.171063,0.7377,-1,1,3.7,2025-01-09 21:43:17.579900,0.1944483978571711,-0.344677481593273,X
119,0.0877,-0.221444,0.4465,0.326688,0.4068,-1,1,4.0,2025-01-09 21:43:17.879600,0.3119975518480183,-0.4430349244769189,O
160,-0.2166,-0.281702,0.0334,0.101509,0.5293,-1,1,5.3,2025-01-09 21:43:19.180400,0.0349911449998201,0.3686930075199212,X
161,-0.2166,-0.281868,0.0333,0.101592,0.4913,-1,1,5.4,2025-01-09 21:43:19.299600,0.0257525606930774,0.5302315159037776,X
164,-0.2309,-0.292243,0.0281,0.099351,0.5864,-1,1,5.5,2025-01-09 21:43:19.391800,-0.0001352315679058,0.5741033035500253,X
189,0.326,-0.015936,0.4982,0.219286,0.4024,-1,1,6.3,2025-01-09 21:43:20.175300,0.3559690190144332,0.0229412119678743,O
191,0.2939,-0.045484,0.5,0.18343,0.6853,-1,1,6.4,2025-01-09 21:43:20.297900,0.5650621738814193,-0.0064349496116025,O
209,-0.4997,-0.075447,-0.3812,0.026145,0.657,-1,1,7.0,2025-01-09 21:43:20.902200,0.3054155752900346,0.0366964998015247,X
212,-0.5,-0.139689,-0.3525,-0.035939,0.8533,-1,1,7.1,2025-01-09 21:43:20.992200,0.2938411978448442,0.0702910253123982,X
215,-0.4968,-0.189572,-0.2805,-0.086486,0.7899,-1,1,7.2,2025-01-09 21:43:21.082400,0.2534647497428993,0.1132615075606127,X
218,-0.4478,-0.201441,-0.2327,-0.10126,0.6139,-1,1,7.3,2025-01-09 21:43:21.172400,0.1835848891232033,0.1688856836938465,X
275,-0.2362,0.207832,0.0399,0.409854,0.8761,-1,1,9.2,2025-01-09 21:43:23.164400,-0.1125489825075432,-0.2953985535930693,X
278,-0.2385,0.095699,0.0822,0.409273,0.9115,-1,1,9.3,2025-01-09 21:43:23.195200,-0.0418768358861702,-0.2045190943320179,X
281,-0.2156,0.038678,0.1149,0.40919,0.8878,-1,1,9.4,2025-01-09 21:43:23.286900,0.0066443401479859,-0.2316170791836652,X
284,-0.1972,-0.007055,0.1291,0.406783,0.8253,-1,1,9.5,2025-01-09 21:43:23.378000,0.0307914642072922,-0.1682523477953725,O
287,-0.224,-0.025398,0.1154,0.408028,0.868,-1,1,9.6,2025-01-09 21:43:23.498800,0.0620163984430309,-0.0605113357977132,O
290,-0.2576,-0.026228,0.0744,0.408443,0.8814,-1,1,9.7,2025-01-09 21:43:23.588600,0.077896680232349,0.0560578186305585,O
293,-0.2736,-0.024319,0.065,0.409024,0.8593,-1,1,9.8,2025-01-09 21:43:23.679000,0.0656825955050166,0.1225196247070621,O
296,-0.2671,-0.023074,0.0686,0.408858,0.8386,-1,1,9.9,2025-01-09 21:43:23.801100,0.0408386593948908,0.1370755407970797,O
299,-0.2371,-0.054199,0.0803,0.4067,0.8791,-1,1,10.0,2025-01-09 21:43:23.891000,0.0208835167762861,0.1581348625260137,O
319,0.2059,0.290915,0.3959,0.411016,0.5696,-1,1,10.6,2025-01-09 21:43:24.495000,0.1893152812500154,0.5992605475707109,O
320,0.199,0.301622,0.3972,0.411182,0.6627,-1,1,10.7,2025-01-09 21:43:24.586400,0.0449265463279128,0.599267329506292,O
390,-0.2843,-0.227171,0.0508,0.241862,0.4747,-1,1,13.0,2025-01-09 21:43:26.881700,0.7186306917338254,0.46724089822723,X
393,-0.0154,-0.322289,0.0913,-0.26477,0.5954,-1,1,13.1,2025-01-09 21:43:26.971800,0.5851011991736327,0.4432985895234876,X
395,-0.014,-0.330174,0.082,-0.27473,0.4722,-1,1,13.2,2025-01-09 21:43:27.094400,-0.3130640620202921,0.3651605187267237,X
425,-0.179,-0.035524,-0.0312,0.130642,0.4154,-1,1,14.2,2025-01-09 21:43:28.090000,0.0860043280066366,-0.1361535850972361,O
435,-0.125,0.011703,0.0121,0.204429,0.7908,-1,1,14.5,2025-01-09 21:43:28.392600,0.085547287722309,-0.2058159665033279,O
437,-0.1246,0.010541,0.0101,0.198951,0.7659,-1,1,14.6,2025-01-09 21:43:28.482400,-0.0376230392706707,-0.1656789492594955,O
440,-0.1234,0.008715,0.0113,0.198121,0.7008,-1,1,14.7,2025-01-09 21:43:28.573500,-0.1026666067993876,-0.1212553335079103,O
447,-0.084,0.008715,0.0118,0.16849,0.82,-1,1,14.9,2025-01-09 21:43:28.784300,-0.1529760306105154,-0.0830697144223809,O
449,-0.0933,0.01079,0.0091,0.18509,0.8806,-1,1,15.0,2025-01-09 21:43:28.875500,-0.1448558405307997,-0.0729363954095428,O
476,-0.0128,-0.007968,0.0288,0.114623,0.4159,-1,1,15.9,2025-01-09 21:43:29.783100,-0.2135629873087444,-0.2662648808123262,X
479,-0.0115,-0.010624,0.0307,0.107236,0.5966,-1,1,16.0,2025-01-09 21:43:29.872800,-0.2042460591562723,-0.237548504680089,O
482,-0.0118,-0.020252,0.0316,0.096529,0.4333,-1,1,16.1,2025-01-09 21:43:29.993500,-0.0480077699333601,0.1945262305891317,O
485,-0.0122,-0.085241,0.0367,0.076194,0.7535,-1,1,16.2,2025-01-09 21:43:30.084500,-0.0222612169548774,0.3057591228106115,O
489,-0.029,-0.16766,0.0407,0.066732,0.6668,-1,1,16.3,2025-01-09 21:43:30.174600,-0.0060957095540059,0.3356246079626016,X
493,-0.2918,-0.197208,-0.2347,-0.044073,0.4858,-1,1,16.4,2025-01-09 21:43:30.295100,-0.0167690126521542,0.338612396603164,X
497,-0.4999,-0.096114,-0.4222,-0.018426,0.6429,-1,1,16.6,2025-01-09 21:43:30.477300,-0.0401969953805546,0.3570240645219513,X
509,-0.0744,-0.064989,-0.0397,0.002075,0.6539,-1,1,17.0,2025-01-09 21:43:30.899000,-0.1827021228970307,0.5425201063628953,X
