Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds),Timestamp (Current Time),X,Y,Result
0,-0.2552,-0.304577778,0.1745,0.307861635,0.8442,-1,1,0.0,2025-01-14 13:37:10.530500,-0.7221727505719854,0.4845687229790051,X
2,-0.2578,-0.301667086,0.1724,0.314503983,0.8843,-1,1,0.1,,,,X
5,-0.2595,-0.295472537,0.1719,0.325773585,0.8489,-1,1,0.2,2025-01-14 13:37:10.710300,-0.4236582823469189,0.1897108802082966,O
8,-0.2553,-0.284949266,0.1742,0.33331153,0.8394,-1,1,0.3,2025-01-14 13:37:10.803500,-0.0779797742602022,0.2979190816292717,O
11,-0.2545,-0.279277149,0.1766,0.356298532,0.9041,-1,1,0.4,2025-01-14 13:37:10.895000,0.0552957207410996,0.3435914028036096,O
14,-0.251,-0.279724948,0.1786,0.345700629,0.8583,-1,1,0.5,2025-01-14 13:37:10.986100,0.0915290912110542,0.3508718077937389,O
17,-0.2519,-0.288904822,0.1751,0.327191614,0.8415,-1,1,0.6,2025-01-14 13:37:11.106100,0.2064505847442907,0.2803943942303655,O
20,-0.2531,-0.302338784,0.1733,0.310249895,0.7744,-1,1,0.7,2025-01-14 13:37:11.197200,0.2410464593601835,0.2657986363728674,O
23,-0.2599,-0.304503145,0.17,0.306368973,0.7524,-1,1,0.8,2025-01-14 13:37:11.286500,0.2462422019844982,0.2600088141148897,O
26,-0.4885,-0.291442348,0.1702,0.344655765,0.3426,-1,1,0.9,2025-01-14 13:37:11.407700,0.2467364566540308,0.2554172579031113,O
29,-0.4934,-0.286591195,0.1737,0.358537526,0.2504,-1,1,1.0,2025-01-14 13:37:11.498900,0.2358030167268484,0.2658290298724879,O
33,-0.2508,-0.287859958,0.1749,0.363388679,0.2565,-1,1,1.1,2025-01-14 13:37:11.588500,0.198899276358561,0.3115972718162703,O
35,-0.4943,-0.286740461,0.1756,0.365478407,0.5038,-1,1,1.2,2025-01-14 13:37:11.710900,0.1716530328675368,0.3365436428579759,O
38,-0.4932,-0.299054927,0.1742,0.343312369,0.6741,-1,1,1.3,2025-01-14 13:37:11.801600,0.1608111978370716,0.3544356547538243,O
41,-0.4932,-0.297039832,0.1711,0.349506918,0.498,-1,1,1.4,2025-01-14 13:37:11.979900,0.2508034767520435,0.1430190476619798,O
44,-0.4919,-0.297338365,0.168,0.353462474,0.7621,-1,1,1.5,2025-01-14 13:37:12.010100,0.2552460764987632,0.1506097916609251,O
47,-0.4917,-0.329878407,0.1689,0.355552201,0.801,-1,1,1.6,2025-01-14 13:37:12.103100,0.2238774329500298,0.1972093004666515,O
50,-0.4916,-0.287785325,0.1705,0.358910692,0.4248,-1,1,1.7,2025-01-14 13:37:12.193200,0.1689733670680528,0.3076847826021286,O
54,-0.4918,-0.302040252,0.1687,0.304950943,0.4462,-1,1,1.8,2025-01-14 13:37:12.284500,0.1636663862670607,0.318213574192368,O
56,-0.4929,-0.29554717,0.1691,0.308607966,0.6435,-1,1,1.9,2025-01-14 13:37:12.405100,0.1650891483137152,0.3236816157295932,O
359,-0.4974,-0.251513627,0.1187,0.37152369,0.8458,-1,1,12.0,,,,X
375,-0.0557,-0.021643606,0.0293,0.059407966,0.2958,-1,9,12.5,2025-01-14 13:37:23.007400,0.1732741907312227,0.2021492944502257,O
377,-0.1562,-0.015449057,0.1061,0.358089727,0.7258,-1,9,12.6,2025-01-14 13:37:23.098400,0.2337396669999109,0.1530576302113987,O
380,-0.4995,0.105008805,-0.418,0.371896855,0.281,-1,9,12.7,2025-01-14 13:37:23.188300,0.281171151456563,0.1247099244860952,X
383,-0.2273,-0.261365199,-0.0203,-0.171357652,0.8213,-1,9,12.8,2025-01-14 13:37:23.308500,0.3065980904904519,0.1129712132197407,X
386,-0.1209,-0.008955975,0.1458,0.369060797,0.9046,-1,9,12.9,2025-01-14 13:37:23.399800,0.3208909659982191,0.1080782436498148,O
389,-0.1015,-0.003507757,0.1569,0.347790356,0.787,-1,9,13.0,2025-01-14 13:37:23.491300,0.3358625327028069,0.1010515918502478,O
392,-0.1138,-0.247781971,0.0508,-0.145236059,0.7622,-1,9,13.1,2025-01-14 13:37:23.581900,0.3493963285628017,0.1021886247540924,X
396,-0.3209,0.139489308,-0.0845,0.373165618,0.7397,-1,9,13.2,2025-01-14 13:37:23.702300,0.3665523953466911,0.1122203153218695,X
398,-0.3132,0.139265409,-0.0715,0.373090985,0.6229,-1,9,13.3,2025-01-14 13:37:23.791500,0.3752065180827978,0.1173260180114479,X
401,-0.4338,-0.321071698,0.1414,0.373165618,0.8566,-1,9,13.4,2025-01-14 13:37:23.882900,0.2191990494058752,0.0111978668410588,O
404,-0.4334,-0.317340042,0.1403,0.373165618,0.915,-1,9,13.5,2025-01-14 13:37:24.004400,-0.0400268995319511,-0.1387893135154084,O
407,-0.4374,-0.318310273,0.1352,0.373090985,0.8999,-1,9,13.6,2025-01-14 13:37:24.095900,-0.0674304169489757,-0.1630674922978737,O
658,-0.496,-0.358910692,0.3261,0.369807128,0.775,-1,29,21.9,2025-01-14 13:37:32.402700,-0.0404796557059288,0.0077729748715931,O
659,-0.496,-0.35838826,0.3257,0.369807128,0.7772,-1,29,22.0,2025-01-14 13:37:32.492300,-0.0318585966317017,0.0287336520499182,O
662,-0.4886,-0.169342558,0.3252,0.369807128,0.6577,-1,29,22.1,2025-01-14 13:37:32.582600,-0.0188398489954316,0.0615017855716292,O
665,-0.4918,-0.165387002,0.3199,0.370478826,0.7159,-1,29,22.2,,,,X
668,0.0794,-0.154863732,0.1255,-0.115532075,0.7749,-1,29,22.3,2025-01-14 13:37:32.852400,-0.0367811777489585,-0.0038086215204847,O
671,-0.1304,-0.058587002,-0.0936,-0.020374843,0.646,-1,29,22.4,2025-01-14 13:37:32.882700,-0.0102392816379471,0.0314475034319324,O
674,0.0338,-0.071797065,0.1008,0.010672537,0.5571,-1,29,22.5,2025-01-14 13:37:33.005400,-0.0105297655685298,0.0290981881523999,O
677,0.07,-0.127697275,0.1157,-0.087022222,0.8262,-1,29,22.6,2025-01-14 13:37:33.095100,0.0106420546379782,0.0361556517107565,O
680,0.0744,-0.114487212,0.1099,-0.080603774,0.7654,-1,29,22.7,2025-01-14 13:37:33.187800,0.0671031033112745,0.0165788175246314,O
683,-0.1698,0.010896436,-0.0612,0.24322935,0.8598,-1,29,22.8,2025-01-14 13:37:33.308000,0.11547352376738,-0.0083667169987359,O
686,-0.0424,0.319504403,-0.0152,0.372195388,0.7771,-1,29,22.9,2025-01-14 13:37:33.398000,0.1456041702305062,-0.0391117402142111,X
689,0.0548,-0.123368553,0.1098,-0.069856604,0.6871,-1,29,23.0,2025-01-14 13:37:33.489600,0.1805001792679071,-0.0962530995909008,O
692,-0.0161,-0.373165618,0.0522,-0.304801677,0.5622,-1,29,23.1,,,,X
695,0.0382,-0.155610063,0.1235,-0.077916981,0.7793,-1,29,23.2,2025-01-14 13:37:33.758100,0.0552576449160708,-0.5715016605586113,X
698,-0.0864,0.30368218,-0.0478,0.372046122,0.7558,-1,29,23.3,2025-01-14 13:37:33.789700,0.1708321319256724,-0.3925293986237137,X
755,-0.0639,0.136280084,0.002,0.369210063,0.4903,-1,29,25.2,2025-01-14 13:37:35.754700,0.2200519755780274,-0.0190086244575935,O
761,-0.0635,0.133667925,0.0092,0.365926205,0.4448,-1,29,25.4,2025-01-14 13:37:35.905900,0.219892112495925,0.0841469318435993,O
769,-0.0635,0.130234801,0.0093,0.368389099,0.2503,-1,29,25.6,2025-01-14 13:37:36.086500,0.1287574037576409,0.2186096145049303,O
770,-0.0636,0.129861635,0.0093,0.368314465,0.3325,-1,29,25.7,2025-01-14 13:37:36.207400,0.1113580116831861,0.2331185603482219,O
773,-0.0638,0.128742138,0.0099,0.3679413,0.2699,-1,29,25.8,2025-01-14 13:37:36.298300,0.1031809859575665,0.2225888392931622,O
797,-0.3478,-0.344581132,-0.0088,0.035376101,0.8981,-1,29,26.6,2025-01-14 13:37:37.085100,0.3994316733127442,-0.2536430954543176,X
800,-0.3476,-0.358761426,-0.0018,0.018807547,0.868,-1,29,26.7,2025-01-14 13:37:37.203700,0.3480171252599801,-0.2525161193598275,X
803,-0.3399,-0.35002935,0.0038,0.012463732,0.8628,-1,29,26.8,2025-01-14 13:37:37.294700,0.2382732931801836,-0.0278109351443151,O
806,-0.3457,-0.347715723,0.0103,0.012090566,0.9155,-1,29,26.9,2025-01-14 13:37:37.385500,0.2036864321505067,0.0789464925227574,O
809,-0.345,-0.359433124,0.0109,-7.46e-05,0.92,-1,29,27.0,2025-01-14 13:37:37.506000,0.2172890414106442,0.1380161939726156,O
812,-0.3346,-0.367642767,0.0158,-0.012165199,0.9235,-1,29,27.1,2025-01-14 13:37:37.597500,0.2591507651060125,0.1810465578687816,O
815,-0.3253,-0.371150524,0.0211,-0.00932914,0.9314,-1,29,27.2,2025-01-14 13:37:37.688000,0.2785840860635489,0.1997486355340254,X
818,-0.3302,-0.370180294,0.0262,-0.007687212,0.9197,-1,29,27.3,2025-01-14 13:37:37.808100,0.2906135683825549,0.2106361726609167,X
821,-0.3246,-0.366821803,0.0309,-0.004179455,0.8866,-1,29,27.4,2025-01-14 13:37:37.900000,0.299896883742945,0.2154904235148277,X
824,-0.3138,-0.369583229,0.0301,-0.00932914,0.9051,-1,29,27.5,2025-01-14 13:37:37.989600,0.3070287073028948,0.2141182546007693,X
827,-0.3143,-0.366299371,0.0328,-0.0119413,0.9096,-1,29,27.6,,,,X
830,-0.314,-0.364955975,0.0431,0.004254088,0.8984,-1,29,27.7,2025-01-14 13:37:38.227200,0.4404300602131097,-0.3309744755483135,X
833,-0.296,-0.3677174,0.0482,-0.007911111,0.8536,-1,29,27.8,2025-01-14 13:37:38.291600,0.4395424088885314,-0.1370813289618125,X
