Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds),Timestamp (Current Time),X,Y
0,-0.2552,-0.304577778,0.1745,0.307861635,0.8442,-1,1,0.0,2025-01-16 17:55:39.977900,0.8142181714843824,0.9517924547108292
2,-0.2578,-0.301667086,0.1724,0.314503983,0.8843,-1,1,0.1,2025-01-16 17:55:40.031600,0.8653778678138586,0.9396628185613703
5,-0.2595,-0.295472537,0.1719,0.325773585,0.8489,-1,1,0.2,2025-01-16 17:55:40.150300,0.7510087982863287,0.7961116880411689
8,-0.2553,-0.284949266,0.1742,0.33331153,0.8394,-1,1,0.3,2025-01-16 17:55:40.241300,0.565877247878692,0.5701352967181657
11,-0.2545,-0.279277149,0.1766,0.356298532,0.9041,-1,1,0.4,2025-01-16 17:55:40.332200,0.5287052100123345,0.493941709429417
14,-0.251,-0.279724948,0.1786,0.345700629,0.8583,-1,1,0.5,2025-01-16 17:55:40.453300,0.4906309144308637,0.4481917383680187
17,-0.2519,-0.288904822,0.1751,0.327191614,0.8415,-1,1,0.6,2025-01-16 17:55:40.543300,0.4165978125276778,0.4254927675046835
20,-0.2531,-0.302338784,0.1733,0.310249895,0.7744,-1,1,0.7,2025-01-16 17:55:40.634000,0.3906733906598768,0.4269820331173648
23,-0.2599,-0.304503145,0.17,0.306368973,0.7524,-1,1,0.8,2025-01-16 17:55:40.732400,0.3822606278801367,0.4351612652018837
26,-0.4885,-0.291442348,0.1702,0.344655765,0.3426,-1,1,0.9,2025-01-16 17:55:40.845100,0.3761016038397966,0.435981036833732
29,-0.4934,-0.286591195,0.1737,0.358537526,0.2504,-1,1,1.0,,,
33,-0.2508,-0.287859958,0.1749,0.363388679,0.2565,-1,1,1.1,,,
35,-0.4943,-0.286740461,0.1756,0.365478407,0.5038,-1,1,1.2,2025-01-16 17:55:41.204700,0.2496562964325509,-0.0076939587762624
38,-0.4932,-0.299054927,0.1742,0.343312369,0.6741,-1,1,1.3,2025-01-16 17:55:41.236700,0.3188912858397436,0.1028808839077792
41,-0.4932,-0.297039832,0.1711,0.349506918,0.498,-1,1,1.4,2025-01-16 17:55:41.329900,0.4026495483607277,0.1323673815271467
44,-0.4919,-0.297338365,0.168,0.353462474,0.7621,-1,1,1.5,2025-01-16 17:55:41.448800,0.3828162507888338,0.3081126598311196
47,-0.4917,-0.329878407,0.1689,0.355552201,0.801,-1,1,1.6,2025-01-16 17:55:41.539800,0.363978952245888,0.3702941202190539
50,-0.4916,-0.287785325,0.1705,0.358910692,0.4248,-1,1,1.7,2025-01-16 17:55:41.629700,0.3498556692932447,0.393307323059774
54,-0.4918,-0.302040252,0.1687,0.304950943,0.4462,-1,1,1.8,2025-01-16 17:55:41.751800,0.4094441505643778,0.3190535027809862
56,-0.4929,-0.29554717,0.1691,0.308607966,0.6435,-1,1,1.9,,,
359,-0.4974,-0.251513627,0.1187,0.37152369,0.8458,-1,1,12.0,,,
375,-0.0557,-0.021643606,0.0293,0.059407966,0.2958,-1,9,12.5,2025-01-16 17:55:52.444800,-0.082319398492264,-0.0289871331910489
377,-0.1562,-0.015449057,0.1061,0.358089727,0.7258,-1,9,12.6,2025-01-16 17:55:52.536100,0.0872359077648471,-0.0176932662391558
380,-0.4995,0.105008805,-0.418,0.371896855,0.281,-1,9,12.7,2025-01-16 17:55:52.657200,0.3101426798796354,0.0068135953281472
383,-0.2273,-0.261365199,-0.0203,-0.171357652,0.8213,-1,9,12.8,2025-01-16 17:55:52.745900,0.4385230716701052,0.0114499053843454
386,-0.1209,-0.008955975,0.1458,0.369060797,0.9046,-1,9,12.9,2025-01-16 17:55:52.836400,0.5514769845241276,0.0192799263581488
389,-0.1015,-0.003507757,0.1569,0.347790356,0.787,-1,9,13.0,2025-01-16 17:55:52.928600,0.6317394749805872,0.0080773201308932
392,-0.1138,-0.247781971,0.0508,-0.145236059,0.7622,-1,9,13.1,2025-01-16 17:55:53.049600,0.7165567168490241,0.0081278823852337
396,-0.3209,0.139489308,-0.0845,0.373165618,0.7397,-1,9,13.2,2025-01-16 17:55:53.139900,0.7293133327234282,0.0225519673255108
398,-0.3132,0.139265409,-0.0715,0.373090985,0.6229,-1,9,13.3,2025-01-16 17:55:53.230200,0.3559018965359172,-0.0622501338760017
401,-0.4338,-0.321071698,0.1414,0.373165618,0.8566,-1,9,13.4,2025-01-16 17:55:53.349800,0.0767355583981065,-0.1285114708555643
404,-0.4334,-0.317340042,0.1403,0.373165618,0.915,-1,9,13.5,2025-01-16 17:55:53.440200,0.0571817153299325,-0.067931093262451
407,-0.4374,-0.318310273,0.1352,0.373090985,0.8999,-1,9,13.6,2025-01-16 17:55:53.532600,0.022721428367957,-0.0440111682902054
658,-0.496,-0.358910692,0.3261,0.369807128,0.775,-1,29,21.9,2025-01-16 17:56:01.835600,-0.070438498766206,0.0639050115938835
659,-0.496,-0.35838826,0.3257,0.369807128,0.7772,-1,29,22.0,2025-01-16 17:56:01.928700,-0.0758129229819148,0.0592699448718083
662,-0.4886,-0.169342558,0.3252,0.369807128,0.6577,-1,29,22.1,2025-01-16 17:56:02.049900,-0.0841940303252469,0.0533580568942234
665,-0.4918,-0.165387002,0.3199,0.370478826,0.7159,-1,29,22.2,2025-01-16 17:56:02.136200,-0.0831234232437819,0.0518240312531096
668,0.0794,-0.154863732,0.1255,-0.115532075,0.7749,-1,29,22.3,2025-01-16 17:56:02.228900,-0.0638320791875908,0.0985409018175928
671,-0.1304,-0.058587002,-0.0936,-0.020374843,0.646,-1,29,22.4,2025-01-16 17:56:02.351100,0.0073969304921088,0.1439094428366983
674,0.0338,-0.071797065,0.1008,0.010672537,0.5571,-1,29,22.5,2025-01-16 17:56:02.442200,0.0246660599374688,0.1633011697991986
677,0.07,-0.127697275,0.1157,-0.087022222,0.8262,-1,29,22.6,2025-01-16 17:56:02.531800,0.038998700435447,0.1714058681474831
680,0.0744,-0.114487212,0.1099,-0.080603774,0.7654,-1,29,22.7,2025-01-16 17:56:02.653500,0.0259200274398967,0.1679641700945734
683,-0.1698,0.010896436,-0.0612,0.24322935,0.8598,-1,29,22.8,,,
686,-0.0424,0.319504403,-0.0152,0.372195388,0.7771,-1,29,22.9,,,
689,0.0548,-0.123368553,0.1098,-0.069856604,0.6871,-1,29,23.0,,,
692,-0.0161,-0.373165618,0.0522,-0.304801677,0.5622,-1,29,23.1,,,
695,0.0382,-0.155610063,0.1235,-0.077916981,0.7793,-1,29,23.2,,,
698,-0.0864,0.30368218,-0.0478,0.372046122,0.7558,-1,29,23.3,,,
755,-0.0639,0.136280084,0.002,0.369210063,0.4903,-1,29,25.2,,,
761,-0.0635,0.133667925,0.0092,0.365926205,0.4448,-1,29,25.4,2025-01-16 17:56:05.341200,0.2037656358265651,0.0596980662548716
769,-0.0635,0.130234801,0.0093,0.368389099,0.2503,-1,29,25.6,2025-01-16 17:56:05.552600,0.0774408057436338,0.033006252188527
770,-0.0636,0.129861635,0.0093,0.368314465,0.3325,-1,29,25.7,2025-01-16 17:56:05.642500,0.0583258221347528,0.0349175054025976
773,-0.0638,0.128742138,0.0099,0.3679413,0.2699,-1,29,25.8,2025-01-16 17:56:05.734800,0.024209117212906,0.1982867933339553
797,-0.3478,-0.344581132,-0.0088,0.035376101,0.8981,-1,29,26.6,,,
800,-0.3476,-0.358761426,-0.0018,0.018807547,0.868,-1,29,26.7,,,
803,-0.3399,-0.35002935,0.0038,0.012463732,0.8628,-1,29,26.8,,,
806,-0.3457,-0.347715723,0.0103,0.012090566,0.9155,-1,29,26.9,,,
809,-0.345,-0.359433124,0.0109,-7.46e-05,0.92,-1,29,27.0,,,
812,-0.3346,-0.367642767,0.0158,-0.012165199,0.9235,-1,29,27.1,,,
815,-0.3253,-0.371150524,0.0211,-0.00932914,0.9314,-1,29,27.2,,,
818,-0.3302,-0.370180294,0.0262,-0.007687212,0.9197,-1,29,27.3,,,
821,-0.3246,-0.366821803,0.0309,-0.004179455,0.8866,-1,29,27.4,,,
824,-0.3138,-0.369583229,0.0301,-0.00932914,0.9051,-1,29,27.5,,,
827,-0.3143,-0.366299371,0.0328,-0.0119413,0.9096,-1,29,27.6,,,
