Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds),Timestamp (Current Time),X,Y
0,0.0749,-0.270984674,0.1004,-0.195141762,0.6862,-1,1,0.0,2025-01-02 16:32:08.483400,0.1733282777037023,0.5190943522756568
2,0.0748,-0.27188659,0.101,-0.196371648,0.734,-1,1,0.1,2025-01-02 16:32:08.545300,0.2015566264516877,0.4821950392901633
5,0.0752,-0.275494253,0.1019,-0.196617625,0.763,-1,1,0.2,2025-01-02 16:32:08.634700,0.3476392097446088,0.4150004777193499
8,0.0792,-0.278937931,0.1051,-0.19751954,0.4733,-1,1,0.3,2025-01-02 16:32:08.788100,-0.2432234696265648,0.423544984036963
11,0.081,-0.285005364,0.1125,-0.196863602,0.5559,-1,1,0.4,2025-01-02 16:32:08.846800,-0.4688060461089846,0.4111636702546696
14,0.0781,-0.15996705,0.0944,-0.113477395,0.4042,-1,1,0.5,2025-01-02 16:32:08.938000,-0.4650261852374268,0.492971216057139
17,0.087,-0.287547126,0.1169,-0.200717241,0.5738,-1,1,0.6,2025-01-02 16:32:09.060700,-0.5182513291394114,0.395280222959733
20,0.0871,-0.285661303,0.1141,-0.201291188,0.4397,-1,1,0.7,2025-01-02 16:32:09.150800,-0.163757496358011,0.1610239959330762
23,0.0864,-0.286481226,0.1143,-0.20030728,0.5263,-1,1,0.8,,,
26,0.0848,-0.285005364,0.1123,-0.200635249,0.4089,-1,1,0.9,,,
29,0.0825,-0.285087356,0.1148,-0.205308812,0.6592,-1,1,1.0,,,
32,0.0812,-0.282217625,0.1054,-0.211376245,0.2786,-1,1,1.1,,,
35,0.0813,-0.285415326,0.1076,-0.210884291,0.3706,-1,1,1.2,2025-01-02 16:32:09.722300,0.5361421579096545,0.4630822993263258
38,0.0815,-0.286727203,0.1123,-0.2129341,0.3429,-1,1,1.3,2025-01-02 16:32:09.752500,0.5114593366467346,0.4896223132793362
41,0.0816,-0.290580843,0.1152,-0.214163985,0.2917,-1,1,1.4,2025-01-02 16:32:09.844600,0.4663687338417595,0.6131610779511791
44,0.0819,-0.292548659,0.1167,-0.212852107,0.4089,-1,1,1.5,2025-01-02 16:32:09.935200,0.3996259503174899,0.5522020157953849
47,0.0824,-0.292302682,0.1163,-0.205964751,0.3757,-1,1,1.6,2025-01-02 16:32:10.055400,0.3714110531244528,0.5506286065557519
50,0.0818,-0.293532567,0.117,-0.200389272,0.5089,-1,1,1.7,2025-01-02 16:32:10.147100,0.3713367567453781,0.5235754499124784
53,0.0817,-0.294106513,0.1162,-0.198667433,0.6405,-1,1,1.8,2025-01-02 16:32:10.236000,0.3699981184767861,0.5703336283776113
56,0.0819,-0.295418391,0.1187,-0.199077395,0.6547,-1,1,1.9,2025-01-02 16:32:10.359800,0.3695240554404795,0.604545544681181
59,0.0827,-0.297878161,0.1191,-0.191452107,0.7238,-1,1,2.0,2025-01-02 16:32:10.448000,0.3649286288779207,0.6232298695375499
62,0.0867,-0.29468046,0.1235,-0.199241379,0.685,-1,1,2.1,2025-01-02 16:32:10.540300,0.3592310090145622,0.6068999799898689
65,0.0891,-0.29820613,0.1303,-0.195141762,0.5744,-1,1,2.2,2025-01-02 16:32:10.658100,0.3603292919796211,0.6658433368966993
68,0.0948,-0.297304215,0.1362,-0.200635249,0.286,-1,1,2.3,2025-01-02 16:32:10.749200,0.3417206559118965,0.5799981612311821
71,0.0979,-0.298698084,0.1381,-0.203259004,0.3612,-1,1,2.4,2025-01-02 16:32:10.842500,0.3394046943971602,0.5258882425155802
74,0.1009,-0.303289655,0.139,-0.211376245,0.6261,-1,1,2.5,2025-01-02 16:32:10.961300,0.2761309000530568,0.3312731310807816
77,0.1038,-0.306651341,0.144,-0.213836015,0.6667,-1,1,2.6,2025-01-02 16:32:11.049100,0.1301696153748144,0.0313206055678642
80,0.1041,-0.30591341,0.1446,-0.215311877,0.5835,-1,1,2.7,2025-01-02 16:32:11.144400,0.1229286250979294,0.032065234830608
83,0.1041,-0.308455172,0.1434,-0.216787739,0.4092,-1,1,2.8,2025-01-02 16:32:11.264300,0.1171761953619377,0.0806862213120518
86,0.1035,-0.307717241,0.1422,-0.21645977,0.6236,-1,1,2.9,2025-01-02 16:32:11.354600,0.1985885512799148,0.0774664776220033
89,0.1016,-0.305667433,0.1411,-0.216951724,0.6089,-1,1,3.0,2025-01-02 16:32:11.444500,-0.4378029491882501,0.8030485705375157
97,-0.2592,0.22277318,-0.1804,0.287137165,0.541,-1,1,3.2,2025-01-02 16:32:11.655700,-1.0,0.8735803172417027
98,-0.2413,0.189648276,-0.171,0.256718008,0.2802,-1,1,3.3,2025-01-02 16:32:11.747400,-0.9346615483847676,0.8065617907445033
101,-0.2224,0.157589272,-0.1816,0.28976092,0.432,-1,1,3.4,2025-01-02 16:32:11.838800,-0.8467793595013436,0.934119076505402
104,-0.1611,-0.104868199,-0.1209,0.014266667,0.7486,-1,1,3.5,2025-01-02 16:32:11.959400,0.2108883820079978,0.2373400766874761
107,-0.2185,0.114543295,-0.1634,0.248682759,0.5484,-1,1,3.6,2025-01-02 16:32:12.049700,0.1944009727351189,0.2204186263675845
110,-0.0248,0.022875862,0.0274,0.199077395,0.3376,-1,1,3.7,2025-01-02 16:32:12.140900,0.2726809411734957,0.3445884312597912
