Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds),Timestamp (Current Time),X,Y,Result
0,0.0749,-0.270984674,0.1004,-0.195141762,0.6862,-1,1,0.0,2025-01-02 13:42:21.119900,-0.1804360020784318,0.3848233403719098,X
2,0.0748,-0.27188659,0.101,-0.196371648,0.734,-1,1,0.1,2025-01-02 13:42:21.172500,-0.317216389841044,0.3994002079282709,X
5,0.0752,-0.275494253,0.1019,-0.196617625,0.763,-1,1,0.2,2025-01-02 13:42:21.293800,-0.3899405551949081,0.445931992951189,X
8,0.0792,-0.278937931,0.1051,-0.19751954,0.4733,-1,1,0.3,2025-01-02 13:42:21.383900,-0.4049479909640588,0.4330018506039605,X
11,0.081,-0.285005364,0.1125,-0.196863602,0.5559,-1,1,0.4,2025-01-02 13:42:21.473400,-0.226416345185081,0.1706155216760457,X
14,0.0781,-0.15996705,0.0944,-0.113477395,0.4042,-1,1,0.5,2025-01-02 13:42:21.595500,0.0017855218200888,-0.1491199838230958,O
17,0.087,-0.287547126,0.1169,-0.200717241,0.5738,-1,1,0.6,2025-01-02 13:42:21.686600,0.0068233760183696,-0.1522774180263436,O
20,0.0871,-0.285661303,0.1141,-0.201291188,0.4397,-1,1,0.7,2025-01-02 13:42:21.777000,0.0024018292405592,-0.1426288422132504,O
23,0.0864,-0.286481226,0.1143,-0.20030728,0.5263,-1,1,0.8,2025-01-02 13:42:21.896800,0.2664928667612161,0.4639762285262976,X
26,0.0848,-0.285005364,0.1123,-0.200635249,0.4089,-1,1,0.9,2025-01-02 13:42:21.986900,0.3536797753970453,0.6657231462596465,X
29,0.0825,-0.285087356,0.1148,-0.205308812,0.6592,-1,1,1.0,2025-01-02 13:42:22.079000,0.3651897120379522,0.6949533987643934,X
32,0.0812,-0.282217625,0.1054,-0.211376245,0.2786,-1,1,1.1,2025-01-02 13:42:22.170400,0.348799595339792,0.7131373295297845,X
35,0.0813,-0.285415326,0.1076,-0.210884291,0.3706,-1,1,1.2,2025-01-02 13:42:22.289000,0.3419477993844645,0.7104736455680521,X
38,0.0815,-0.286727203,0.1123,-0.2129341,0.3429,-1,1,1.3,2025-01-02 13:42:22.381300,0.3403785006346936,0.7081744183645974,X
41,0.0816,-0.290580843,0.1152,-0.214163985,0.2917,-1,1,1.4,2025-01-02 13:42:22.472800,0.3392824999620977,0.7114246209729115,X
44,0.0819,-0.292548659,0.1167,-0.212852107,0.4089,-1,1,1.5,2025-01-02 13:42:22.592600,0.7770560694207269,0.2897462459895198,X
47,0.0824,-0.292302682,0.1163,-0.205964751,0.3757,-1,1,1.6,2025-01-02 13:42:22.683000,0.8938555324465544,0.202050644932304,X
50,0.0818,-0.293532567,0.117,-0.200389272,0.5089,-1,1,1.7,2025-01-02 13:42:22.773300,0.90312770916288,0.2486530583400779,X
53,0.0817,-0.294106513,0.1162,-0.198667433,0.6405,-1,1,1.8,2025-01-02 13:42:22.894500,0.664612354540781,0.5016743307573447,X
56,0.0819,-0.295418391,0.1187,-0.199077395,0.6547,-1,1,1.9,2025-01-02 13:42:22.984600,0.417565781403548,0.7219826182975818,X
59,0.0827,-0.297878161,0.1191,-0.191452107,0.7238,-1,1,2.0,2025-01-02 13:42:23.076800,0.3674784679696836,0.7473042904262475,X
62,0.0867,-0.29468046,0.1235,-0.199241379,0.685,-1,1,2.1,2025-01-02 13:42:23.196800,0.3551221354371254,0.7576575620410211,X
65,0.0891,-0.29820613,0.1303,-0.195141762,0.5744,-1,1,2.2,2025-01-02 13:42:23.286700,0.3503460147998684,0.7687921527192918,X
68,0.0948,-0.297304215,0.1362,-0.200635249,0.286,-1,1,2.3,2025-01-02 13:42:23.378300,0.3508497726542872,0.7729163104589294,X
71,0.0979,-0.298698084,0.1381,-0.203259004,0.3612,-1,1,2.4,2025-01-02 13:42:23.498600,0.3524662082539106,0.7729575996777321,X
74,0.1009,-0.303289655,0.139,-0.211376245,0.6261,-1,1,2.5,2025-01-02 13:42:23.619000,-0.3802620643459348,0.0513783452869149,X
77,0.1038,-0.306651341,0.144,-0.213836015,0.6667,-1,1,2.6,2025-01-02 13:42:23.680400,-0.5330149528562588,0.1878722977397327,X
80,0.1041,-0.30591341,0.1446,-0.215311877,0.5835,-1,1,2.7,2025-01-02 13:42:23.770400,-0.5893616816002271,0.4412519791034203,X
83,0.1041,-0.308455172,0.1434,-0.216787739,0.4092,-1,1,2.8,2025-01-02 13:42:23.891600,-0.6664125135931925,0.5354882158981489,X
86,0.1035,-0.307717241,0.1422,-0.21645977,0.6236,-1,1,2.9,2025-01-02 13:42:23.982200,-0.6813867330441722,0.563330383095135,X
89,0.1016,-0.305667433,0.1411,-0.216951724,0.6089,-1,1,3.0,2025-01-02 13:42:24.072900,-0.856556501508517,0.4401914813989421,X
97,-0.2592,0.22277318,-0.1804,0.287137165,0.541,-1,1,3.2,2025-01-02 13:42:24.284400,-0.9965460542184036,0.3546814483834475,X
98,-0.2413,0.189648276,-0.171,0.256718008,0.2802,-1,1,3.3,2025-01-02 13:42:24.374800,-0.9442372444514278,0.3439745531368424,X
101,-0.2224,0.157589272,-0.1816,0.28976092,0.432,-1,1,3.4,2025-01-02 13:42:24.495000,-0.4406009534875067,0.2374776151558957,O
104,-0.1611,-0.104868199,-0.1209,0.014266667,0.7486,-1,1,3.5,2025-01-02 13:42:24.586500,-0.3517204261060965,0.1946500818108814,O
107,-0.2185,0.114543295,-0.1634,0.248682759,0.5484,-1,1,3.6,2025-01-02 13:42:24.675500,0.0016006819682254,0.3672347481331184,O
110,-0.0248,0.022875862,0.0274,0.199077395,0.3376,-1,1,3.7,2025-01-02 13:42:24.797900,0.1828792345637154,0.5421217523779677,X
113,-0.2538,0.150619923,-0.1834,0.333462835,0.3988,-1,1,3.8,2025-01-02 13:42:24.889500,0.2144836792103062,0.596432426223312,X
116,-0.3295,0.100440613,-0.262,0.28803908,0.4502,-1,1,3.9,2025-01-02 13:42:24.978800,0.2248815721104216,0.6167255479158735,X
147,0.2192,-0.099128736,0.2442,-0.04419387,0.2848,-1,1,4.9,2025-01-02 13:42:25.975000,0.0620208477190313,0.7711374332821803,X
149,0.2165,-0.103884291,0.2426,-0.047227586,0.7005,-1,1,5.0,2025-01-02 13:42:26.095800,0.0455731606636097,0.8230430101322682,X
152,0.212,-0.104130268,0.2382,-0.047309579,0.709,-1,1,5.1,2025-01-02 13:42:26.186600,0.0283447109560098,0.847767576635172,X
155,0.2732,-0.13331954,0.3002,-0.056984674,0.3276,-1,1,5.2,2025-01-02 13:42:26.279500,0.0102392264043543,0.8593758022945157,X
158,0.1677,-0.116593103,0.204,-0.042963985,0.6469,-1,1,5.3,2025-01-02 13:42:26.398000,-0.028489539616317,0.8237290463831436,X
161,0.1692,-0.117904981,0.2074,-0.046735632,0.3019,-1,1,5.4,2025-01-02 13:42:26.489900,-0.0686575783512301,0.7892639296855188,X
165,0.2472,-0.101014559,0.2806,-0.009019157,0.4589,-1,1,5.5,2025-01-02 13:42:26.579900,-0.103372489997202,0.7790899750306094,X
167,0.2465,-0.096668966,0.2809,-0.014102682,0.4976,-1,1,5.6,2025-01-02 13:42:26.670500,-0.0240205941172659,0.7039290397133469,X
170,0.2454,-0.096422989,0.2834,-0.013774713,0.3551,-1,1,5.7,2025-01-02 13:42:26.791500,0.3669831175650924,0.3754832982463196,X
173,0.2451,-0.074449042,0.2795,-0.006067433,0.6676,-1,1,5.8,2025-01-02 13:42:26.882600,0.4100503482200328,0.3247539189026806,X
