Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds),Timestamp (Current Time),X,Y,Result
0,0.0749,-0.270984674,0.1004,-0.195141762,0.6862,-1,1,0.0,2025-01-03 18:05:37.273800,-0.2243369298327969,0.9905451699564688,X
2,0.0748,-0.27188659,0.101,-0.196371648,0.734,-1,1,0.1,2025-01-03 18:05:37.328700,-0.1539295265403948,0.9977726870757274,X
5,0.0752,-0.275494253,0.1019,-0.196617625,0.763,-1,1,0.2,2025-01-03 18:05:37.451200,0.1468095809532166,0.4233793076793629,X
8,0.0792,-0.278937931,0.1051,-0.19751954,0.4733,-1,1,0.3,2025-01-03 18:05:37.539900,0.221605727613646,0.2099565694235033,X
11,0.081,-0.285005364,0.1125,-0.196863602,0.5559,-1,1,0.4,2025-01-03 18:05:37.628800,-0.0115454561481116,0.0834961510066266,X
14,0.0781,-0.15996705,0.0944,-0.113477395,0.4042,-1,1,0.5,2025-01-03 18:05:37.749700,-0.148443064353657,-0.0585550856212021,O
17,0.087,-0.287547126,0.1169,-0.200717241,0.5738,-1,1,0.6,2025-01-03 18:05:37.842000,-0.1711277828046135,-0.0828130667711034,X
20,0.0871,-0.285661303,0.1141,-0.201291188,0.4397,-1,1,0.7,2025-01-03 18:05:37.931900,0.0355999739251398,0.2944566152442014,X
23,0.0864,-0.286481226,0.1143,-0.20030728,0.5263,-1,1,0.8,2025-01-03 18:05:38.053000,0.1572395250603597,0.5214824621689099,X
26,0.0848,-0.285005364,0.1123,-0.200635249,0.4089,-1,1,0.9,2025-01-03 18:05:38.143000,0.1687211551983063,0.5388872106822554,X
29,0.0825,-0.285087356,0.1148,-0.205308812,0.6592,-1,1,1.0,2025-01-03 18:05:38.233100,0.1695361995727167,0.5441050768785911,X
32,0.0812,-0.282217625,0.1054,-0.211376245,0.2786,-1,1,1.1,2025-01-03 18:05:38.324700,0.167011529926027,0.5428005282135612,X
35,0.0813,-0.285415326,0.1076,-0.210884291,0.3706,-1,1,1.2,2025-01-03 18:05:38.446300,0.1655050917724387,0.5373954376599277,X
38,0.0815,-0.286727203,0.1123,-0.2129341,0.3429,-1,1,1.3,2025-01-03 18:05:38.535600,0.164277441433035,0.5345515982117118,X
41,0.0816,-0.290580843,0.1152,-0.214163985,0.2917,-1,1,1.4,2025-01-03 18:05:38.627700,0.1625561726696927,0.5309724378374077,X
44,0.0819,-0.292548659,0.1167,-0.212852107,0.4089,-1,1,1.5,2025-01-03 18:05:38.746800,0.1605633317767681,0.5252688831913805,X
47,0.0824,-0.292302682,0.1163,-0.205964751,0.3757,-1,1,1.6,2025-01-03 18:05:38.837200,0.1589117599669719,0.5197624068161929,X
50,0.0818,-0.293532567,0.117,-0.200389272,0.5089,-1,1,1.7,2025-01-03 18:05:38.928200,0.158934882956266,0.5160687220689453,X
53,0.0817,-0.294106513,0.1162,-0.198667433,0.6405,-1,1,1.8,2025-01-03 18:05:39.049600,0.1588482947410369,0.5100413021311716,X
