Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds),Timestamp (Current Time),X,Y
3,-0.1323,0.278382,-0.0964,0.35192,0.4776,-1,1,0.1,2025-01-03 17:36:01.413200,0.194957205228123,-0.981156855827007
14,-0.083,-0.274896,0.5,0.410767,0.6988,-1,1,0.5,2025-01-03 17:36:01.800800,-0.3839738544568709,0.6323835741157854
47,0.4224,0.066068,0.4993,0.407862,0.7254,-1,1,1.6,2025-01-03 17:36:02.918200,-0.1638818236432551,0.6018051640893617
50,0.3261,-0.019339,0.4999,0.409107,0.87,-1,1,1.7,2025-01-03 17:36:03.008700,-0.0172092668533829,0.444565927527813
53,-0.1435,-0.265268,-0.0855,-0.245763,0.4468,-1,1,1.8,2025-01-03 17:36:03.129200,0.0082540166763343,0.396260348234612
57,0.305,-0.043658,0.4986,0.41002,0.8044,-1,1,1.9,2025-01-03 17:36:03.219200,0.053912492367317,0.3982343663569068
59,0.3492,-0.026228,0.4982,0.409024,0.6593,-1,1,2.0,2025-01-03 17:36:03.311900,0.5375205201510226,0.6150495628621292
62,0.3865,-0.002075,0.4982,0.409605,0.6438,-1,1,2.1,2025-01-03 17:36:03.401000,0.6054024857289158,0.7171555429153521
72,0.3956,-0.035358,0.4981,0.410103,0.5632,-1,1,2.4,2025-01-03 17:36:03.702800,-0.4672772895215275,0.726865096985982
95,-0.1513,0.221527,-0.1162,0.308179,0.6259,-1,1,3.2,2025-01-03 17:36:04.519800,-0.382583584963405,0.7471130924033121
109,-0.0634,0.086237,0.0746,0.173553,0.4742,-1,1,3.6,2025-01-03 17:36:04.912500,0.0959334001280369,-0.088597836289397
110,-0.0623,0.073372,0.0608,0.171063,0.7377,-1,1,3.7,2025-01-03 17:36:05.003500,0.1282885836746582,-0.1160513734817784
119,0.0877,-0.221444,0.4465,0.326688,0.4068,-1,1,4.0,2025-01-03 17:36:05.303800,0.1661268550684712,-0.3043572479117954
160,-0.2166,-0.281702,0.0334,0.101509,0.5293,-1,1,5.3,2025-01-03 17:36:06.603500,-0.1112629077971891,0.0710567731439804
161,-0.2166,-0.281868,0.0333,0.101592,0.4913,-1,1,5.4,2025-01-03 17:36:06.723800,-0.1373673342358667,0.296126060983315
164,-0.2309,-0.292243,0.0281,0.099351,0.5864,-1,1,5.5,2025-01-03 17:36:06.815900,-0.1617500935142277,0.4513924420827533
189,0.326,-0.015936,0.4982,0.219286,0.4024,-1,1,6.3,2025-01-03 17:36:07.630600,-0.8431527379339542,0.8080538365326608
191,0.2939,-0.045484,0.5,0.18343,0.6853,-1,1,6.4,2025-01-03 17:36:07.721800,-0.9378400209353592,0.8027845711416112
209,-0.4997,-0.075447,-0.3812,0.026145,0.657,-1,1,7.0,2025-01-03 17:36:08.325700,-0.1363239384595064,0.1612953107678876
212,-0.5,-0.139689,-0.3525,-0.035939,0.8533,-1,1,7.1,2025-01-03 17:36:08.416600,-0.1272723649316963,0.1559060230716495
215,-0.4968,-0.189572,-0.2805,-0.086486,0.7899,-1,1,7.2,2025-01-03 17:36:08.506900,-0.1181464728503185,0.1629899327043339
218,-0.4478,-0.201441,-0.2327,-0.10126,0.6139,-1,1,7.3,2025-01-03 17:36:08.627100,-0.1099316422084043,0.1755953155526814
275,-0.2362,0.207832,0.0399,0.409854,0.8761,-1,1,9.2,2025-01-03 17:36:10.500300,-0.1928588888784847,-0.4753660479078603
278,-0.2385,0.095699,0.0822,0.409273,0.9115,-1,1,9.3,,,
281,-0.2156,0.038678,0.1149,0.40919,0.8878,-1,1,9.4,2025-01-03 17:36:10.709900,-0.2604756880256941,-0.570645423970744
284,-0.1972,-0.007055,0.1291,0.406783,0.8253,-1,1,9.5,2025-01-03 17:36:10.802000,-0.2241703846477975,-0.4016555386671713
287,-0.224,-0.025398,0.1154,0.408028,0.868,-1,1,9.6,2025-01-03 17:36:10.923900,-0.173690542076967,-0.0836375702011985
290,-0.2576,-0.026228,0.0744,0.408443,0.8814,-1,1,9.7,2025-01-03 17:36:11.014300,-0.1691936905125072,-0.0235698497172278
293,-0.2736,-0.024319,0.065,0.409024,0.8593,-1,1,9.8,2025-01-03 17:36:11.103900,-0.174612180850356,-0.013499826271738
296,-0.2671,-0.023074,0.0686,0.408858,0.8386,-1,1,9.9,2025-01-03 17:36:11.224400,-0.1815986916386205,-0.011086483583462
299,-0.2371,-0.054199,0.0803,0.4067,0.8791,-1,1,10.0,2025-01-03 17:36:11.316700,-0.1838266342319734,-0.0077260736831422
319,0.2059,0.290915,0.3959,0.411016,0.5696,-1,1,10.6,2025-01-03 17:36:11.920000,-0.0307002650925063,0.2788434750839683
320,0.199,0.301622,0.3972,0.411182,0.6627,-1,1,10.7,2025-01-03 17:36:12.009200,-0.0706013322142838,0.3319443121545834
390,-0.2843,-0.227171,0.0508,0.241862,0.4747,-1,1,13.0,2025-01-03 17:36:14.305500,-0.4589891444643273,0.3114596706720307
393,-0.0154,-0.322289,0.0913,-0.26477,0.5954,-1,1,13.1,2025-01-03 17:36:14.426800,-0.4687062460604513,0.3274287188692142
395,-0.014,-0.330174,0.082,-0.27473,0.4722,-1,1,13.2,2025-01-03 17:36:14.517600,-0.4704564036423976,0.3437558664031897
425,-0.179,-0.035524,-0.0312,0.130642,0.4154,-1,1,14.2,2025-01-03 17:36:15.514000,-0.1223560386042502,0.0943074368664337
435,-0.125,0.011703,0.0121,0.204429,0.7908,-1,1,14.5,2025-01-03 17:36:15.815900,-0.1728120134857619,0.123260421124462
437,-0.1246,0.010541,0.0101,0.198951,0.7659,-1,1,14.6,2025-01-03 17:36:15.906300,-0.2062480317657605,0.0621527950127241
440,-0.1234,0.008715,0.0113,0.198121,0.7008,-1,1,14.7,2025-01-03 17:36:16.028300,-0.2575827841169226,-0.0495553495560205
447,-0.084,0.008715,0.0118,0.16849,0.82,-1,1,14.9,2025-01-03 17:36:16.208900,-0.233191846347869,-0.0272362449474591
449,-0.0933,0.01079,0.0091,0.18509,0.8806,-1,1,15.0,2025-01-03 17:36:16.300500,-0.2296133192844325,-0.0160611487708672
476,-0.0128,-0.007968,0.0288,0.114623,0.4159,-1,1,15.9,2025-01-03 17:36:17.205800,-0.0204701658811799,0.3556180410875162
479,-0.0115,-0.010624,0.0307,0.107236,0.5966,-1,1,16.0,2025-01-03 17:36:17.326600,0.0263654678939413,0.442813262017546
482,-0.0118,-0.020252,0.0316,0.096529,0.4333,-1,1,16.1,2025-01-03 17:36:17.416300,-0.083555800272337,0.4586435064757933
485,-0.0122,-0.085241,0.0367,0.076194,0.7535,-1,1,16.2,2025-01-03 17:36:17.507500,-0.2216824010412482,0.4738138071263017
489,-0.029,-0.16766,0.0407,0.066732,0.6668,-1,1,16.3,2025-01-03 17:36:17.599100,-0.2730062249181042,0.4820102931200475
493,-0.2918,-0.197208,-0.2347,-0.044073,0.4858,-1,1,16.4,2025-01-03 17:36:17.720000,-0.1875465168599129,0.4392873608552883
497,-0.4999,-0.096114,-0.4222,-0.018426,0.6429,-1,1,16.6,2025-01-03 17:36:17.901200,-0.1021408351374966,0.3873912186064978
509,-0.0744,-0.064989,-0.0397,0.002075,0.6539,-1,1,17.0,2025-01-03 17:36:18.323400,0.0084867549848381,0.422404461753175
567,-0.1061,-0.220697,-0.0197,-0.143258,0.7085,-1,1,18.9,2025-01-03 17:36:20.227700,-0.1071548363981522,-0.0208002053436758
577,0.0284,0.156704,0.0582,0.191398,0.4509,-1,1,19.2,2025-01-03 17:36:20.524500,0.1332586369445021,-0.1758419783825699
578,-0.0319,0.174383,0.064,0.411182,0.5437,-1,1,19.3,2025-01-03 17:36:20.619700,-0.2009792134751168,0.1185482130583728
581,-0.0339,0.170399,0.0623,0.411016,0.5046,-1,1,19.4,2025-01-03 17:36:20.709100,-0.2469962712587778,0.5017159522790595
584,-0.0347,0.166166,0.0692,0.409356,0.4492,-1,1,19.5,2025-01-03 17:36:20.800900,-0.2495670500708934,0.5669550511100943
604,-0.0183,0.169901,0.066,0.37184,0.4949,-1,1,20.1,2025-01-03 17:36:21.405600,-0.0864656698058205,-0.2569692758102737
605,-0.0232,0.169818,0.0682,0.369682,0.4883,-1,1,20.2,2025-01-03 17:36:21.525900,-0.0888534120742022,-0.2582403316980073
608,0.0115,0.257798,0.0296,0.366777,0.4651,-1,1,20.3,2025-01-03 17:36:21.615400,-0.0899899241191797,-0.267025928663643
611,-0.005,0.172806,0.0642,0.368935,0.5564,-1,1,20.4,2025-01-03 17:36:21.707700,-0.0906847878101801,-0.2783245709001362
614,-0.0002,0.169735,0.0609,0.364038,0.6561,-1,1,20.5,2025-01-03 17:36:21.828100,-0.0903300867427626,-0.2891481322982082
619,0.0167,0.249664,0.0322,0.35939,0.4037,-1,1,20.6,2025-01-03 17:36:21.919400,-0.0890678418000466,-0.2951095382405644
620,0.0168,0.248585,0.0337,0.358311,0.549,-1,1,20.7,2025-01-03 17:36:22.008300,-0.0875512233730864,-0.2987736170939669
624,0.0203,0.243439,0.0371,0.35109,0.5444,-1,1,20.8,2025-01-03 17:36:22.099400,-0.0780372903691926,-0.2605761160084447
626,0.0213,0.242609,0.0393,0.351256,0.6279,-1,1,20.9,2025-01-03 17:36:22.220300,-0.106926595150665,-0.0916060853634053
634,0.0143,0.169154,0.0802,0.351837,0.6175,-1,1,21.1,2025-01-03 17:36:22.401600,-0.412762314185135,-0.0150527825364865
635,0.0152,0.167079,0.081,0.353414,0.5118,-1,1,21.2,2025-01-03 17:36:22.522800,-0.4295364749842664,-0.0085573488843607
638,0.0122,0.166581,0.0817,0.345695,0.5165,-1,1,21.3,2025-01-03 17:36:22.613800,-0.5552938909459006,-0.0951081967095824
641,0.0162,0.157451,0.0838,0.338225,0.4316,-1,1,21.4,2025-01-03 17:36:22.704200,-0.6209015757208973,-0.1443841500797542
684,-0.0703,-0.412593,0.1108,0.211484,0.7005,-1,1,22.8,2025-01-03 17:36:24.123900,-0.1462088789972711,0.4276358959705325
686,-0.0652,-0.412427,0.1176,0.209492,0.6143,-1,1,22.9,2025-01-03 17:36:24.213900,-0.1018792540349109,0.4964710133164834
689,-0.0462,-0.411597,0.1381,0.213891,0.9281,-1,1,23.0,2025-01-03 17:36:24.304900,-0.1107394498948549,0.5104385867239407
695,0.0123,-0.403048,0.176,0.207749,0.4509,-1,1,23.2,2025-01-03 17:36:24.516500,-0.3439007285485261,0.4750463163571528
715,0.2365,0.236716,0.4995,0.41085,0.4876,-1,1,23.8,2025-01-03 17:36:25.120700,-0.2004550902541664,-0.0175987579211817
716,0.2365,0.236882,0.4995,0.41085,0.4533,-1,1,23.9,2025-01-03 17:36:25.210600,-0.2071197346807924,-0.0384040074213496
719,-0.0481,-0.030212,0.0887,0.10541,0.6476,-1,1,24.0,2025-01-03 17:36:25.301300,-0.2253063792227402,-0.0630092060327756
722,0.0026,-0.020501,0.1134,0.100762,0.829,-1,1,24.1,2025-01-03 17:36:25.422800,-0.2382754596489187,-0.0878664335980176
745,-0.4998,0.153467,-0.4694,0.326771,0.4127,-1,1,24.8,2025-01-03 17:36:26.117700,-0.2871513915262064,0.2991626610787427
746,-0.4998,0.15355,-0.4694,0.326854,0.4118,-1,1,24.9,2025-01-03 17:36:26.206400,-0.2475691598701495,0.2767446945803486
752,-0.4986,0.035441,-0.3684,0.408194,0.4762,-1,1,25.1,2025-01-03 17:36:26.419900,-0.133367504015321,0.2463347808452626
755,-0.4992,-0.136867,-0.3564,0.293986,0.7543,-1,1,25.2,2025-01-03 17:36:26.509400,-0.1242330935147205,0.2629538455209184
759,-0.2199,-0.028718,-0.1712,0.046314,0.504,-1,1,25.3,2025-01-03 17:36:26.600200,-0.1190566533586515,0.2856536229609285
761,-0.2214,-0.039674,-0.1663,0.047808,0.4265,-1,1,25.4,2025-01-03 17:36:26.721800,-0.1066150781897222,0.3401378467801688
850,-0.1184,0.284939,0.0147,0.408111,0.772,-1,1,28.3,2025-01-03 17:36:29.620600,-0.3660934166476517,0.0305301596287712
851,-0.1184,0.284856,0.0149,0.408277,0.763,-1,1,28.4,2025-01-03 17:36:29.712200,-0.3192050871739877,0.1725303644358345
895,-0.3524,-0.327103,-0.0938,0.410767,0.4725,-1,1,29.8,2025-01-03 17:36:31.101000,-0.3254365352572048,0.0873523589257196
896,-0.3528,-0.32702,-0.0937,0.410684,0.4736,-1,1,29.9,2025-01-03 17:36:31.222300,-0.3947210910436779,0.2816985213198337
900,-0.2922,-0.325277,-0.0935,0.410269,0.7714,-1,1,30.0,2025-01-03 17:36:31.313000,-0.4121343273357735,0.3441635129509162
950,-0.4989,0.137448,-0.2392,0.411348,0.4101,-1,1,31.7,2025-01-03 17:36:33.004200,-0.3229530487116721,0.2620793461914603
964,0.0056,0.261616,0.0688,0.356402,0.5343,-1,1,32.1,2025-01-03 17:36:33.427800,-0.4344151085479643,-0.0216626130072163
965,0.0002,0.258213,0.0693,0.353497,0.4217,-1,1,32.2,2025-01-03 17:36:33.517400,-0.5076802409734744,-0.1218434782142078
968,0.0104,0.262031,0.0692,0.352833,0.5278,-1,1,32.3,2025-01-03 17:36:33.608600,-0.5980184347467823,-0.2495781555827143
971,-0.0285,0.275477,0.0661,0.383128,0.8682,-1,1,32.4,2025-01-03 17:36:33.700000,-0.603762721754391,-0.261723482739639
979,-0.2568,-0.409439,0.0433,0.387444,0.9292,-1,1,32.6,,,
980,-0.2651,-0.407198,0.0456,0.383377,0.9361,-1,1,32.7,2025-01-03 17:36:34.030800,-0.5028126960533793,-0.2023072544182207
983,-0.2843,-0.408194,0.0518,0.373085,0.904,-1,1,32.8,2025-01-03 17:36:34.123000,-0.4247274534609628,0.0140627863330187
986,-0.3034,-0.392424,0.0623,0.37101,0.7834,-1,1,32.9,2025-01-03 17:36:34.212900,-0.3807395435322899,0.1940078282804566
989,-0.3362,-0.21995,0.0699,0.366528,0.7907,-1,1,33.0,2025-01-03 17:36:34.304300,-0.2575904229602933,0.2066869058974146
992,-0.422,-0.414004,0.3756,0.415,0.5222,-1,1,33.1,2025-01-03 17:36:34.423000,-0.1763802527520781,0.1690380909835253
1024,0.0185,0.03154,0.3233,0.105576,0.7189,-1,1,34.1,2025-01-03 17:36:35.420900,0.1309849721773612,0.1094136570537025
1029,-0.0227,-0.109726,0.3066,-0.027888,0.6302,-1,1,34.3,2025-01-03 17:36:35.602500,0.1280024966697108,0.0926929579908514
1031,-0.0292,-0.137863,0.3418,-0.041168,0.7816,-1,1,34.4,2025-01-03 17:36:35.724100,0.1213309526426209,0.0733101159038048
1034,-0.0382,-0.142843,0.3536,-0.037848,0.5633,-1,1,34.5,2025-01-03 17:36:35.814400,0.1185702500070228,0.0680454474922535
1037,-0.0369,-0.088312,0.3005,0.010375,0.5616,-1,1,34.6,2025-01-03 17:36:35.905000,0.1133430634127494,0.0833858989889772
1042,0.0247,0.118441,0.3091,0.196046,0.593,-1,1,34.7,2025-01-03 17:36:36.025400,0.1007581921666865,0.0987722755629844
1043,0.0133,0.108564,0.3094,0.179944,0.7254,-1,1,34.8,2025-01-03 17:36:36.116200,0.0942482959218926,0.095919170075273
1052,-0.0968,-0.061752,-0.0331,0.146578,0.6987,-1,1,35.1,2025-01-03 17:36:36.417000,-0.1169231564390767,0.0231722109906264
1067,-0.2676,-0.233313,0.2802,0.179031,0.923,-1,1,35.6,2025-01-03 17:36:36.900800,-0.3528610918223471,0.3623112968982459
