Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds),Timestamp (Current Time),X,Y
0,0.0749,-0.270984674,0.1004,-0.195141762,0.6862,-1,1,0.0,2025-01-06 15:33:30.974300,0.0171015296827985,0.9999999999999998
2,0.0748,-0.27188659,0.101,-0.196371648,0.734,-1,1,0.1,2025-01-06 15:33:31.029300,0.0572860249885405,0.9329512537720692
5,0.0752,-0.275494253,0.1019,-0.196617625,0.763,-1,1,0.2,2025-01-06 15:33:31.149300,0.1699283177843078,0.8496134398809961
8,0.0792,-0.278937931,0.1051,-0.19751954,0.4733,-1,1,0.3,2025-01-06 15:33:31.239000,0.2087806714440822,0.7012474712852254
11,0.081,-0.285005364,0.1125,-0.196863602,0.5559,-1,1,0.4,2025-01-06 15:33:31.330200,0.1143670513072818,0.2081409913906082
14,0.0781,-0.15996705,0.0944,-0.113477395,0.4042,-1,1,0.5,2025-01-06 15:33:31.453000,0.0689671198674817,0.0424497841491308
17,0.087,-0.287547126,0.1169,-0.200717241,0.5738,-1,1,0.6,2025-01-06 15:33:31.541900,0.0290260910815524,-0.0276275390760642
20,0.0871,-0.285661303,0.1141,-0.201291188,0.4397,-1,1,0.7,2025-01-06 15:33:31.633300,0.0156559953062229,-0.0518110694419241
23,0.0864,-0.286481226,0.1143,-0.20030728,0.5263,-1,1,0.8,2025-01-06 15:33:31.753000,0.0048795418618946,-0.0612315821073407
26,0.0848,-0.285005364,0.1123,-0.200635249,0.4089,-1,1,0.9,2025-01-06 15:33:31.845400,-0.0569971139495527,-0.0211828168370399
29,0.0825,-0.285087356,0.1148,-0.205308812,0.6592,-1,1,1.0,2025-01-06 15:33:31.934400,-0.5766200450895658,0.4088297511274202
32,0.0812,-0.282217625,0.1054,-0.211376245,0.2786,-1,1,1.1,2025-01-06 15:33:32.024700,-0.6924724449981872,0.5061438247833089
35,0.0813,-0.285415326,0.1076,-0.210884291,0.3706,-1,1,1.2,2025-01-06 15:33:32.145600,-0.6797500778755395,0.5248626148983024
38,0.0815,-0.286727203,0.1123,-0.2129341,0.3429,-1,1,1.3,2025-01-06 15:33:32.237900,-0.6683221539058463,0.5308342182434869
41,0.0816,-0.290580843,0.1152,-0.214163985,0.2917,-1,1,1.4,2025-01-06 15:33:32.327900,-0.1956339339942401,0.5963949992495063
44,0.0819,-0.292548659,0.1167,-0.212852107,0.4089,-1,1,1.5,2025-01-06 15:33:32.448800,0.4307663941015497,0.6891460448996689
47,0.0824,-0.292302682,0.1163,-0.205964751,0.3757,-1,1,1.6,2025-01-06 15:33:32.540600,0.4814624742188906,0.6932514959462152
50,0.0818,-0.293532567,0.117,-0.200389272,0.5089,-1,1,1.7,2025-01-06 15:33:32.630100,0.4761035530042823,0.7092406462756482
53,0.0817,-0.294106513,0.1162,-0.198667433,0.6405,-1,1,1.8,2025-01-06 15:33:32.750700,0.4680772360989648,0.72686926068557
56,0.0819,-0.295418391,0.1187,-0.199077395,0.6547,-1,1,1.9,2025-01-06 15:33:32.841500,0.465984759912094,0.727408327788643
59,0.0827,-0.297878161,0.1191,-0.191452107,0.7238,-1,1,2.0,2025-01-06 15:33:32.933000,0.4669434836467487,0.7308771195838456
62,0.0867,-0.29468046,0.1235,-0.199241379,0.685,-1,1,2.1,2025-01-06 15:33:33.053000,0.4682851373429015,0.7325829519258555
65,0.0891,-0.29820613,0.1303,-0.195141762,0.5744,-1,1,2.2,2025-01-06 15:33:33.142800,0.4685453198920837,0.7334808837004029
68,0.0948,-0.297304215,0.1362,-0.200635249,0.286,-1,1,2.3,2025-01-06 15:33:33.232700,0.4713146553853286,0.7338176256180368
71,0.0979,-0.298698084,0.1381,-0.203259004,0.3612,-1,1,2.4,2025-01-06 15:33:33.355200,0.4787031053958766,0.7341546475705294
74,0.1009,-0.303289655,0.139,-0.211376245,0.6261,-1,1,2.5,2025-01-06 15:33:33.444500,0.4715736139574649,0.7287946403568315
77,0.1038,-0.306651341,0.144,-0.213836015,0.6667,-1,1,2.6,2025-01-06 15:33:33.536200,0.1128393880709274,0.6853680946204181
80,0.1041,-0.30591341,0.1446,-0.215311877,0.5835,-1,1,2.7,2025-01-06 15:33:33.625800,-0.0560805999375946,0.6643062528423536
83,0.1041,-0.308455172,0.1434,-0.216787739,0.4092,-1,1,2.8,2025-01-06 15:33:33.747900,0.1760190024184912,0.7019786423013935
86,0.1035,-0.307717241,0.1422,-0.21645977,0.6236,-1,1,2.9,2025-01-06 15:33:33.838400,0.4244092321790909,0.7631444162169305
89,0.1016,-0.305667433,0.1411,-0.216951724,0.6089,-1,1,3.0,,,
97,-0.2592,0.22277318,-0.1804,0.287137165,0.541,-1,1,3.2,2025-01-06 15:33:34.137500,-0.0136042775549799,0.5643094452397432
98,-0.2413,0.189648276,-0.171,0.256718008,0.2802,-1,1,3.3,2025-01-06 15:33:34.230500,-0.2300322351840419,0.532080233347447
101,-0.2224,0.157589272,-0.1816,0.28976092,0.432,-1,1,3.4,2025-01-06 15:33:34.350200,-0.3922775616244028,0.5127834512840157
104,-0.1611,-0.104868199,-0.1209,0.014266667,0.7486,-1,1,3.5,2025-01-06 15:33:34.441500,-0.2390538202815269,0.5090883913229518
107,-0.2185,0.114543295,-0.1634,0.248682759,0.5484,-1,1,3.6,2025-01-06 15:33:34.532900,0.1611804314396689,0.5224124499017636
110,-0.0248,0.022875862,0.0274,0.199077395,0.3376,-1,1,3.7,,,
113,-0.2538,0.150619923,-0.1834,0.333462835,0.3988,-1,1,3.8,,,
116,-0.3295,0.100440613,-0.262,0.28803908,0.4502,-1,1,3.9,,,
147,0.2192,-0.099128736,0.2442,-0.04419387,0.2848,-1,1,4.9,2025-01-06 15:33:35.830800,0.0644179818664303,0.8407440358175784
149,0.2165,-0.103884291,0.2426,-0.047227586,0.7005,-1,1,5.0,2025-01-06 15:33:35.952700,0.0326938257264763,0.9165420511545276
152,0.212,-0.104130268,0.2382,-0.047309579,0.709,-1,1,5.1,2025-01-06 15:33:36.043700,0.0096208617445362,0.9478682906448191
155,0.2732,-0.13331954,0.3002,-0.056984674,0.3276,-1,1,5.2,2025-01-06 15:33:36.134100,-0.0241296583364245,0.9586643345363628
158,0.1677,-0.116593103,0.204,-0.042963985,0.6469,-1,1,5.3,2025-01-06 15:33:36.255200,-0.0678035898022778,0.9597048040540084
161,0.1692,-0.117904981,0.2074,-0.046735632,0.3019,-1,1,5.4,2025-01-06 15:33:36.346300,-0.0935225998181694,0.9469181323691171
165,0.2472,-0.101014559,0.2806,-0.009019157,0.4589,-1,1,5.5,2025-01-06 15:33:36.435200,-0.1179348219983296,0.9472922589403928
167,0.2465,-0.096668966,0.2809,-0.014102682,0.4976,-1,1,5.6,2025-01-06 15:33:36.526900,-0.1402851674177659,0.9450043741444932
170,0.2454,-0.096422989,0.2834,-0.013774713,0.3551,-1,1,5.7,2025-01-06 15:33:36.646800,0.7074474544468529,0.3760798144152983
173,0.2451,-0.074449042,0.2795,-0.006067433,0.6676,-1,1,5.8,2025-01-06 15:33:36.738300,0.9403146827499582,0.3689597881144243
176,0.249,-0.070349425,0.2783,-0.004509579,0.2957,-1,1,5.9,2025-01-06 15:33:36.828800,1.0,0.3683136076778837
183,-0.1236,-0.127908046,-0.0749,-0.057804598,0.386,-1,1,6.1,2025-01-06 15:33:37.039900,0.9570613115456094,0.3184361089268391
189,-0.1312,-0.114953257,-0.0828,-0.052721073,0.2638,-1,1,6.3,2025-01-06 15:33:37.251200,0.9417759364888802,0.2884360305170786
195,0.1391,-0.166198467,0.2306,0.057394636,0.7198,-1,1,6.5,2025-01-06 15:33:37.431800,0.916447480062944,0.2655849060090999
197,0.1239,-0.174643678,0.2178,0.070677395,0.8696,-1,1,6.6,2025-01-06 15:33:37.553100,0.8889092205075956,0.2539887045139378
201,0.1155,-0.143978544,0.1509,0.000983908,0.3734,-1,1,6.7,2025-01-06 15:33:37.643000,0.8739230204116533,0.2500056427024035
203,0.085,-0.214573946,0.1849,0.052393103,0.8543,-1,1,6.8,2025-01-06 15:33:37.735300,0.8581172802565596,0.2484819170290317
206,0.0659,-0.221871264,0.164,0.060756322,0.6324,-1,1,6.9,2025-01-06 15:33:37.826000,0.7043170457250723,0.3049208145429942
211,0.026,-0.296648276,0.1404,0.047883525,0.9156,-1,1,7.0,2025-01-06 15:33:37.945400,0.4094716414572566,0.4400088322994445
212,0.0176,-0.293204598,0.13,0.042554023,0.8972,-1,1,7.1,2025-01-06 15:33:38.036300,0.3568157992355913,0.4575234725218594
215,0.0091,-0.287219157,0.1203,0.096504981,0.8075,-1,1,7.2,,,
218,-0.0517,-0.076334866,0.0747,0.073137165,0.7225,-1,1,7.3,,,
221,0.1416,-0.162508812,0.2235,0.031075096,0.7389,-1,1,7.4,2025-01-06 15:33:38.338000,0.2599227687969433,0.4822144260517548
224,0.1381,-0.15471954,0.2129,0.038126437,0.8701,-1,1,7.5,2025-01-06 15:33:38.433000,0.2427638171053065,0.5097540341821749
227,0.1333,-0.154391571,0.2,0.093471264,0.5029,-1,1,7.6,2025-01-06 15:33:38.550400,0.2365528679836718,0.5273440037815906
231,0.1534,-0.199487356,0.2278,0.085763985,0.6709,-1,1,7.7,2025-01-06 15:33:38.639900,0.1776094207065268,0.4909557141672994
