Unnamed: 0,x1,y1,x2,y2,confidence,cluster,new_cluster,Time (seconds)
0,-0.2552,-0.304577778,0.1745,0.307861635,0.8442,-1,1,0
1,-0.2563,-0.30629434,0.1733,0.31084696,0.865,-1,1,0.033333333
2,-0.2578,-0.301667086,0.1724,0.314503983,0.8843,-1,1,0.066666667
3,-0.2598,-0.299651992,0.172,0.328161845,0.8565,-1,1,0.1
4,-0.2596,-0.29554717,0.1719,0.32875891,0.8505,-1,1,0.133333333
5,-0.2595,-0.295472537,0.1719,0.325773585,0.8489,-1,1,0.166666667
6,-0.2573,-0.291143816,0.1722,0.332863732,0.8566,-1,1,0.2
7,-0.2548,-0.287934591,0.1729,0.338162683,0.8391,-1,1,0.233333333
8,-0.2553,-0.284949266,0.1742,0.33331153,0.8394,-1,1,0.266666667
9,-0.2554,-0.28121761,0.1754,0.344655765,0.8938,-1,1,0.3
10,-0.2551,-0.281068344,0.1754,0.3440587,0.8982,-1,1,0.333333333
11,-0.2545,-0.279277149,0.1766,0.356298532,0.9041,-1,1,0.366666667
12,-0.2528,-0.277859119,0.1781,0.354656604,0.9103,-1,1,0.4
13,-0.251,-0.279426415,0.1786,0.346148428,0.8562,-1,1,0.433333333
14,-0.251,-0.279724948,0.1786,0.345700629,0.8583,-1,1,0.466666667
15,-0.2517,-0.281441509,0.1783,0.333908595,0.8066,-1,1,0.5
16,-0.252,-0.286143396,0.1762,0.317862474,0.8113,-1,1,0.533333333
17,-0.2519,-0.288904822,0.1751,0.327191614,0.8415,-1,1,0.566666667
18,-0.2536,-0.294427673,0.1741,0.285471698,0.7962,-1,1,0.6
19,-0.253,-0.301816352,0.1733,0.309802096,0.7776,-1,1,0.633333333
20,-0.2531,-0.302338784,0.1733,0.310249895,0.7744,-1,1,0.666666667
21,-0.2542,-0.303607547,0.1722,0.308010901,0.8582,-1,1,0.7
22,-0.2554,-0.302338784,0.1709,0.304129979,0.8459,-1,1,0.733333333
23,-0.2599,-0.304503145,0.17,0.306368973,0.7524,-1,1,0.766666667
24,-0.266,-0.298233962,0.1693,0.318608805,0.4424,-1,1,0.8
25,-0.2643,-0.298233962,0.1692,0.318907338,0.4452,-1,1,0.833333333
26,-0.4885,-0.291442348,0.1702,0.344655765,0.3426,-1,1,0.866666667
27,-0.4917,-0.288457023,0.1716,0.35122348,0.261,-1,1,0.9
28,-0.4914,-0.288904822,0.1728,0.343984067,0.2537,-1,1,0.933333333
29,-0.4934,-0.286591195,0.1737,0.358537526,0.2504,-1,1,0.966666667
31,-0.2527,-0.28599413,0.1737,0.35719413,0.3973,-1,1,1.033333333
31,-0.4521,-0.284949266,0.1741,0.358462893,0.2664,-1,1,1.033333333
33,-0.2508,-0.287859958,0.1749,0.363388679,0.2565,-1,1,1.1
34,-0.4946,-0.286889727,0.1757,0.364881342,0.533,-1,1,1.133333333
35,-0.4943,-0.286740461,0.1756,0.365478407,0.5038,-1,1,1.166666667
36,-0.4949,-0.307787002,0.1758,0.358313627,0.7463,-1,1,1.2
37,-0.494,-0.304652411,0.1756,0.352641509,0.6143,-1,1,1.233333333
