frame	x1	y1	x2	y2	confidence	cluster
442	0.1449	0.3387	0.2547	0.4532	0.2652	-1
443	0.1445	0.3385	0.2544	0.4534	0.271	-1
455	0.1529	0.3548	0.2687	0.448	0.3293	-1
465	0.1277	0.3457	0.2883	0.4627	0.3269	-1
466	0.1234	0.3395	0.289	0.4604	0.5178	-1
467	0.12	0.3387	0.2903	0.4603	0.3884	-1
468	0.12	0.3388	0.2909	0.4602	0.4084	-1
469	0.1176	0.3414	0.2918	0.4615	0.3149	-1
470	0.1201	0.3458	0.2881	0.4606	0.5562	-1
471	0.1219	0.3449	0.2889	0.4605	0.4375	-1
472	0.115	0.3425	0.2888	0.4615	0.3966	-1
473	0.1148	0.3423	0.2895	0.4614	0.3877	-1
474	0.1148	0.3441	0.2881	0.4609	0.3515	-1
475	0.1215	0.3443	0.284	0.4601	0.3506	-1
476	0.1176	0.3459	0.2996	0.461	0.3931	-1
477	0.1223	0.3459	0.2839	0.4577	0.4421	-1
478	0.1226	0.347	0.2826	0.4564	0.5014	-1
479	0.1205	0.3457	0.276	0.4572	0.383	-1
480	0.1161	0.3466	0.2884	0.4611	0.3447	-1
481	0.1154	0.3362	0.2836	0.4588	0.4183	-1
482	0.1183	0.3411	0.2972	0.4596	0.4265	-1
483	0.118	0.3412	0.2974	0.4594	0.3641	-1
484	0.118	0.3412	0.2979	0.4593	0.3614	-1
485	0.1225	0.3331	0.3061	0.4551	0.5223	-1
486	0.1184	0.3321	0.2873	0.4546	0.5092	-1
487	0.1196	0.3421	0.3012	0.4568	0.2907	-1
488	0.1199	0.3419	0.3019	0.4572	0.2874	-1
489	0.1077	0.3144	0.285	0.4573	0.3235	-1
490	0.1109	0.3111	0.2848	0.4535	0.2754	-1
492	-0.1996	0.1748	-0.0429	0.3726	0.5079	-1
493	-0.1996	0.176	-0.0438	0.3722	0.5181	-1
494	-0.2031	0.1858	-0.0448	0.3706	0.4322	-1
496	0.0929	0.3333	0.2927	0.4584	0.3301	-1
497	0.1115	0.3421	0.3136	0.458	0.5172	-1
498	0.1111	0.3421	0.3138	0.4582	0.5168	-1
499	0.1037	0.3416	0.3178	0.4601	0.4064	-1
499	0.0809	0.3366	0.4806	0.5	0.4012	-1
500	-0.2251	0.1753	-0.0498	0.3786	0.5453	-1
500	0.0776	0.3343	0.4871	0.5	0.3867	-1
500	0.0823	0.3353	0.3069	0.4545	0.3707	-1
501	0.1105	0.3349	0.3145	0.4584	0.3652	-1
501	0.0943	0.3348	0.4924	0.5	0.2511	-1
502	0.0899	0.3322	0.3047	0.4559	0.4468	-1
503	0.0904	0.3324	0.3043	0.4555	0.4611	-1
504	0.0962	0.3321	0.3058	0.4552	0.467	-1
504	-0.2233	0.1936	-0.0406	0.3772	0.2675	-1
505	0.1159	0.336	0.2789	0.455	0.5478	-1
506	0.1196	0.3367	0.2793	0.4535	0.5081	-1
507	0.1175	0.3301	0.2926	0.4547	0.3651	-1
508	0.1158	0.3198	0.2932	0.4535	0.469	-1
509	0.1121	0.3301	0.3062	0.4501	0.4362	-1
510	0.1053	0.3306	0.3083	0.4525	0.5231	-1
511	0.1087	0.3312	0.3048	0.4529	0.5201	-1
512	0.1056	0.3292	0.305	0.4508	0.5119	-1
513	0.1049	0.3289	0.3052	0.4504	0.555	-1
517	0.0944	0.3331	0.295	0.4461	0.3956	-1
518	0.0949	0.3336	0.2964	0.4461	0.4237	-1
519	0.0948	0.3324	0.3053	0.4477	0.5411	-1
520	0.0954	0.3316	0.2795	0.4446	0.4339	-1
521	0.0882	0.3298	0.2866	0.4465	0.4726	-1
522	0.097	0.3319	0.2908	0.4486	0.4203	-1
523	0.096	0.3326	0.2829	0.4484	0.5023	-1
524	0.0928	0.3241	0.2671	0.4506	0.5832	-1
525	0.0902	0.3225	0.2701	0.4486	0.434	-1
526	0.09	0.3257	0.2728	0.4492	0.3919	-1
527	0.0812	0.3309	0.2754	0.4476	0.4764	-1
528	0.0787	0.3306	0.2757	0.4476	0.4419	-1
529	0.0725	0.3287	0.2751	0.4461	0.287	-1
531	0.0653	0.3234	0.2621	0.4485	0.3681	-1
532	0.0713	0.3276	0.2724	0.447	0.3672	-1
537	0.2077	0.3473	0.2865	0.438	0.2766	-1
538	0.2076	0.3472	0.2863	0.4378	0.2616	-1
540	0.0752	0.3308	0.2839	0.4503	0.2992	-1
549	0.0648	0.3296	0.2668	0.4506	0.3259	-1
550	0.0642	0.3288	0.272	0.4544	0.2513	-1
561	0.0654	0.3243	0.2552	0.4597	0.2563	-1
563	0.0596	0.3279	0.2716	0.4605	0.3771	-1
571	0.054	0.0003	0.3502	0.3596	0.6918	-1
571	-0.274	0.2294	-0.1535	0.4181	0.6904	-1
571	-0.3556	0.0486	-0.1168	0.2582	0.6358	-1
571	-0.1617	0.0094	-0.014	0.2195	0.4253	-1
572	0.0514	-0.0047	0.3532	0.3601	0.6967	-1
572	-0.269	0.2351	-0.1512	0.4463	0.6758	-1
572	-0.3549	0.0402	-0.1182	0.2609	0.5016	-1
572	-0.3571	0.0184	-0.0107	0.2551	0.2789	-1
572	-0.3536	0.0595	-0.178	0.2634	0.274	-1
573	0.0507	-0.0052	0.358	0.3594	0.7025	-1
573	-0.2691	0.235	-0.1509	0.448	0.655	-1
573	-0.3553	0.0516	-0.1251	0.2628	0.4524	-1
573	-0.3593	0.0145	-0.0093	0.2552	0.2773	-1
